#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,-0.001368523
2,7839.763000,-2.565384E-4
3,7839.764000,0.001246452
4,7839.765000,0.003317833
5,7839.766000,2.889633E-4
6,7839.767000,-0.008399963
7,7839.768000,-0.0199213
8,7839.769000,-0.03588772
9,7839.770000,-0.02927589
10,7839.771000,0.002556801
11,7839.772000,0.04544067
12,7839.773000,0.1068802
13,7839.774000,0.05134487
14,7839.775000,-0.1347036
15,7839.776000,-0.1321383
16,7839.777000,0.04646206
17,7839.778000,0.07019329
18,7839.779000,-0.01320839
19,7839.780000,-0.02113342
20,7839.781000,-0.001032829
21,7839.782000,-0.003742218
22,7839.783000,-0.008089066
23,7839.784000,-0.002616882
24,7839.785000,0.00948143
25,7839.786000,-0.007448196
26,7839.787000,-0.05470085
27,7839.788000,0.05041599
28,7839.789000,-0.02361012
29,7839.790000,-0.005703926
30,7839.791000,-0.00580883
31,7839.792000,-0.005912781
32,7839.793000,-0.00601387
33,7839.794000,-0.006114006
34,7839.795000,-0.006217003
35,7839.796000,-0.006318092
36,7839.797000,-0.006416321
37,7839.798000,-0.006508827
38,7839.799000,-0.006592751
39,7839.800000,-0.00667572
40,7839.801000,-0.006750107
41,7839.802000,-0.006822586
42,7839.803000,-0.006891251
43,7839.804000,-0.006954193
44,7839.805000,-0.007014275
45,7839.806000,-0.007071495
46,7839.807000,-0.007129669
47,7839.808000,-0.007185936
48,7839.809000,-0.007241249
49,7839.810000,-0.007291794
50,7839.811000,-0.007336617
51,7839.812000,-0.007380486
52,7839.813000,-0.007416725
53,7839.814000,-0.007463455
54,7839.815000,-0.007513046
55,7839.816000,-0.007566452
56,7839.817000,-0.007623672
57,7839.818000,-0.007680893
58,7839.819000,-0.007734299
59,7839.820000,-0.007795334
60,7839.821000,-0.007856369
61,7839.822000,-0.007916451
62,7839.823000,-0.007972717
63,7839.824000,-0.008026123
64,7839.825000,-0.008076668
65,7839.826000,-0.008131981
66,7839.827000,-0.00819397
67,7839.828000,-0.008254051
68,7839.829000,-0.008310318
69,7839.830000,-0.008365631
70,7839.831000,-0.008419991
71,7839.832000,-0.008470535
72,7839.833000,-0.008517265
73,7839.834000,-0.008565903
74,7839.835000,-0.008612633
75,7839.836000,-0.008655548
76,7839.837000,-0.008696556
77,7839.838000,-0.008741379
78,7839.839000,-0.008789063
79,7839.840000,-0.008835793
80,7839.841000,-0.008885384
81,7839.842000,-0.008934021
82,7839.843000,-0.008979797
83,7839.844000,-0.009026527
84,7839.845000,-0.009073257
85,7839.846000,-0.009113312
86,7839.847000,-0.009147644
87,7839.848000,-0.009176254
88,7839.849000,-0.009196281
89,7839.850000,-0.009217262
90,7839.851000,-0.009236336
91,7839.852000,-0.009248734
92,7839.853000,-0.009256363
93,7839.854000,-0.009263992
94,7839.855000,-0.009268761
95,7839.856000,-0.009576797
96,7839.857000,-0.01021194
97,7839.858000,-0.008399963
98,7839.859000,-0.003954887
99,7839.860000,-0.01005173
100,7839.861000,-0.02716732
101,7839.862000,0.01107979
102,7839.863000,-0.0157671
103,7839.864000,-0.009209633
104,7839.865000,-0.009202003
105,7839.866000,-0.009190559
106,7839.867000,-0.009177208
107,7839.868000,-0.009165764
108,7839.869000,-0.009153366
109,7839.870000,-0.0091362
