#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,6.31298
2,7839.763000,6.312477
3,7839.764000,6.311996
4,7839.765000,6.311543
5,7839.766000,6.310968
6,7839.767000,6.310256
7,7839.768000,6.310366
8,7839.769000,6.311346
9,7839.770000,6.30881
10,7839.771000,6.302603
11,7839.772000,6.314878
12,7839.773000,6.305213
13,7839.774000,6.307168
14,7839.775000,6.307354
15,7839.776000,6.305596
16,7839.777000,6.306179
17,7839.778000,6.305552
18,7839.779000,6.305131
19,7839.780000,6.304925
20,7839.781000,6.304943
21,7839.782000,6.304124
22,7839.783000,6.302432
23,7839.784000,6.305117
24,7839.785000,6.302656
25,7839.786000,6.302848
26,7839.787000,6.302536
27,7839.788000,6.302127
28,7839.789000,6.301613
29,7839.790000,6.301919
30,7839.791000,6.303102
31,7839.792000,6.300805
32,7839.793000,6.29487
33,7839.794000,6.307261
34,7839.795000,6.298115
35,7839.796000,6.300089
36,7839.797000,6.299969
37,7839.798000,6.299387
38,7839.799000,6.298306
39,7839.800000,6.299285
40,7839.801000,6.302416
41,7839.802000,6.294871
42,7839.803000,6.300895
43,7839.804000,6.299101
44,7839.805000,6.297518
45,7839.806000,6.303431
46,7839.807000,6.284661
47,7839.808000,6.312321
48,7839.809000,6.293838
49,7839.810000,6.298128
50,7839.811000,6.297973
51,7839.812000,6.296874
52,7839.813000,6.305917
53,7839.814000,6.290419
54,7839.815000,6.300272
55,7839.816000,6.298869
56,7839.817000,6.301671
57,7839.818000,6.297556
58,7839.819000,6.286213
59,7839.820000,6.311343
60,7839.821000,6.294013
61,7839.822000,6.296864
62,7839.823000,6.293583
63,7839.824000,6.297756
64,7839.825000,6.309729
65,7839.826000,6.282526
66,7839.827000,6.301314
67,7839.828000,6.296497
68,7839.829000,6.296312
69,7839.830000,6.296076
70,7839.831000,6.295791
71,7839.832000,6.295885
72,7839.833000,6.295551
73,7839.834000,6.295462
74,7839.835000,6.295347
75,7839.836000,6.295089
76,7839.837000,6.294674
77,7839.838000,6.294906
78,7839.839000,6.295815
79,7839.840000,6.293071
80,7839.841000,6.294327
81,7839.842000,6.294447
82,7839.843000,6.296051
83,7839.844000,6.293438
84,7839.845000,6.28582
85,7839.846000,6.301905
86,7839.847000,6.290368
87,7839.848000,6.293031
88,7839.849000,6.292949
89,7839.850000,6.292864
90,7839.851000,6.29277
91,7839.852000,6.292784
92,7839.853000,6.2929
93,7839.854000,6.292693
94,7839.855000,6.292149
95,7839.856000,6.293308
96,7839.857000,6.292479
97,7839.858000,6.292698
98,7839.859000,6.292743
99,7839.860000,6.292801
100,7839.861000,6.292876
101,7839.862000,6.292933
102,7839.863000,6.292966
103,7839.864000,6.292997
104,7839.865000,6.293014
105,7839.866000,6.293036
106,7839.867000,6.293065
107,7839.868000,6.293081
108,7839.869000,6.293089
109,7839.870000,6.29312
110,7839.871000,6.293175
111,7839.872000,6.293241
112,7839.873000,6.293324
113,7839.874000,6.293422
114,7839.875000,6.293533
115,7839.876000,6.293504
116,7839.877000,6.293319
117,7839.878000,6.293781
118,7839.879000,6.294921
119,7839.880000,6.292643
120,7839.881000,6.294376
121,7839.882000,6.294055
122,7839.883000,6.294144
123,7839.884000,6.294318
124,7839.885000,6.294587
125,7839.886000,6.294152
