#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,-0.02754494
2,7839.763000,-0.02760495
3,7839.764000,-0.02767846
4,7839.765000,-0.02777154
5,7839.766000,-0.02773994
6,7839.767000,-0.02757062
7,7839.768000,-0.02631388
8,7839.769000,-0.02382301
9,7839.770000,-0.02650389
10,7839.771000,-0.03467053
11,7839.772000,-0.02184904
12,7839.773000,-0.0352041
13,7839.774000,-0.0299843
14,7839.775000,-0.02106451
15,7839.776000,-0.02105208
16,7839.777000,-0.02933563
17,7839.778000,-0.03108091
18,7839.779000,-0.02863618
19,7839.780000,-0.02568068
20,7839.781000,-0.01973799
21,7839.782000,-0.0335364
22,7839.783000,-0.03088707
23,7839.784000,-0.01978272
24,7839.785000,-0.02890055
25,7839.786000,-0.02664037
26,7839.787000,-0.02668315
27,7839.788000,-0.02646288
28,7839.789000,-0.02596628
29,7839.790000,-0.02685866
30,7839.791000,-0.02610842
31,7839.792000,-0.02619317
32,7839.793000,-0.02611577
33,7839.794000,-0.02604944
34,7839.795000,-0.02600117
35,7839.796000,-0.02582674
36,7839.797000,-0.02551813
37,7839.798000,-0.02576967
38,7839.799000,-0.02660434
39,7839.800000,-0.02451598
40,7839.801000,-0.02518586
41,7839.802000,-0.025849
42,7839.803000,-0.02496145
43,7839.804000,-0.02501658
44,7839.805000,-0.0248842
45,7839.806000,-0.02478564
46,7839.807000,-0.02472993
47,7839.808000,-0.02436371
48,7839.809000,-0.02366809
49,7839.810000,-0.02430828
50,7839.811000,-0.0263467
51,7839.812000,-0.02127809
52,7839.813000,-0.02422371
53,7839.814000,-0.02361649
54,7839.815000,-0.02450511
55,7839.816000,-0.02205431
56,7839.817000,-0.02358952
57,7839.818000,-0.02299175
58,7839.819000,-0.0226841
59,7839.820000,-0.02292174
60,7839.821000,-0.02252708
61,7839.822000,-0.02245335
62,7839.823000,-0.02231303
63,7839.824000,-0.0221705
64,7839.825000,-0.0220254
65,7839.826000,-0.02188376
66,7839.827000,-0.02174613
67,7839.828000,-0.02160782
68,7839.829000,-0.0214703
69,7839.830000,-0.02132955
70,7839.831000,-0.02118485
71,7839.832000,-0.02103938
72,7839.833000,-0.02089127
73,7839.834000,-0.02073372
74,7839.835000,-0.02056931
75,7839.836000,-0.02039615
76,7839.837000,-0.0202141
77,7839.838000,-0.02006734
78,7839.839000,-0.01995972
79,7839.840000,-0.01986849
80,7839.841000,-0.01980587
81,7839.842000,-0.01957315
82,7839.843000,-0.01915054
83,7839.844000,-0.0190084
84,7839.845000,-0.01912898
85,7839.846000,-0.01900698
86,7839.847000,-0.01871139
87,7839.848000,-0.01834952
88,7839.849000,-0.01782894
89,7839.850000,-0.01747006
90,7839.851000,-0.02068547
91,7839.852000,-0.01475066
92,7839.853000,-0.02357488
93,7839.854000,-0.01647295
94,7839.855000,-5.033463E-4
95,7839.856000,-0.03470291
96,7839.857000,-0.014672
97,7839.858000,-0.01235464
98,7839.859000,-0.01759376
99,7839.860000,-0.01603193
100,7839.861000,-0.01579621
101,7839.862000,-0.01556253
102,7839.863000,-0.01533383
103,7839.864000,-0.01510276
104,7839.865000,-0.01487302
105,7839.866000,-0.01464102
106,7839.867000,-0.01440621
107,7839.868000,-0.01417198
108,7839.869000,-0.01393764
