#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,2.326878
2,7839.763000,2.705537
3,7839.764000,2.64905
4,7839.765000,2.745332
5,7839.766000,2.765757
6,7839.767000,2.688732
7,7839.768000,2.352294
8,7839.769000,1.690316
9,7839.770000,3.131964
10,7839.771000,5.514868
11,7839.772000,4.685925
12,7839.773000,6.892132
13,7839.774000,6.124988
14,7839.775000,0.7327585
15,7839.776000,0.494696
16,7839.777000,4.075918
17,7839.778000,5.43167
18,7839.779000,2.941399
19,7839.780000,2.569643
20,7839.781000,2.247705
21,7839.782000,4.431357
22,7839.783000,4.0495
23,7839.784000,1.839319
24,7839.785000,3.881431
25,7839.786000,2.780037
26,7839.787000,1.537699
27,7839.788000,4.669868
28,7839.789000,3.786613
29,7839.790000,2.545786
30,7839.791000,3.4472
31,7839.792000,3.761701
32,7839.793000,3.256874
33,7839.794000,3.327467
34,7839.795000,3.333313
35,7839.796000,3.307837
36,7839.797000,3.270236
37,7839.798000,3.250117
38,7839.799000,3.241414
39,7839.800000,3.244355
40,7839.801000,3.264698
41,7839.802000,3.277863
42,7839.803000,3.284389
43,7839.804000,3.303828
44,7839.805000,3.331866
45,7839.806000,3.306623
46,7839.807000,3.224783
47,7839.808000,3.215083
48,7839.809000,3.271313
49,7839.810000,3.019763
50,7839.811000,3.519404
51,7839.812000,3.54151
52,7839.813000,3.458372
53,7839.814000,3.343027
54,7839.815000,3.119087
55,7839.816000,3.105364
56,7839.817000,3.328735
57,7839.818000,3.0899
58,7839.819000,3.152153
59,7839.820000,4.242794
60,7839.821000,3.178198
61,7839.822000,2.923016
62,7839.823000,3.417477
63,7839.824000,3.379095
64,7839.825000,3.327607
65,7839.826000,3.336737
66,7839.827000,3.347705
67,7839.828000,3.331553
68,7839.829000,3.296381
69,7839.830000,3.376941
70,7839.831000,3.057511
71,7839.832000,3.586241
72,7839.833000,3.512831
73,7839.834000,3.127295
74,7839.835000,3.188691
75,7839.836000,3.218058
76,7839.837000,3.613715
77,7839.838000,3.568378
78,7839.839000,3.126579
79,7839.840000,2.58063
80,7839.841000,3.238091
81,7839.842000,3.6991
82,7839.843000,3.15012
83,7839.844000,3.180295
84,7839.845000,3.156367
85,7839.846000,3.360778
86,7839.847000,3.149262
87,7839.848000,3.128642
88,7839.849000,3.044093
89,7839.850000,3.143159
90,7839.851000,3.446706
91,7839.852000,3.472805
92,7839.853000,3.241523
93,7839.854000,3.171221
94,7839.855000,3.18207
95,7839.856000,4.034048
96,7839.857000,3.943014
97,7839.858000,3.824977
98,7839.859000,3.603596
99,7839.860000,3.269851
100,7839.861000,2.216728
101,7839.862000,4.414164
102,7839.863000,3.334921
103,7839.864000,2.855489
104,7839.865000,3.296181
105,7839.866000,3.095331
106,7839.867000,3.062893
107,7839.868000,2.968222
108,7839.869000,2.825838
109,7839.870000,2.851154
110,7839.871000,3.047133
111,7839.872000,3.263144
112,7839.873000,3.546516
113,7839.874000,3.807694
114,7839.875000,3.732703
115,7839.876000,3.227003
116,7839.877000,3.109898
117,7839.878000,2.746901
118,7839.879000,2.498996
119,7839.880000,2.828104
120,7839.881000,2.70177
121,7839.882000,3.829657
122,7839.883000,3.757224
123,7839.884000,2.619431
124,7839.885000,3.683216
125,7839.886000,3.367838
