#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,1.537489
2,7839.763000,1.57084
3,7839.764000,1.567125
4,7839.765000,1.55358
5,7839.766000,1.553782
6,7839.767000,1.564124
7,7839.768000,1.557293
8,7839.769000,1.560597
9,7839.770000,1.562238
10,7839.771000,1.56874
11,7839.772000,1.56711
12,7839.773000,1.557678
13,7839.774000,1.587132
14,7839.775000,1.555779
15,7839.776000,1.562649
16,7839.777000,1.556959
17,7839.778000,1.587044
18,7839.779000,1.570496
19,7839.780000,1.562298
20,7839.781000,1.572286
21,7839.782000,1.57096
22,7839.783000,1.572537
23,7839.784000,1.571601
24,7839.785000,1.567874
25,7839.786000,1.579188
26,7839.787000,1.561882
27,7839.788000,1.58151
28,7839.789000,1.571148
29,7839.790000,1.570155
30,7839.791000,1.582109
31,7839.792000,1.564733
32,7839.793000,1.580473
33,7839.794000,1.570153
34,7839.795000,1.573735
35,7839.796000,1.575101
36,7839.797000,1.581642
37,7839.798000,1.569363
38,7839.799000,1.566097
39,7839.800000,1.58549
40,7839.801000,1.570459
41,7839.802000,1.57379
42,7839.803000,1.573472
43,7839.804000,1.573074
44,7839.805000,1.572604
45,7839.806000,1.572123
46,7839.807000,1.571631
47,7839.808000,1.571135
48,7839.809000,1.570654
49,7839.810000,1.569833
50,7839.811000,1.56865
51,7839.812000,1.5686
52,7839.813000,1.569726
53,7839.814000,1.564758
54,7839.815000,1.567077
55,7839.816000,1.565738
56,7839.817000,1.565206
57,7839.818000,1.564218
58,7839.819000,1.562734
59,7839.820000,1.563748
60,7839.821000,1.567394
61,7839.822000,1.559139
62,7839.823000,1.553953
63,7839.824000,1.570095
64,7839.825000,1.556982
65,7839.826000,1.559171
66,7839.827000,1.558214
67,7839.828000,1.558396
68,7839.829000,1.559817
69,7839.830000,1.556218
70,7839.831000,1.547366
71,7839.832000,1.564614
72,7839.833000,1.551117
73,7839.834000,1.553321
74,7839.835000,1.552376
75,7839.836000,1.55139
76,7839.837000,1.550357
77,7839.838000,1.549791
78,7839.839000,1.549745
79,7839.840000,1.547439
80,7839.841000,1.542761
81,7839.842000,1.550501
82,7839.843000,1.546275
83,7839.844000,1.543363
84,7839.845000,1.533373
85,7839.846000,1.551456
86,7839.847000,1.542221
87,7839.848000,1.534356
88,7839.849000,1.53979
89,7839.850000,1.536773
90,7839.851000,1.535375
91,7839.852000,1.533967
92,7839.853000,1.532569
93,7839.854000,1.530565
94,7839.855000,1.52791
95,7839.856000,1.52713
96,7839.857000,1.528287
97,7839.858000,1.520996
98,7839.859000,1.534731
99,7839.860000,1.518613
100,7839.861000,1.483025
101,7839.862000,1.557019
102,7839.863000,1.501763
103,7839.864000,1.512781
104,7839.865000,1.510694
105,7839.866000,1.509302
106,7839.867000,1.508655
107,7839.868000,1.505138
108,7839.869000,1.498631
109,7839.870000,1.506362
110,7839.871000,1.492326
111,7839.872000,1.497343
112,7839.873000,1.509911
113,7839.874000,1.474518
114,7839.875000,1.49869
115,7839.876000,1.487141
116,7839.877000,1.480992
117,7839.878000,1.491359
118,7839.879000,1.466097
119,7839.880000,1.488632
120,7839.881000,1.483708
121,7839.882000,1.460457
122,7839.883000,1.483678
123,7839.884000,1.461767
124,7839.885000,1.470209
125,7839.886000,1.465396
