#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,0.4599811
2,7839.763000,0.4613004
3,7839.764000,0.4625825
4,7839.765000,0.4638155
5,7839.766000,0.4649669
6,7839.767000,0.4660367
7,7839.768000,0.4679133
8,7839.769000,0.4706787
9,7839.770000,0.4698893
10,7839.771000,0.4653836
11,7839.772000,0.4793742
12,7839.773000,0.4714265
13,7839.774000,0.474996
14,7839.775000,0.4766939
15,7839.776000,0.4763841
16,7839.777000,0.4783291
17,7839.778000,0.4790531
18,7839.779000,0.4799738
19,7839.780000,0.4810425
20,7839.781000,0.4822838
21,7839.782000,0.4827091
22,7839.783000,0.4822829
23,7839.784000,0.4862317
24,7839.785000,0.4850509
25,7839.786000,0.4864859
26,7839.787000,0.4873782
27,7839.788000,0.4881768
28,7839.789000,0.4888639
29,7839.790000,0.4903326
30,7839.791000,0.4926457
31,7839.792000,0.4914522
32,7839.793000,0.4865886
33,7839.794000,0.5000466
34,7839.795000,0.4919674
35,7839.796000,0.4949879
36,7839.797000,0.4959017
37,7839.798000,0.4962656
38,7839.799000,0.4960376
39,7839.800000,0.4978134
40,7839.801000,0.5016667
41,7839.802000,0.4948027
42,7839.803000,0.5014715
43,7839.804000,0.5002478
44,7839.805000,0.4991699
45,7839.806000,0.5055779
46,7839.807000,0.4872954
47,7839.808000,0.5154096
48,7839.809000,0.4973612
49,7839.810000,0.5020229
50,7839.811000,0.5021711
51,7839.812000,0.5013424
52,7839.813000,0.5106127
53,7839.814000,0.4954258
54,7839.815000,0.5056925
55,7839.816000,0.5047371
56,7839.817000,0.5080594
57,7839.818000,0.5044689
58,7839.819000,0.4936531
59,7839.820000,0.5193805
60,7839.821000,0.5027062
61,7839.822000,0.5061682
62,7839.823000,0.5034508
63,7839.824000,0.5081874
64,7839.825000,0.5206969
65,7839.826000,0.4940882
66,7839.827000,0.5135357
67,7839.828000,0.50938
68,7839.829000,0.5098811
69,7839.830000,0.5102777
70,7839.831000,0.5105585
71,7839.832000,0.5112051
72,7839.833000,0.5113845
73,7839.834000,0.5118042
74,7839.835000,0.5121956
75,7839.836000,0.5124077
76,7839.837000,0.5124306
77,7839.838000,0.5131493
78,7839.839000,0.5145923
79,7839.840000,0.5125069
80,7839.841000,0.514573
81,7839.842000,0.5146185
82,7839.843000,0.5151968
83,7839.844000,0.5153117
84,7839.845000,0.5143294
85,7839.846000,0.5173587
86,7839.847000,0.5156878
87,7839.848000,0.5163356
88,7839.849000,0.5164608
89,7839.850000,0.5165603
90,7839.851000,0.5166359
91,7839.852000,0.5167318
92,7839.853000,0.5168636
93,7839.854000,0.5166656
94,7839.855000,0.5161221
95,7839.856000,0.517252
96,7839.857000,0.5163751
97,7839.858000,0.5164728
98,7839.859000,0.5163198
99,7839.860000,0.5161405
100,7839.861000,0.5159258
101,7839.862000,0.5157294
102,7839.863000,0.5155596
103,7839.864000,0.5153835
104,7839.865000,0.5152177
105,7839.866000,0.5150362
106,7839.867000,0.5148348
107,7839.868000,0.5146424
108,7839.869000,0.5144523
109,7839.870000,0.5142186
110,7839.871000,0.5139397
111,7839.872000,0.5136353
112,7839.873000,0.5132937
113,7839.874000,0.5129684
114,7839.875000,0.5126641
115,7839.876000,0.5121825
116,7839.877000,0.5115181
