#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,-11.3514
2,7839.763000,-11.35249
3,7839.764000,-11.35372
4,7839.765000,-11.35514
5,7839.766000,-11.35445
6,7839.767000,-11.35144
7,7839.768000,-11.34726
8,7839.769000,-11.34128
9,7839.770000,-11.34436
10,7839.771000,-11.35757
11,7839.772000,-11.37665
12,7839.773000,-11.40478
13,7839.774000,-11.37722
14,7839.775000,-11.30179
15,7839.776000,-11.30477
16,7839.777000,-11.38559
17,7839.778000,-11.3811
18,7839.779000,-11.357
19,7839.780000,-11.35221
20,7839.781000,-11.36238
21,7839.782000,-11.35557
22,7839.783000,-11.33995
23,7839.784000,-11.36501
24,7839.785000,-11.43133
25,7839.786000,-11.30079
26,7839.787000,-11.2953
27,7839.788000,-11.4531
28,7839.789000,-11.34097
29,7839.790000,-11.35453
30,7839.791000,-11.32406
31,7839.792000,-11.38372
32,7839.793000,-11.41968
33,7839.794000,-11.28708
34,7839.795000,-11.38486
35,7839.796000,-11.36179
36,7839.797000,-11.36333
37,7839.798000,-11.36166
38,7839.799000,-11.35662
39,7839.800000,-11.36867
40,7839.801000,-11.36187
41,7839.802000,-11.36028
42,7839.803000,-11.35162
43,7839.804000,-11.36339
44,7839.805000,-11.39651
45,7839.806000,-11.32205
46,7839.807000,-11.37393
47,7839.808000,-11.36088
48,7839.809000,-11.36048
49,7839.810000,-11.36068
50,7839.811000,-11.36154
51,7839.812000,-11.36356
52,7839.813000,-11.367
53,7839.814000,-11.36108
54,7839.815000,-11.34499
55,7839.816000,-11.35583
56,7839.817000,-11.39392
57,7839.818000,-11.29814
58,7839.819000,-11.39337
59,7839.820000,-11.37535
60,7839.821000,-11.35285
61,7839.822000,-11.34974
62,7839.823000,-11.36003
63,7839.824000,-11.36086
64,7839.825000,-11.35815
65,7839.826000,-11.35822
66,7839.827000,-11.3584
67,7839.828000,-11.35819
68,7839.829000,-11.35806
69,7839.830000,-11.3579
70,7839.831000,-11.35772
71,7839.832000,-11.35754
72,7839.833000,-11.35733
73,7839.834000,-11.35712
74,7839.835000,-11.35691
75,7839.836000,-11.35667
76,7839.837000,-11.35643
77,7839.838000,-11.35619
78,7839.839000,-11.35597
79,7839.840000,-11.35575
80,7839.841000,-11.35554
81,7839.842000,-11.35532
82,7839.843000,-11.35509
83,7839.844000,-11.35406
84,7839.845000,-11.35214
85,7839.846000,-11.35701
86,7839.847000,-11.3692
87,7839.848000,-11.35067
88,7839.849000,-11.29995
89,7839.850000,-11.40795
90,7839.851000,-11.35359
91,7839.852000,-11.33063
92,7839.853000,-11.35721
93,7839.854000,-11.35214
94,7839.855000,-11.35703
95,7839.856000,-11.34886
96,7839.857000,-11.32706
97,7839.858000,-11.37533
98,7839.859000,-11.34798
99,7839.860000,-11.34428
100,7839.861000,-11.31482
101,7839.862000,-11.36603
102,7839.863000,-11.39922
103,7839.864000,-11.27829
104,7839.865000,-11.36546
105,7839.866000,-11.3438
106,7839.867000,-11.34454
107,7839.868000,-11.34015
108,7839.869000,-11.33032
109,7839.870000,-11.35194
110,7839.871000,-11.36334
111,7839.872000,-11.33267
112,7839.873000,-11.24322
113,7839.874000,-11.43138
114,7839.875000,-11.35381
115,7839.876000,-11.28267
116,7839.877000,-11.344
