#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,15.17004
2,7839.763000,15.20486
3,7839.764000,15.19656
4,7839.765000,15.19677
5,7839.766000,15.19658
6,7839.767000,15.19594
7,7839.768000,15.19645
8,7839.769000,15.19814
9,7839.770000,15.19381
10,7839.771000,15.20738
11,7839.772000,15.19326
12,7839.773000,15.18485
13,7839.774000,15.22169
14,7839.775000,15.15822
15,7839.776000,15.23201
16,7839.777000,15.18645
17,7839.778000,15.19645
18,7839.779000,15.19367
19,7839.780000,15.19726
20,7839.781000,15.20752
21,7839.782000,15.18317
22,7839.783000,15.19724
23,7839.784000,15.19936
24,7839.785000,15.21439
25,7839.786000,15.19355
26,7839.787000,15.13523
27,7839.788000,15.26521
28,7839.789000,15.17384
29,7839.790000,15.1959
30,7839.791000,15.19552
31,7839.792000,15.19674
32,7839.793000,15.19968
33,7839.794000,15.19479
34,7839.795000,15.18165
35,7839.796000,15.20452
36,7839.797000,15.20547
37,7839.798000,15.16833
38,7839.799000,15.24443
39,7839.800000,15.14969
40,7839.801000,15.21531
41,7839.802000,15.19372
42,7839.803000,15.17553
43,7839.804000,15.21585
44,7839.805000,15.19152
45,7839.806000,15.19283
46,7839.807000,15.17846
47,7839.808000,15.20814
48,7839.809000,15.19707
49,7839.810000,15.1831
50,7839.811000,15.19319
51,7839.812000,15.19255
52,7839.813000,15.19972
53,7839.814000,15.18272
54,7839.815000,15.1943
55,7839.816000,15.19095
56,7839.817000,15.19082
57,7839.818000,15.19062
58,7839.819000,15.19054
59,7839.820000,15.18996
60,7839.821000,15.18882
61,7839.822000,15.18943
62,7839.823000,15.19073
63,7839.824000,15.18445
64,7839.825000,15.19978
65,7839.826000,15.17764
66,7839.827000,15.19161
67,7839.828000,15.18822
68,7839.829000,15.18868
69,7839.830000,15.18668
70,7839.831000,15.18204
71,7839.832000,15.18657
72,7839.833000,15.20056
73,7839.834000,15.16362
74,7839.835000,15.21574
75,7839.836000,15.15994
76,7839.837000,15.19256
77,7839.838000,15.18559
78,7839.839000,15.18895
79,7839.840000,15.18358
80,7839.841000,15.16907
81,7839.842000,15.20135
82,7839.843000,15.18068
83,7839.844000,15.18035
84,7839.845000,15.16672
85,7839.846000,15.18453
86,7839.847000,15.23518
87,7839.848000,15.12112
88,7839.849000,15.20384
89,7839.850000,15.1803
90,7839.851000,15.17008
91,7839.852000,15.1917
92,7839.853000,15.17439
93,7839.854000,15.18019
94,7839.855000,15.17822
95,7839.856000,15.1773
96,7839.857000,15.1749
97,7839.858000,15.17803
98,7839.859000,15.18699
99,7839.860000,15.16936
100,7839.861000,15.1573
101,7839.862000,15.19688
102,7839.863000,15.16687
103,7839.864000,15.17349
104,7839.865000,15.17293
105,7839.866000,15.17278
106,7839.867000,15.17311
107,7839.868000,15.1698
108,7839.869000,15.16259
109,7839.870000,15.1716
110,7839.871000,15.19762
111,7839.872000,15.13926
112,7839.873000,15.16767
113,7839.874000,15.17845
114,7839.875000,15.16728
115,7839.876000,15.16561
116,7839.877000,15.15279
117,7839.878000,15.18055
118,7839.879000,15.16362
119,7839.880000,15.15998
120,7839.881000,15.14053
121,7839.882000,15.16606
122,7839.883000,15.2386
123,7839.884000,15.07476
124,7839.885000,15.18815
125,7839.886000,15.16102
