#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7839.7600,2498.579
2,7839.7800,2498.782
3,7839.8000,2498.298
4,7839.8200,2498.079
5,7839.8400,2498.141
6,7839.8600,2498.173
7,7839.8800,2498.736
8,7839.9000,2497.766
9,7839.9200,2498.923
10,7839.9400,2497.907
11,7839.9600,2498.626
12,7839.9800,2497.938
13,7840.0000,2498.673
14,7840.0200,2498.094
15,7840.0400,2498.047
16,7840.0600,2498.173
17,7840.0800,2498.438
18,7840.1000,2498.188
19,7840.1200,2498.986
20,7840.1400,2497.719
21,7840.1600,2498.736
22,7840.1800,2498.563
23,7840.2000,2498.532
24,7840.2200,2498.47
25,7840.2400,2498.032
26,7840.2600,2498.673
27,7840.2800,2498.157
28,7840.3000,2498.454
29,7840.3200,2498.251
30,7840.3400,2498.313
31,7840.3600,2498.36
32,7840.3800,2497.938
33,7840.4000,2497.844
34,7840.4200,2498.251
35,7840.4400,2497.907
36,7840.4600,2497.954
37,7840.4800,2498.032
38,7840.5000,2498.798
39,7840.5200,2498.329
40,7840.5400,2498.47
41,7840.5600,2497.938
42,7840.5800,2498.126
43,7840.6000,2498.782
44,7840.6200,2498.61
45,7840.6400,2498.595
46,7840.6600,2498.376
47,7840.6800,2498.485
48,7840.7000,2498.689
49,7840.7200,2498.736
50,7840.7400,2498.282
51,7840.7600,2497.938
52,7840.7800,2498.47
53,7840.8000,2498.188
54,7840.8200,2498.329
55,7840.8400,2498.157
56,7840.8600,2498.689
57,7840.8800,2497.782
58,7840.9000,2498.47
59,7840.9200,2497.625
60,7840.9400,2498.485
61,7840.9600,2498.094
62,7840.9800,2498.266
63,7841.0000,2498.219
64,7841.0200,2498.032
65,7841.0400,2498.626
66,7841.0600,2498.282
67,7841.0800,2497.844
68,7841.1000,2497.907
69,7841.1200,2498.219
70,7841.1400,2497.453
71,7841.1600,2498.313
72,7841.1800,2498.329
73,7841.2000,2498.173
74,7841.2200,2497.907
75,7841.2400,2497.75
76,7841.2600,2498.047
77,7841.2800,2498.219
78,7841.3000,2498.438
79,7841.3200,2497.938
80,7841.3400,2498.032
81,7841.3600,2498.219
82,7841.3800,2497.938
83,7841.4000,2498.954
84,7841.4200,2498.313
85,7841.4400,2498.188
86,7841.4600,2498.094
87,7841.4800,2498.47
88,7841.5000,2498.72
89,7841.5200,2498.266
90,7841.5400,2498
91,7841.5600,2498.501
92,7841.5800,2498.266
93,7841.6000,2498.251
94,7841.6200,2498.251
95,7841.6400,2498.485
96,7841.6600,2497.782
97,7841.6800,2498.376
98,7841.7000,2498.11
99,7841.7200,2498.047
100,7841.7400,2497.922
101,7841.7600,2498.266
102,7841.7800,2497.922
103,7841.8000,2498.079
104,7841.8200,2498.235
105,7841.8400,2498.047
106,7841.8600,2498.079
107,7841.8800,2497.891
108,7841.9000,2498.032
109,7841.9200,2497.688
110,7841.9400,2498.032
111,7841.9600,2498.548
112,7841.9800,2498.079
113,7842.0000,2498.392
114,7842.0200,2498.094
115,7842.0400,2498.032
116,7842.0600,2498.376
117,7842.0800,2498.157
118,7842.1000,2498.329
119,7842.1200,2497.922
120,7842.1400,2497.891
121,7842.1600,2498.313
122,7842.1800,2498.313
123,7842.2000,2498.657
124,7842.2200,2498.907
125,7842.2400,2497.391
126,7842.2600,2498.376
127,7842.2800,2498.016
128,7842.3000,2498.344
129,7842.3200,2498.313
130,7842.3400,2498.094
131,7842.3600,2497.922
132,7842.3800,2497.954
133,7842.4000,2497.813
134,7842.4200,2498.329
135,7842.4400,2498.392
136,7842.4600,2497.797
137,7842.4800,2498.298
138,7842.5000,2498.595
139,7842.5200,2498.282
140,7842.5400,2497.86
141,7842.5600,2498.298
142,7842.5800,2498.548
143,7842.6000,2498.251
144,7842.6200,2497.516
145,7842.6400,2497.844
146,7842.6600,2498.579
147,7842.6800,2498.251
148,7842.7000,2497.907
149,7842.7200,2498.141
150,7842.7400,2498.141
151,7842.7600,2498.454
152,7842.7800,2497.625
153,7842.8000,2498.61
154,7842.8200,2497.829
155,7842.8400,2497.797
156,7842.8600,2497.907
157,7842.8800,2497.985
158,7842.9000,2497.985
159,7842.9200,2498.501
160,7842.9400,2498.173
161,7842.9600,2498.298
162,7842.9800,2497.922
163,7843.0000,2498.094
164,7843.0200,2498.36
165,7843.0400,2498.188
166,7843.0600,2497.688
167,7843.0800,2499.048
168,7843.1000,2498.72
169,7843.1200,2498.204
170,7843.1400,2498.97
171,7843.1600,2498.845
172,7843.1800,2498.235
173,7843.2000,2498.829
174,7843.2200,2498.501
175,7843.2400,2498.438
176,7843.2600,2498.204
177,7843.2800,2498.47
178,7843.3000,2498.251
179,7843.3200,2498.423
180,7843.3400,2498.266
181,7843.3600,2497.969
182,7843.3800,2498.845
183,7843.4000,2498.798
184,7843.4200,2497.954
185,7843.4400,2498.266
186,7843.4600,2498.563
187,7843.4800,2498.376
188,7843.5000,2498.657
189,7843.5200,2498.079
190,7843.5400,2498.579
191,7843.5600,2497.703
192,7843.5800,2498.595
193,7843.6000,2498.829
194,7843.6200,2498.376
195,7843.6400,2498.126
196,7843.6600,2498.563
197,7843.6800,2498.11
198,7843.7000,2498.423
199,7843.7200,2498.219
200,7843.7400,2498.454
201,7843.7600,2497.86
202,7843.7800,2498.454
203,7843.8000,2497.844
204,7843.8200,2498.517
205,7843.8400,2497.813
206,7843.8600,2498.298
207,7843.8800,2497.547
208,7843.9000,2498.298
209,7843.9200,2498.047
210,7843.9400,2498.595
211,7843.9600,2498.266
212,7843.9800,2497.969
213,7844.0000,2498.657
214,7844.0200,2498.485
215,7844.0400,2498.376
216,7844.0600,2498.407
217,7844.0800,2498.47
218,7844.1000,2498.642
219,7844.1200,2498.126
220,7844.1400,2498.392
221,7844.1600,2498.219
222,7844.1800,2498.141
223,7844.2000,2498.47
224,7844.2200,2497.813
225,7844.2400,2498.298
226,7844.2600,2498.423
227,7844.2800,2498.126
228,7844.3000,2498.376
229,7844.3200,2497.797
230,7844.3400,2497.954
231,7844.3600,2498.047
232,7844.3800,2498.673
233,7844.4000,2498.47
234,7844.4200,2498.251
235,7844.4400,2498.141
236,7844.4600,2498.016
237,7844.4800,2498.548
238,7844.5000,2498.157
239,7844.5200,2498.657
240,7844.5400,2497.797
241,7844.5600,2498.923
242,7844.5800,2498.329
243,7844.6000,2498.47
244,7844.6200,2498.704
245,7844.6400,2498.313
246,7844.6600,2498.344
247,7844.6800,2498.438
248,7844.7000,2498.736
249,7844.7200,2499.08
250,7844.7400,2498.438
251,7844.7600,2498.861
252,7844.7800,2498.595
253,7844.8000,2498.736
254,7844.8200,2498.392
255,7844.8400,2498.814
256,7844.8600,2498.579
257,7844.8800,2498.767
258,7844.9000,2498.501
259,7844.9200,2498.829
260,7844.9400,2498.736
261,7844.9600,2498.548
262,7844.9800,2498.986
263,7845.0000,2498.642
264,7845.0200,2498.579
265,7845.0400,2498.939
266,7845.0600,2499.173
267,7845.0800,2498.454
268,7845.1000,2498.266
269,7845.1200,2499.314
270,7845.1400,2498.673
271,7845.1600,2498.939
272,7845.1800,2498.595
273,7845.2000,2498.751
274,7845.2200,2498.704
275,7845.2400,2498.298
276,7845.2600,2498.689
277,7845.2800,2498.079
278,7845.3000,2498.266
279,7845.3200,2498.673
280,7845.3400,2498.454
281,7845.3600,2498.438
