#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7839.7600,-0.009380701
2,7839.7800,-0.01407105
3,7839.8000,-0.009380701
4,7839.8200,-0.009380701
5,7839.8400,-0.009380701
6,7839.8600,-0.01407105
7,7839.8800,0.05159386
8,7839.9000,0.1172588
9,7839.9200,0.2110658
10,7839.9400,0.2861114
11,7839.9600,0.3564667
12,7839.9800,0.4362026
13,7840.0000,0.4315122
14,7840.0200,0.4221315
15,7840.0400,0.4971772
16,7840.0600,0.5628421
17,7840.0800,0.6378877
18,7840.1000,0.722314
19,7840.1200,0.7973596
20,7840.1400,0.8724052
21,7840.1600,0.9521412
22,7840.1800,1.031877
23,7840.2000,1.088161
24,7840.2200,1.167897
25,7840.2400,1.21011
26,7840.2600,1.266395
27,7840.2800,1.350821
28,7840.3000,1.425867
29,7840.3200,1.514983
30,7840.3400,1.585338
31,7840.3600,1.665074
32,7840.3800,1.721359
33,7840.4000,1.787024
34,7840.4200,1.852688
35,7840.4400,1.923044
36,7840.4600,1.974638
37,7840.4800,1.969947
38,7840.5000,1.965257
39,7840.5200,2.044993
40,7840.5400,2.120039
41,7840.5600,2.199774
42,7840.5800,2.298272
43,7840.6000,2.378008
44,7840.6200,2.462434
45,7840.6400,2.53748
46,7840.6600,2.556241
47,7840.6800,2.560931
48,7840.7000,2.631287
49,7840.7200,2.626596
50,7840.7400,2.626596
51,7840.7600,2.626596
52,7840.7800,2.626596
53,7840.8000,2.626596
54,7840.8200,2.626596
55,7840.8400,2.626596
56,7840.8600,2.696952
57,7840.8800,2.748545
58,7840.9000,2.786068
59,7840.9200,2.889256
60,7840.9400,3.001824
61,7840.9600,3.025276
62,7840.9800,3.08156
63,7841.0000,3.189438
64,7841.0200,3.283245
65,7841.0400,3.362981
66,7841.0600,3.447408
67,7841.0800,3.433336
68,7841.1000,3.513072
69,7841.1200,3.508382
70,7841.1400,3.508382
71,7841.1600,3.508382
72,7841.1800,3.513072
73,7841.2000,3.517763
74,7841.2200,3.588118
75,7841.2400,3.592808
76,7841.2600,3.649093
77,7841.2800,3.738209
78,7841.3000,3.799184
79,7841.3200,3.874229
80,7841.3400,3.869539
81,7841.3600,3.944585
82,7841.3800,3.953965
83,7841.4000,4.029011
84,7841.4200,4.071224
85,7841.4400,4.14627
86,7841.4600,4.193173
87,7841.4800,4.240077
88,7841.5000,4.258838
89,7841.5200,4.319813
90,7841.5400,4.41362
91,7841.5600,4.465214
92,7841.5800,4.465214
93,7841.6000,4.465214
94,7841.6200,4.465214
95,7841.6400,4.460523
96,7841.6600,4.455833
97,7841.6800,4.526188
98,7841.7000,4.605924
99,7841.7200,4.67628
100,7841.7400,4.751325
101,7841.7600,4.770086
102,7841.7800,4.821681
103,7841.8000,4.854513
104,7841.8200,4.896726
105,7841.8400,4.896726
106,7841.8600,4.901416
107,7841.8800,4.976462
108,7841.9000,5.070269
109,7841.9200,5.182837
110,7841.9400,5.309477
111,7841.9600,5.332929
112,7841.9800,5.417355
113,7842.0000,5.412664
114,7842.0200,5.407974
115,7842.0400,5.492401
116,7842.0600,5.48771
117,7842.0800,5.497091
118,7842.1000,5.553375
119,7842.1200,5.633111
120,7842.1400,5.633111
121,7842.1600,5.633111
122,7842.1800,5.684705
123,7842.2000,5.825415
124,7842.2200,5.966126
125,7842.2400,5.984887
126,7842.2600,5.919222
127,7842.2800,5.848867
128,7842.3000,5.848867
129,7842.3200,5.848867
130,7842.3400,5.848867
131,7842.3600,5.801963
132,7842.3800,5.848867
133,7842.4000,5.853558
134,7842.4200,5.853558
135,7842.4400,5.853558
136,7842.4600,5.895771
137,7842.4800,5.923913
138,7842.5000,5.928603
139,7842.5200,5.928603
140,7842.5400,5.928603
141,7842.5600,5.933293
142,7842.5800,5.844177
143,7842.6000,5.844177
144,7842.6200,5.834796
145,7842.6400,5.952055
146,7842.6600,6.134978
147,7842.6800,6.341354
148,7842.7000,6.519587
149,7842.7200,6.697821
150,7842.7400,6.843221
151,7842.7600,6.951099
152,7842.7800,7.012074
153,7842.8000,7.021455
154,7842.8200,7.021455
155,7842.8400,7.058978
156,7842.8600,7.129333
157,7842.8800,7.232521
158,7842.9000,7.391993
159,7842.9200,7.513941
160,7842.9400,7.6312
161,7842.9600,7.729698
162,7842.9800,7.814124
163,7843.0000,7.907931
164,7843.0200,7.992357
165,7843.0400,8.072093
166,7843.0600,8.123687
167,7843.0800,8.123687
168,7843.1000,8.118997
169,7843.1200,8.194042
170,7843.1400,8.334753
171,7843.1600,8.494225
172,7843.1800,8.634935
173,7843.2000,8.709981
174,7843.2200,8.789717
175,7843.2400,8.860072
176,7843.2600,8.855382
177,7843.2800,8.855382
178,7843.3000,8.855382
179,7843.3200,8.855382
180,7843.3400,8.897594
181,7843.3600,9.019544
182,7843.3800,9.108661
183,7843.4000,9.188396
184,7843.4200,9.291584
185,7843.4400,9.36663
186,7843.4600,9.422915
187,7843.4800,9.512031
188,7843.5000,9.591766
189,7843.5200,9.591766
190,7843.5400,9.50734
191,7843.5600,9.512031
192,7843.5800,9.540173
193,7843.6000,9.648051
194,7843.6200,9.727787
195,7843.6400,9.727787
196,7843.6600,9.652741
197,7843.6800,9.648051
198,7843.7000,9.643361
199,7843.7200,9.713716
200,7843.7400,9.784071
201,7843.7600,9.868498
202,7843.7800,9.849736
