#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,2.528635
2,7878.947000,2.558444
3,7878.948000,2.553907
4,7878.949000,2.571166
5,7878.950000,2.531
6,7878.951000,2.439978
7,7878.952000,2.424273
8,7878.953000,2.480959
9,7878.954000,2.506277
10,7878.955000,2.523602
11,7878.956000,2.519855
12,7878.957000,2.477755
13,7878.958000,2.469223
14,7878.959000,2.489213
15,7878.960000,2.502574
16,7878.961000,2.489869
17,7878.962000,2.494355
18,7878.963000,2.499297
19,7878.964000,2.503798
20,7878.965000,2.509471
21,7878.966000,2.509392
22,7878.967000,2.502745
23,7878.968000,2.492611
24,7878.969000,2.476973
25,7878.970000,2.461293
26,7878.971000,2.439599
27,7878.972000,2.421836
28,7878.973000,2.407063
29,7878.974000,2.356968
30,7878.975000,2.324954
31,7878.976000,2.331591
32,7878.977000,2.281816
33,7878.978000,2.243898
34,7878.979000,2.213145
35,7878.980000,2.170949
36,7878.981000,2.12751
37,7878.982000,2.091757
38,7878.983000,2.064988
39,7878.984000,2.041455
40,7878.985000,2.024282
41,7878.986000,1.995814
42,7878.987000,1.95446
43,7878.988000,1.911471
44,7878.989000,1.862285
45,7878.990000,1.820018
46,7878.991000,1.786503
47,7878.992000,1.751692
48,7878.993000,1.719069
49,7878.994000,1.680703
50,7878.995000,1.635027
51,7878.996000,1.588652
52,7878.997000,1.5393
53,7878.998000,1.494549
54,7878.999000,1.455665
55,7879.000000,1.417142
56,7879.001000,1.381156
57,7879.002000,1.344143
58,7879.003000,1.305489
59,7879.004000,1.268807
60,7879.005000,1.23322
61,7879.006000,1.19752
62,7879.007000,1.162069
63,7879.008000,1.126822
64,7879.009000,1.0916
65,7879.010000,1.057851
66,7879.011000,1.025627
67,7879.012000,0.9941093
68,7879.013000,0.9636423
69,7879.014000,0.9297405
70,7879.015000,0.8919117
71,7879.016000,0.8538445
72,7879.017000,0.8143942
73,7879.018000,0.7695994
74,7879.019000,0.7194138
75,7879.020000,0.6922052
76,7879.021000,0.6285675
77,7879.022000,0.5928701
78,7879.023000,0.5658188
79,7879.024000,0.4941585
80,7879.025000,0.4780319
81,7879.026000,0.4331808
82,7879.027000,0.3922087
83,7879.028000,0.3524399
84,7879.029000,0.3131464
85,7879.030000,0.2676419
86,7879.031000,0.2155724
87,7879.032000,0.1595728
88,7879.033000,0.09780169
89,7879.034000,0.04807937
90,7879.035000,0.01191425
91,7879.036000,-0.02082026
92,7879.037000,-0.04538715
93,7879.038000,-0.08123517
94,7879.039000,-0.1304381
95,7879.040000,-0.1796468
96,7879.041000,-0.2339114
97,7879.042000,-0.2817584
98,7879.043000,-0.3212347
99,7879.044000,-0.3619756
100,7879.045000,-0.4008703
101,7879.046000,-0.4475639
102,7879.047000,-0.5038904
103,7879.048000,-0.5627828
104,7879.049000,-0.6271236
105,7879.050000,-0.6436832
106,7879.051000,-0.6067276
107,7879.052000,-0.5924643
108,7879.053000,-0.590656
109,7879.054000,-0.6827618
110,7879.055000,-0.8924586
111,7879.056000,-0.9960663
112,7879.057000,-1.006463
113,7879.058000,-0.9259249
114,7879.059000,-0.724536
115,7879.060000,-0.6751229
116,7879.061000,-0.7899363
117,7879.062000,-0.9824158
118,7879.063000,-1.184795
119,7879.064000,-1.216802
