#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,0.9353557
2,7878.947000,0.9367664
3,7878.948000,0.9381475
4,7878.949000,0.939503
5,7878.950000,0.9408252
6,7878.951000,0.9421158
7,7878.952000,0.9433837
8,7878.953000,0.9446363
9,7878.954000,0.9458916
10,7878.955000,0.9470689
11,7878.956000,0.948112
12,7878.957000,0.9491012
13,7878.958000,0.9501307
14,7878.959000,0.9511545
15,7878.960000,0.9521465
16,7878.961000,0.953162
17,7878.962000,0.9542329
18,7878.963000,0.9553223
19,7878.964000,0.9564059
20,7878.965000,0.9574864
21,7878.966000,0.9585571
22,7878.967000,0.9596255
23,7878.968000,0.9606957
24,7878.969000,0.9617605
25,7878.970000,0.962847
26,7878.971000,0.9639478
27,7878.972000,0.9650691
28,7878.973000,0.9661267
29,7878.974000,0.9671564
30,7878.975000,0.9682648
31,7878.976000,0.9692805
32,7878.977000,0.9702871
33,7878.978000,0.9712646
34,7878.979000,0.9722178
35,7878.980000,0.9731474
36,7878.981000,0.9740493
37,7878.982000,0.9740994
38,7878.983000,0.9732051
39,7878.984000,0.9717493
40,7878.985000,0.9694891
41,7878.986000,0.9668958
42,7878.987000,0.9639912
43,7878.988000,0.9603212
44,7878.989000,0.9559727
45,7878.990000,0.9515448
46,7878.991000,0.9470191
47,7878.992000,0.9421511
48,7878.993000,0.9370804
49,7878.994000,0.9313195
50,7878.995000,0.9248312
51,7878.996000,0.9179673
52,7878.997000,0.9106123
53,7878.998000,0.9033394
54,7878.999000,0.8962388
55,7879.000000,0.8889554
56,7879.001000,0.8816605
57,7879.002000,0.8741031
58,7879.003000,0.8661981
59,7879.004000,0.8581607
60,7879.005000,0.8499062
61,7879.006000,0.8408306
62,7879.007000,0.8309801
63,7879.008000,0.821651
64,7879.009000,0.8128047
65,7879.010000,0.7952397
66,7879.011000,0.7683249
67,7879.012000,0.7756009
68,7879.013000,0.8186285
69,7879.014000,0.6856027
70,7879.015000,0.7765858
71,7879.016000,0.7608023
72,7879.017000,0.7729876
73,7879.018000,0.768501
74,7879.019000,0.745158
75,7879.020000,0.7020521
76,7879.021000,0.6315122
77,7879.022000,0.7276704
78,7879.023000,0.8610952
79,7879.024000,0.915024
80,7879.025000,0.8577557
81,7879.026000,0.7998874
82,7879.027000,0.6960189
83,7879.028000,0.7185147
84,7879.029000,0.8888073
85,7879.030000,0.927861
86,7879.031000,0.8654714
87,7879.032000,0.8722079
88,7879.033000,0.9052441
89,7879.034000,0.9184818
90,7879.035000,0.9320083
91,7879.036000,0.9480691
92,7879.037000,0.9634466
93,7879.038000,0.9812629
94,7879.039000,1.001586
95,7879.040000,1.023374
96,7879.041000,1.047274
97,7879.042000,1.071464
98,7879.043000,1.095838
99,7879.044000,1.121798
100,7879.045000,1.148959
101,7879.046000,1.171472
102,7879.047000,1.188912
103,7879.048000,1.203741
104,7879.049000,1.214312
105,7879.050000,1.224335
106,7879.051000,1.233938
107,7879.052000,1.239785
108,7879.053000,1.242578
109,7879.054000,1.246011
110,7879.055000,1.249891
111,7879.056000,1.252796
112,7879.057000,1.25555
113,7879.058000,1.254971
114,7879.059000,1.250817
115,7879.060000,1.245295
116,7879.061000,1.23763
117,7879.062000,1.232652
118,7879.063000,1.23104
