#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,0.2167969
2,7878.947000,0.2473221
3,7878.948000,0.2794571
4,7878.949000,0.3130493
5,7878.950000,0.3407669
6,7878.951000,0.3619385
7,7878.952000,0.379776
8,7878.953000,0.3922577
9,7878.954000,0.4036865
10,7878.955000,0.4146576
11,7878.956000,0.4205246
12,7878.957000,0.422493
13,7878.958000,0.4255295
14,7878.959000,0.4285889
15,7878.960000,0.4308624
16,7878.961000,0.4329071
17,7878.962000,0.4306946
18,7878.963000,0.4239807
19,7878.964000,0.4157028
20,7878.965000,0.4046021
21,7878.966000,0.3963699
22,7878.967000,0.3921585
23,7878.968000,0.3882599
24,7878.969000,0.3862152
25,7878.970000,0.3830109
26,7878.971000,0.3786545
27,7878.972000,0.3760147
28,7878.973000,0.3749542
29,7878.974000,0.3696976
30,7878.975000,0.3605118
31,7878.976000,0.3493347
32,7878.977000,0.3351135
33,7878.978000,0.321701
34,7878.979000,0.3081512
35,7878.980000,0.2930374
36,7878.981000,0.2766953
37,7878.982000,0.2622528
38,7878.983000,0.2499466
39,7878.984000,0.2388153
40,7878.985000,0.2294998
41,7878.986000,0.2191086
42,7878.987000,0.2080307
43,7878.988000,0.1981812
44,7878.989000,0.1890945
45,7878.990000,0.1793365
46,7878.991000,0.1693497
47,7878.992000,0.1594696
48,7878.993000,0.1492462
49,7878.994000,0.1397629
50,7878.995000,0.1313171
51,7878.996000,0.1232529
52,7878.997000,0.1157761
53,7878.998000,0.1055145
54,7878.999000,0.0921402
55,7879.000000,0.07745361
56,7879.001000,0.0604248
57,7879.002000,0.04268646
58,7879.003000,0.0246582
59,7879.004000,0.004898071
60,7879.005000,-0.01793671
61,7879.006000,-0.03913116
62,7879.007000,-0.05908203
63,7879.008000,-0.07991791
64,7879.009000,-0.100029
65,7879.010000,-0.1212311
66,7879.011000,-0.1453705
67,7879.012000,-0.1686707
68,7879.013000,-0.1931534
69,7879.014000,-0.2130966
70,7879.015000,-0.2253723
71,7879.016000,-0.2357178
72,7879.017000,-0.2412872
73,7879.018000,-0.2448807
74,7879.019000,-0.2472458
75,7879.020000,-0.2455521
76,7879.021000,-0.2389832
77,7879.022000,-0.2325211
78,7879.023000,-0.2282867
79,7879.024000,-0.2221527
80,7879.025000,-0.2148895
81,7879.026000,-0.2042389
82,7879.027000,-0.1889801
83,7879.028000,-0.1721191
84,7879.029000,-0.1527939
85,7879.030000,-0.1345673
86,7879.031000,-0.1175537
87,7879.032000,-0.09886169
88,7879.033000,-0.08098602
89,7879.034000,-0.06272125
90,7879.035000,-0.04122162
91,7879.036000,-0.02056885
92,7879.037000,-7.781982E-4
93,7879.038000,0.02362061
94,7879.039000,0.05190277
95,7879.040000,0.08290863
96,7879.041000,0.117012
97,7879.042000,0.1513977
98,7879.043000,0.186882
99,7879.044000,0.2247849
100,7879.045000,0.2649155
101,7879.046000,0.2972794
102,7879.047000,0.3211594
103,7879.048000,0.3407974
104,7879.049000,0.3534012
105,7879.050000,0.3651505
106,7879.051000,0.3761749
107,7879.052000,0.3807983
108,7879.053000,0.380188
109,7879.054000,0.3806229
110,7879.055000,0.3825302
111,7879.056000,0.3825607
112,7879.057000,0.382637
113,7879.058000,0.3772583
114,7879.059000,0.3659821
