#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,-0.014081
2,7878.947000,-0.01315689
3,7878.948000,-0.01215363
4,7878.949000,-0.01105881
5,7878.950000,-0.01009464
6,7878.951000,-0.009288788
7,7878.952000,-0.008561134
8,7878.953000,-0.007922173
9,7878.954000,-0.007291794
10,7878.955000,-0.006595612
11,7878.956000,-0.006036758
12,7878.957000,-0.005526543
13,7878.958000,-0.005093575
14,7878.959000,-0.004930496
15,7878.960000,-0.004839897
16,7878.961000,-0.004843712
17,7878.962000,-0.005048752
18,7878.963000,-0.005383492
19,7878.964000,-0.005867958
20,7878.965000,-0.006504059
21,7878.966000,-0.006103516
22,7878.967000,-0.004575729
23,7878.968000,-0.002509117
24,7878.969000,4.358292E-4
25,7878.970000,0.003564835
26,7878.971000,0.006782532
27,7878.972000,0.01081562
28,7878.973000,0.01556778
29,7878.974000,0.01583958
30,7878.975000,0.01139355
31,7878.976000,0.004355431
32,7878.977000,-0.006572723
33,7878.978000,-0.009538651
34,7878.979000,-0.003884315
35,7878.980000,0.003957748
36,7878.981000,0.01697063
37,7878.982000,0.02309608
38,7878.983000,0.02106667
39,7878.984000,0.01928329
40,7878.985000,0.01450825
41,7878.986000,0.01265812
42,7878.987000,0.01497746
43,7878.988000,0.0160923
44,7878.989000,0.01759434
45,7878.990000,0.01851082
46,7878.991000,0.01827049
47,7878.992000,0.01869106
48,7878.993000,0.01925373
49,7878.994000,0.01955318
50,7878.995000,0.01989174
51,7878.996000,0.02018738
52,7878.997000,0.0203886
53,7878.998000,0.02084732
54,7878.999000,0.02158737
55,7879.000000,0.02244949
56,7879.001000,0.02350616
57,7879.002000,0.02458382
58,7879.003000,0.02575779
59,7879.004000,0.02723598
60,7879.005000,0.02861977
61,7879.006000,0.0280962
62,7879.007000,0.02536488
63,7879.008000,0.02131653
64,7879.009000,0.0154562
65,7879.010000,0.009132385
66,7879.011000,0.00209713
67,7879.012000,-0.006461143
68,7879.013000,-0.01656055
69,7879.014000,-0.01781559
70,7879.015000,-0.008993149
71,7879.016000,0.004741669
72,7879.017000,0.02654648
73,7879.018000,0.05005646
74,7879.019000,0.07494259
75,7879.020000,0.1069546
76,7879.021000,0.1451349
77,7879.022000,0.137948
78,7879.023000,0.08073235
79,7879.024000,-0.00270462
80,7879.025000,-0.1269674
81,7879.026000,-0.1693745
82,7879.027000,-0.1191072
83,7879.028000,-0.04774189
84,7879.029000,0.077281
85,7879.030000,0.131094
86,7879.031000,0.09989548
87,7879.032000,0.07119751
88,7879.033000,0.01236153
89,7879.034000,-0.01377296
90,7879.035000,0.005067825
91,7879.036000,0.01183796
92,7879.037000,0.0235815
93,7879.038000,0.02906609
94,7879.039000,0.02140522
95,7879.040000,0.01977921
96,7879.041000,0.01970768
97,7879.042000,0.01894093
98,7879.043000,0.01987267
99,7879.044000,0.01996136
100,7879.045000,0.01946831
101,7879.046000,0.01930809
102,7879.047000,0.01916409
103,7879.048000,0.01900101
104,7879.049000,0.01887512
105,7879.050000,0.01879692
106,7879.051000,0.01871872
107,7879.052000,0.01857853
108,7879.053000,0.01841545
109,7879.054000,0.01822472
110,7879.055000,0.01806831
111,7879.056000,0.0179491
112,7879.057000,0.01782417
113,7879.058000,0.01763153
114,7879.059000,0.017416
