#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,5.182189
2,7878.947000,5.164907
3,7878.948000,5.137447
4,7878.949000,5.14903
5,7878.950000,5.146824
6,7878.951000,5.153161
7,7878.952000,5.142769
8,7878.953000,5.113216
9,7878.954000,5.096613
10,7878.955000,5.088811
11,7878.956000,5.075681
12,7878.957000,5.062304
13,7878.958000,5.044913
14,7878.959000,5.021861
15,7878.960000,5.013579
16,7878.961000,4.988071
17,7878.962000,4.969604
18,7878.963000,4.948087
19,7878.964000,4.925618
20,7878.965000,4.901998
21,7878.966000,4.882221
22,7878.967000,4.866814
23,7878.968000,4.852639
24,7878.969000,4.841067
25,7878.970000,4.833984
26,7878.971000,4.825298
27,7878.972000,4.815238
28,7878.973000,4.800942
29,7878.974000,4.815254
30,7878.975000,4.816103
31,7878.976000,4.77351
32,7878.977000,4.786323
33,7878.978000,4.785235
34,7878.979000,4.774872
35,7878.980000,4.773974
36,7878.981000,4.772199
37,7878.982000,4.773801
38,7878.983000,4.778796
39,7878.984000,4.78661
40,7878.985000,4.797913
41,7878.986000,4.804277
42,7878.987000,4.805058
43,7878.988000,4.804876
44,7878.989000,4.801505
45,7878.990000,4.806494
46,7878.991000,4.821028
47,7878.992000,4.837698
48,7878.993000,4.859559
49,7878.994000,4.878421
50,7878.995000,4.893159
51,7878.996000,4.910261
52,7878.997000,4.927596
53,7878.998000,4.943797
54,7878.999000,4.959276
55,7879.000000,4.972942
56,7879.001000,4.984436
57,7879.002000,4.995611
58,7879.003000,5.006168
59,7879.004000,5.014754
60,7879.005000,5.021562
61,7879.006000,5.030126
62,7879.007000,5.040524
63,7879.008000,5.051082
64,7879.009000,5.062671
65,7879.010000,5.07258
66,7879.011000,5.080561
67,7879.012000,5.088657
68,7879.013000,5.096215
69,7879.014000,5.10426
70,7879.015000,5.113089
71,7879.016000,5.123024
72,7879.017000,5.134525
73,7879.018000,5.141053
74,7879.019000,5.142304
75,7879.020000,5.169354
76,7879.021000,5.162279
77,7879.022000,5.17784
78,7879.023000,5.196413
79,7879.024000,5.168039
80,7879.025000,5.190853
81,7879.026000,5.185715
82,7879.027000,5.185519
83,7879.028000,5.183309
84,7879.029000,5.179426
85,7879.030000,5.183042
86,7879.031000,5.194854
87,7879.032000,5.210762
88,7879.033000,5.23333
89,7879.034000,5.243543
90,7879.035000,5.239786
91,7879.036000,5.23343
92,7879.037000,5.219504
93,7879.038000,5.215012
94,7879.039000,5.221987
95,7879.040000,5.228108
96,7879.041000,5.237813
97,7879.042000,5.243865
98,7879.043000,5.244687
99,7879.044000,5.247367
100,7879.045000,5.249907
101,7879.046000,5.250884
102,7879.047000,5.250928
103,7879.048000,5.249128
104,7879.049000,5.245258
105,7879.050000,5.261801
106,7879.051000,5.300714
107,7879.052000,5.302651
108,7879.053000,5.26892
109,7879.054000,5.279265
110,7879.055000,5.326072
111,7879.056000,5.346236
112,7879.057000,5.351367
113,7879.058000,5.3442
114,7879.059000,5.33778
115,7879.060000,5.353169
116,7879.061000,5.401277
117,7879.062000,5.403649
118,7879.063000,5.382143
119,7879.064000,5.422665
120,7879.065000,5.413396
121,7879.066000,5.385693
122,7879.067000,5.386725
123,7879.068000,5.384069
124,7879.069000,5.38649
125,7879.070000,5.385421
