#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,0.7243008
2,7878.947000,0.7249631
3,7878.948000,0.7250568
4,7878.949000,0.724363
5,7878.950000,0.7246937
6,7878.951000,0.7262672
7,7878.952000,0.7280684
8,7878.953000,0.730613
9,7878.954000,0.7294248
10,7878.955000,0.7240705
11,7878.956000,0.7244108
12,7878.957000,0.7299827
13,7878.958000,0.7301711
14,7878.959000,0.7263653
15,7878.960000,0.7242941
16,7878.961000,0.7223386
17,7878.962000,0.7196993
18,7878.963000,0.717045
19,7878.964000,0.7139695
20,7878.965000,0.7105148
21,7878.966000,0.7081152
22,7878.967000,0.7068458
23,7878.968000,0.7063423
24,7878.969000,0.7070172
25,7878.970000,0.7070088
26,7878.971000,0.7062674
27,7878.972000,0.7102187
28,7878.973000,0.7103609
29,7878.974000,0.7126601
30,7878.975000,0.7144034
31,7878.976000,0.716351
32,7878.977000,0.7183233
33,7878.978000,0.721059
34,7878.979000,0.7246286
35,7878.980000,0.7285191
36,7878.981000,0.7329165
37,7878.982000,0.7357233
38,7878.983000,0.7366881
39,7878.984000,0.7369393
40,7878.985000,0.7358693
41,7878.986000,0.7345829
42,7878.987000,0.7331541
43,7878.988000,0.730487
44,7878.989000,0.7267931
45,7878.990000,0.7238981
46,7878.991000,0.7218044
47,7878.992000,0.718789
48,7878.993000,0.7152039
49,7878.994000,0.7145778
50,7878.995000,0.7169923
51,7878.996000,0.699026
52,7878.997000,0.704661
53,7878.998000,0.6988385
54,7878.999000,0.6964628
55,7879.000000,0.6943663
56,7879.001000,0.6929054
57,7879.002000,0.6917391
58,7879.003000,0.6908291
59,7879.004000,0.6906716
60,7879.005000,0.6912223
61,7879.006000,0.6907303
62,7879.007000,0.6891195
63,7879.008000,0.6882411
64,7879.009000,0.6877644
65,7879.010000,0.6868488
66,7879.011000,0.6857552
67,7879.012000,0.6863343
68,7879.013000,0.6886248
69,7879.014000,0.6817997
70,7879.015000,0.6821453
71,7879.016000,0.6771115
72,7879.017000,0.6716789
73,7879.018000,0.6657185
74,7879.019000,0.6592659
75,7879.020000,0.6514961
76,7879.021000,0.6425545
77,7879.022000,0.63385
78,7879.023000,0.6253701
79,7879.024000,0.6165186
80,7879.025000,0.6076185
81,7879.026000,0.5975859
82,7879.027000,0.5863469
83,7879.028000,0.5746857
84,7879.029000,0.5623538
85,7879.030000,0.55172
86,7879.031000,0.5430983
87,7879.032000,0.5351739
88,7879.033000,0.5286407
89,7879.034000,0.5223299
90,7879.035000,0.5161676
91,7879.036000,0.511359
92,7879.037000,0.5077085
93,7879.038000,0.5031778
94,7879.039000,0.4977724
95,7879.040000,0.4923472
96,7879.041000,0.4864099
97,7879.042000,0.4815296
98,7879.043000,0.477816
99,7879.044000,0.4741105
100,7879.045000,0.4707796
101,7879.046000,0.4661556
102,7879.047000,0.4599525
103,7879.048000,0.4532253
104,7879.049000,0.4454686
105,7879.050000,0.4373882
106,7879.051000,0.4290498
107,7879.052000,0.4196455
108,7879.053000,0.409306
109,7879.054000,0.3996918
110,7879.055000,0.3908164
111,7879.056000,0.3819504
112,7879.057000,0.373522
113,7879.058000,0.3643128
114,7879.059000,0.3542337
115,7879.060000,0.3442159
116,7879.061000,0.3339807
117,7879.062000,0.324258
