#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,1.646409
2,7878.947000,1.650517
3,7878.948000,1.654553
4,7878.949000,1.658513
5,7878.950000,1.662306
6,7878.951000,1.665924
7,7878.952000,1.669405
8,7878.953000,1.672724
9,7878.954000,1.675934
10,7878.955000,1.679036
11,7878.956000,1.68198
12,7878.957000,1.684773
13,7878.958000,1.687475
14,7878.959000,1.690082
15,7878.960000,1.692569
16,7878.961000,1.694951
17,7878.962000,1.697176
18,7878.963000,1.69924
19,7878.964000,1.701177
20,7878.965000,1.702973
21,7878.966000,1.704691
22,7878.967000,1.70634
23,7878.968000,1.70788
24,7878.969000,1.709327
25,7878.970000,1.710652
26,7878.971000,1.711851
27,7878.972000,1.712954
28,7878.973000,1.713954
29,7878.974000,1.714792
30,7878.975000,1.715465
31,7878.976000,1.715997
32,7878.977000,1.716372
33,7878.978000,1.716633
34,7878.979000,1.716781
35,7878.980000,1.716782
36,7878.981000,1.716643
37,7878.982000,1.72
38,7878.983000,1.727223
39,7878.984000,1.736616
40,7878.985000,1.749238
41,7878.986000,1.763
42,7878.987000,1.77783
43,7878.988000,1.795743
44,7878.989000,1.816366
45,7878.990000,1.837106
46,7878.991000,1.858045
47,7878.992000,1.880243
48,7878.993000,1.903112
49,7878.994000,1.928789
50,7878.995000,1.957461
51,7878.996000,1.987621
52,7878.997000,2.019791
53,7878.998000,2.051473
54,7878.999000,2.082292
55,7879.000000,2.113839
56,7879.001000,2.145385
57,7879.002000,2.178079
58,7879.003000,2.212051
59,7879.004000,2.246092
60,7879.005000,2.280439
61,7879.006000,2.317533
62,7879.007000,2.357425
63,7879.008000,2.399105
64,7879.009000,2.443192
65,7879.010000,2.487966
66,7879.011000,2.53332
67,7879.012000,2.580638
68,7879.013000,2.629546
69,7879.014000,2.670255
70,7879.015000,2.701926
71,7879.016000,2.728887
72,7879.017000,2.748339
73,7879.018000,2.76624
74,7879.019000,2.782783
75,7879.020000,2.792445
76,7879.021000,2.796311
77,7879.022000,2.800927
78,7879.023000,2.806043
79,7879.024000,2.809099
80,7879.025000,2.811577
81,7879.026000,2.807968
82,7879.027000,2.797822
83,7879.028000,2.784994
84,7879.029000,2.768147
85,7879.030000,2.754476
86,7879.031000,2.745019
87,7879.032000,2.735343
88,7879.033000,2.727545
89,7879.034000,2.71825
90,7879.035000,2.70711
91,7879.036000,2.697662
92,7879.037000,2.689219
93,7879.038000,2.675019
94,7879.039000,2.654952
95,7879.040000,2.631827
96,7879.041000,2.603941
97,7879.042000,2.576154
98,7879.043000,2.548776
99,7879.044000,2.517968
100,7879.045000,2.484799
101,7879.046000,2.457088
102,7879.047000,2.435182
103,7879.048000,2.416168
104,7879.049000,2.402187
105,7879.050000,2.387811
106,7879.051000,2.3729
107,7879.052000,2.362092
108,7879.053000,2.354358
109,7879.054000,2.345452
110,7879.055000,2.335645
111,7879.056000,2.326376
112,7879.057000,2.316708
113,7879.058000,2.310511
114,7879.059000,2.308067
115,7879.060000,2.30675
116,7879.061000,2.307495
117,7879.062000,2.303573
118,7879.063000,2.294098
119,7879.064000,2.282966
120,7879.065000,2.268225
121,7879.066000,2.253214
122,7879.067000,2.238219
123,7879.068000,2.219836
124,7879.069000,2.198725
125,7879.070000,2.180742
