#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,2.725805
2,7878.947000,2.740916
3,7878.948000,2.72988
4,7878.949000,2.766335
5,7878.950000,2.766784
6,7878.951000,2.762075
7,7878.952000,2.772349
8,7878.953000,2.79722
9,7878.954000,2.808553
10,7878.955000,2.810306
11,7878.956000,2.822412
12,7878.957000,2.841264
13,7878.958000,2.833672
14,7878.959000,2.845866
15,7878.960000,2.850813
16,7878.961000,2.862612
17,7878.962000,2.869149
18,7878.963000,2.871757
19,7878.964000,2.891919
20,7878.965000,2.879462
21,7878.966000,2.890995
22,7878.967000,2.91563
23,7878.968000,2.881456
24,7878.969000,2.911949
25,7878.970000,2.905809
26,7878.971000,2.902346
27,7878.972000,2.913424
28,7878.973000,2.922305
29,7878.974000,2.896749
30,7878.975000,2.915937
31,7878.976000,2.910539
32,7878.977000,2.908728
33,7878.978000,2.908999
34,7878.979000,2.911445
35,7878.980000,2.899405
36,7878.981000,2.903439
37,7878.982000,2.899832
38,7878.983000,2.8989
39,7878.984000,2.89832
40,7878.985000,2.898486
41,7878.986000,2.900587
42,7878.987000,2.904791
43,7878.988000,2.9108
44,7878.989000,2.91903
45,7878.990000,2.918581
46,7878.991000,2.908492
47,7878.992000,2.908485
48,7878.993000,2.917001
49,7878.994000,2.94019
50,7878.995000,2.930531
51,7878.996000,2.928405
52,7878.997000,2.939806
53,7878.998000,2.944515
54,7878.999000,2.953022
55,7879.000000,2.945332
56,7879.001000,2.95636
57,7879.002000,2.957589
58,7879.003000,2.960864
59,7879.004000,2.963843
60,7879.005000,2.96664
61,7879.006000,2.969067
62,7879.007000,2.971058
63,7879.008000,2.979284
64,7879.009000,2.994345
65,7879.010000,2.979018
66,7879.011000,2.984799
67,7879.012000,3.008963
68,7879.013000,3.010773
69,7879.014000,2.994517
70,7879.015000,2.99932
71,7879.016000,2.998133
72,7879.017000,2.987211
73,7879.018000,2.964081
74,7879.019000,2.955723
75,7879.020000,2.936312
76,7879.021000,2.91771
77,7879.022000,2.895903
78,7879.023000,2.871235
79,7879.024000,2.845497
80,7879.025000,2.818486
81,7879.026000,2.791673
82,7879.027000,2.765614
83,7879.028000,2.732784
84,7879.029000,2.69879
85,7879.030000,2.633204
86,7879.031000,2.627385
87,7879.032000,2.592849
88,7879.033000,2.564308
89,7879.034000,2.519951
90,7879.035000,2.456691
91,7879.036000,2.41742
92,7879.037000,2.400265
93,7879.038000,2.363513
94,7879.039000,2.3137
95,7879.040000,2.248926
96,7879.041000,2.202553
97,7879.042000,2.163577
98,7879.043000,2.09052
99,7879.044000,2.053306
100,7879.045000,1.981303
101,7879.046000,1.93694
102,7879.047000,1.884134
103,7879.048000,1.838998
104,7879.049000,1.79689
105,7879.050000,1.754042
106,7879.051000,1.710284
107,7879.052000,1.672376
108,7879.053000,1.639646
109,7879.054000,1.589087
110,7879.055000,1.551217
111,7879.056000,1.496962
112,7879.057000,1.447529
113,7879.058000,1.396057
114,7879.059000,1.347179
115,7879.060000,1.29546
116,7879.061000,1.242035
117,7879.062000,1.191044
118,7879.063000,1.14225
119,7879.064000,1.085438
120,7879.065000,1.039355
121,7879.066000,0.9837765
122,7879.067000,0.9244347
123,7879.068000,0.8715466
124,7879.069000,0.8246171
