#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,2.202339
2,7878.947000,2.200584
3,7878.948000,2.18162
4,7878.949000,2.197295
5,7878.950000,2.181999
6,7878.951000,2.15281
7,7878.952000,2.135041
8,7878.953000,2.125005
9,7878.954000,2.13999
10,7878.955000,2.187564
11,7878.956000,2.184998
12,7878.957000,2.132779
13,7878.958000,2.122445
14,7878.959000,2.140819
15,7878.960000,2.151102
16,7878.961000,2.135376
17,7878.962000,2.136292
18,7878.963000,2.137085
19,7878.964000,2.137118
20,7878.965000,2.137914
21,7878.966000,2.135403
22,7878.967000,2.129085
23,7878.968000,2.120361
24,7878.969000,2.108017
25,7878.970000,2.098995
26,7878.971000,2.087476
27,7878.972000,2.067701
28,7878.973000,2.037648
29,7878.974000,2.043392
30,7878.975000,2.031271
31,7878.976000,1.97787
32,7878.977000,1.979852
33,7878.978000,1.963116
34,7878.979000,1.931855
35,7878.980000,1.908786
36,7878.981000,1.882281
37,7878.982000,1.861234
38,7878.983000,1.8465
39,7878.984000,1.834356
40,7878.985000,1.826866
41,7878.986000,1.813789
42,7878.987000,1.794242
43,7878.988000,1.775004
44,7878.989000,1.753491
45,7878.990000,1.734305
46,7878.991000,1.718307
47,7878.992000,1.701185
48,7878.993000,1.68416
49,7878.994000,1.667832
50,7878.995000,1.651787
51,7878.996000,1.636692
52,7878.997000,1.622607
53,7878.998000,1.60466
54,7878.999000,1.582552
55,7879.000000,1.558641
56,7879.001000,1.531635
57,7879.002000,1.504373
58,7879.003000,1.477059
59,7879.004000,1.447166
60,7879.005000,1.415289
61,7879.006000,1.383816
62,7879.007000,1.352634
63,7879.008000,1.320984
64,7879.009000,1.289422
65,7879.010000,1.255896
66,7879.011000,1.220292
67,7879.012000,1.184075
68,7879.013000,1.146779
69,7879.014000,1.110546
70,7879.015000,1.075737
71,7879.016000,1.0397
72,7879.017000,1.002948
73,7879.018000,0.9714608
74,7879.019000,0.9454189
75,7879.020000,0.8905811
76,7879.021000,0.8663638
77,7879.022000,0.8327129
78,7879.023000,0.8097887
79,7879.024000,0.7407355
80,7879.025000,0.7239776
81,7879.026000,0.6800883
82,7879.027000,0.6419924
83,7879.028000,0.6031744
84,7879.029000,0.563972
85,7879.030000,0.5222493
86,7879.031000,0.4776649
87,7879.032000,0.4314628
88,7879.033000,0.382992
89,7879.034000,0.333016
90,7879.035000,0.2815752
91,7879.036000,0.2276827
92,7879.037000,0.1714431
93,7879.038000,0.1152058
94,7879.039000,0.05899692
95,7879.040000,0.001708388
96,7879.041000,-0.05609429
97,7879.042000,-0.1165169
98,7879.043000,-0.1797636
99,7879.044000,-0.244356
100,7879.045000,-0.3108234
101,7879.046000,-0.3674519
102,7879.047000,-0.4129316
103,7879.048000,-0.4531717
104,7879.049000,-0.4847701
105,7879.050000,-0.5254836
106,7879.051000,-0.5767982
107,7879.052000,-0.6157295
108,7879.053000,-0.6455874
109,7879.054000,-0.654664
110,7879.055000,-0.6372582
111,7879.056000,-0.6648127
112,7879.057000,-0.7382966
113,7879.058000,-0.7663471
114,7879.059000,-0.7356969
115,7879.060000,-0.7518074
116,7879.061000,-0.7923629
117,7879.062000,-0.8387278
118,7879.063000,-0.7641932
119,7879.064000,-0.7715273
