#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,0.9998561
2,7878.947000,1.029518
3,7878.948000,1.020396
4,7878.949000,1.02658
5,7878.950000,1.002878
6,7878.951000,1.018238
7,7878.952000,1.015396
8,7878.953000,1.017581
9,7878.954000,1.010924
10,7878.955000,0.9943414
11,7878.956000,0.9730403
12,7878.957000,0.9441141
13,7878.958000,0.9624826
14,7878.959000,1.033553
15,7878.960000,1.036187
16,7878.961000,0.9762828
17,7878.962000,0.9575666
18,7878.963000,0.9603205
19,7878.964000,0.9360493
20,7878.965000,0.9426788
21,7878.966000,1.000642
22,7878.967000,0.9489002
23,7878.968000,0.9420585
24,7878.969000,0.9444994
25,7878.970000,0.9537569
26,7878.971000,0.9698111
27,7878.972000,0.925569
28,7878.973000,0.958648
29,7878.974000,0.9511891
30,7878.975000,0.9507124
31,7878.976000,0.9502724
32,7878.977000,0.9494993
33,7878.978000,0.9509406
34,7878.979000,0.9548841
35,7878.980000,0.9611841
36,7878.981000,0.970688
37,7878.982000,0.9474636
38,7878.983000,0.9596226
39,7878.984000,0.9793571
40,7878.985000,0.9747192
41,7878.986000,0.9739723
42,7878.987000,0.9572192
43,7878.988000,1.005131
44,7878.989000,1.018406
45,7878.990000,0.9640263
46,7878.991000,1.010954
47,7878.992000,1.010358
48,7878.993000,1.009907
49,7878.994000,1.021855
50,7878.995000,1.040641
51,7878.996000,1.049227
52,7878.997000,1.04832
53,7878.998000,1.056533
54,7878.999000,1.071145
55,7879.000000,1.08187
56,7879.001000,1.091355
57,7879.002000,1.102686
58,7879.003000,1.114676
59,7879.004000,1.125706
60,7879.005000,1.135921
61,7879.006000,1.153722
62,7879.007000,1.179547
63,7879.008000,1.171802
64,7879.009000,1.166328
65,7879.010000,1.240686
66,7879.011000,1.230482
67,7879.012000,1.225411
68,7879.013000,1.254019
69,7879.014000,1.274386
70,7879.015000,1.316095
71,7879.016000,1.260424
72,7879.017000,1.315721
73,7879.018000,1.3126
74,7879.019000,1.320487
75,7879.020000,1.326451
76,7879.021000,1.33079
77,7879.022000,1.335311
78,7879.023000,1.339934
79,7879.024000,1.346009
80,7879.025000,1.354151
81,7879.026000,1.35068
82,7879.027000,1.334913
83,7879.028000,1.368439
84,7879.029000,1.373389
85,7879.030000,1.329147
86,7879.031000,1.353185
87,7879.032000,1.371227
88,7879.033000,1.3587
89,7879.034000,1.366185
90,7879.035000,1.369426
91,7879.036000,1.373601
92,7879.037000,1.378479
93,7879.038000,1.381849
94,7879.039000,1.38369
95,7879.040000,1.375558
96,7879.041000,1.355941
97,7879.042000,1.376834
98,7879.043000,1.440356
99,7879.044000,1.295612
100,7879.045000,1.337519
101,7879.046000,1.400698
102,7879.047000,1.332032
103,7879.048000,1.34209
104,7879.049000,1.336957
105,7879.050000,1.329837
106,7879.051000,1.320598
107,7879.052000,1.317015
108,7879.053000,1.319197
109,7879.054000,1.293728
110,7879.055000,1.257433
111,7879.056000,1.313752
112,7879.057000,1.254539
113,7879.058000,1.253353
114,7879.059000,1.239159
115,7879.060000,1.223195
116,7879.061000,1.205255
117,7879.062000,1.192623
118,7879.063000,1.18582
119,7879.064000,1.169622
120,7879.065000,1.167678
121,7879.066000,1.143031
122,7879.067000,1.101115
123,7879.068000,1.071643
