Base,Target,Pearson,k,b,Length,Pearson(sub)
cegun,chilunxiang,-0.046268998835130803,0.022351741790771484,-0.0048226514230647905,21057,0.3083240748297524
cegun,dianjichui,-0.00929312492154434,-0.01862645149230957,0.006755060985933789,21628,-0.11810499485226955
cegun,dianjiheng,-0.0051207958055569614,-0.011175870895385742,-0.018877116887879887,17584,-0.13400720133891594
cegun,fuchen,-0.454969077931597,-0.32223761081695557,-0.12777528280273465,6781,-0.9604908311228677
cegun,hengjian,0.15664356445551786,-0.0260770320892334,0.043303790151723184,10629,-0.4084387689446368
cegun,hengxiang ,0.49676575231960146,-0.22724270820617676,0.5270802357742101,8837,-0.8784671670644059
cegun,lingxing,0.7860682155283863,0.5345791578292847,0.08049803383960853,13124,0.9922689282963298
cegun,niuzhuan,0.6797895738472403,0.8028000593185425,-0.06277561266825467,10595,0.995283842302965
cegun,qianyin,0.6715795658831699,0.1043081283569336,-0.2165464273736437,33144,0.8757480824248705
cegun,zhidong,-0.5962594440462876,-0.03352761268615723,0.20995093996704028,24613,-0.45881074602696126
chilunxiang,cegun,-0.04626899883513076,-0.022351741790771484,-1.0890458155833458,8065,-0.3417147389736293
chilunxiang,dianjichui,0.07243397947983661,0.12293457984924316,-5.983813495897593E-4,22975,0.748908049300411
chilunxiang,dianjiheng,0.030910287226695126,0.08568167686462402,-0.027497490292940706,18117,0.5742145281639608
chilunxiang,fuchen,0.21704501565058795,0.33155083656311035,-0.3476377771971012,6687,0.9314808138499213
chilunxiang,hengjian,0.026928680689827754,-0.007450580596923828,0.025900152120332892,10393,-0.08148859691472655
chilunxiang,hengxiang ,0.02720903578979641,0.003725290298461914,0.36847392351183605,8133,0.060257138115889924
chilunxiang,lingxing,0.03681411935358581,0.03725290298461914,0.619295017743503,9178,0.3600952273596176
chilunxiang,niuzhuan,-0.005088204198495488,-0.09313225746154785,0.4300138999605365,7816,-0.6904107872849262
chilunxiang,qianyin,-0.2347813611718147,0.14156103134155273,-0.17289570304079427,31085,0.8744002522048523
chilunxiang,zhidong,0.2803465923093307,0.003725290298461914,0.18337687023760438,23664,0.04963781856684164
dianjichui,cegun,-0.009293124921544979,-0.001862645149230957,-1.0680832018728386,7962,0.023778283349029594
dianjichui,chilunxiang,0.07243397947983689,0.007450580596923828,0.0035644110331124763,20982,0.060577809570793194
dianjichui,dianjiheng,0.48335000422293056,0.24959444999694824,-0.013729754815717435,18325,0.7337581824096645
dianjichui,fuchen,-0.025619797657333153,-0.03352761268615723,-0.31168228298037093,5848,-0.2509749265537336
dianjichui,hengjian,6.588167986671452E-4,0.020489096641540527,0.02735968287084753,10457,0.25125736223609263
dianjichui,hengxiang ,-0.08721567401724253,-0.011175870895385742,0.36883543100031985,8158,-0.11628782949989075
dianjichui,lingxing,-0.021282111719915325,-0.011175870895385742,0.6300460453494462,9000,-0.1398347851201898
dianjichui,niuzhuan,-0.01118141555090842,0.01862645149230957,0.4432724874351517,7759,0.23120818240659172
dianjichui,qianyin,-0.030499800270963665,0.06705522537231445,-0.14889602354143677,24568,0.6313858091706683
dianjichui,zhidong,0.12740667685193383,0.10803341865539551,0.20607686534883235,24536,0.6858554924794275
dianjiheng,cegun,-0.005120795805553847,-0.001862645149230957,-1.065050396325172,7962,0.013205687093483751
dianjiheng,chilunxiang,0.030910287226694012,0.007450580596923828,0.006777030449180472,20976,0.04780038769954032
dianjiheng,dianjichui,0.4833500042229305,-0.003725290298461914,-0.003041572882839189,21631,-0.010771780188526758
dianjiheng,fuchen,0.0027921268474404726,-0.03352761268615723,-0.31203983055801476,5871,-0.26220565617431024
dianjiheng,hengjian,-0.037394402993401445,0.001862645149230957,0.021157495294479575,10380,0.05941997474113988
dianjiheng,hengxiang ,-0.06709949920730478,0.14528632164001465,0.3602093452179219,8195,0.5575882715233841
dianjiheng,lingxing,0.017664551622177296,-0.003725290298461914,0.5994583776047296,8989,-0.034048873595714235
dianjiheng,niuzhuan,-0.042933064052821726,0.0260770320892334,0.4458294608050833,7764,0.23220133106718074
dianjiheng,qianyin,-0.02095372899671442,0.07450580596923828,-0.15414152120865635,24715,0.6208277348380998
dianjiheng,zhidong,0.07226730178121034,0.03352761268615723,0.19316700860209757,23783,0.24856635290370108
fuchen,cegun,-0.4549690779315969,-0.3688037395477295,0.4310267522969651,8568,-0.9826525649870456
fuchen,chilunxiang,0.2170450156505877,0.022351741790771484,0.020013336880196905,21188,0.14615729929824245
fuchen,dianjichui,-0.025619797657333247,-0.0521540641784668,-0.018080926356901506,22525,-0.5358714483937669
fuchen,dianjiheng,0.002792126847465249,0.03352761268615723,-0.02095886210018205,17589,0.31822499296712947
fuchen,hengjian,0.02241052583472059,-0.03352761268615723,0.04407641162646258,10494,-0.48759474900481664
fuchen,hengxiang ,-0.18327943566854057,-0.0782310962677002,0.3622367586457532,8526,-0.6841320282790487
fuchen,lingxing,-0.29742059329615933,-0.040978193283081055,0.61320002427209,9028,-0.5373992354041578
fuchen,niuzhuan,-0.2369652296685094,0.06332993507385254,0.4634988159175071,7765,0.6252703990590069
fuchen,qianyin,-0.4723268362461424,-0.03725290298461914,-0.16092960016018165,24281,-0.46324500618290587
fuchen,zhidong,0.42742749415294434,0.014901161193847656,0.19970585491842163,23964,0.20982731099835197
hengjian,cegun,0.15664356445551786,0.46938657760620117,0.6338540775337754,9000,0.9893932863508964
hengjian,chilunxiang,0.026928680689825693,0.03725290298461914,-0.0074217022455924505,21326,0.4947080515101567
hengjian,dianjichui,6.588167987384686E-4,-0.007450580596923828,-0.006212570858533792,21684,-0.029713020472716907
hengjian,dianjiheng,-0.0373944029934002,0.003725290298461914,-0.020650402134196614,17560,0.0034438302906858115
hengjian,fuchen,0.022410525834720436,0.12293457984924316,-0.11506489697050322,6237,0.8169222673359938
hengjian,hengxiang ,-3.082443336315527E-4,-0.08568167686462402,0.3157925645506381,8412,-0.7477997166837169
hengjian,lingxing,0.16898447659578328,0.346451997756958,0.5966619225556504,14606,0.9868811066930271
hengjian,niuzhuan,0.24623476919690343,0.35390257835388184,0.5383647988572955,10716,0.985714355410824
hengjian,qianyin,-7.725650639444636E-4,-0.007450580596923828,-0.15537308258647575,23959,-0.06095668936316447
hengjian,zhidong,-0.02763584028784467,-0.03352761268615723,0.19443680803336338,24494,-0.45670041045587634
hengxiang ,cegun,0.49676575231960135,-0.05774199962615967,-1.133904581665106,8019,-0.5150956392838448
hengxiang ,dianjichui,-0.0872156740172422,-0.02421438694000244,0.0038266610157593316,22127,-0.32868020524819797
hengxiang ,dianjiheng,-0.06709949920730438,0.16763806343078613,-0.08061307344073029,18365,0.8472155521728227
hengxiang ,fuchen,-0.18327943566854077,0.0912696123123169,-0.20036724392997035,5950,0.7027526588923434
hengxiang ,hengjian,-3.0824433367058503E-4,-0.0260770320892334,0.03338316383437363,10598,-0.42725778247145546
hengxiang ,lingxing,0.8393391378710864,0.9443610906600952,0.08868372317537049,10613,0.9966575538865903
hengxiang ,niuzhuan,0.5836648365933356,-0.09685754776000977,0.43875996077076446,7846,-0.6373230083924463
hengxiang ,qianyin,0.18819274236011427,0.07078051567077637,-0.1985568024089846,29932,0.8261506515193185
hengxiang ,zhidong,-0.1188139768514971,-0.0130385160446167,0.20068724322307424,23965,-0.2543965573442505
lingxing,cegun,0.7860682155283863,0.7618218660354614,0.11813892751365643,10684,0.9962555320717276
lingxing,chilunxiang,0.03681411935358676,0.007450580596923828,-0.013512291728602407,21053,0.22275903216748974
lingxing,dianjichui,-0.021282111719912167,-0.011175870895385742,-0.0022234131298167104,21776,-0.10216456332649734
lingxing,dianjiheng,0.01766455162217684,0.011175870895385742,-0.03484997234606111,17620,0.1293776887776916
lingxing,fuchen,-0.29742059329615933,-0.0260770320892334,-0.28663308792677344,5878,-0.3016367453696688
lingxing,hengjian,0.16898447659578322,-0.03352761268615723,0.04103086353908669,10582,-0.48015290361172436
lingxing,hengxiang ,0.8393391378710864,0.8754432201385498,-0.038488147176922144,11624,0.9962456195101334
lingxing,niuzhuan,0.8419656228131663,0.867992639541626,-0.013851880669255714,13807,0.9955611793747442
lingxing,qianyin,0.36008978499877664,0.0782310962677002,-0.20155330562268903,32121,0.8456044761357061
lingxing,zhidong,-0.2772589801414207,-0.022351741790771484,0.20398634905495905,24339,-0.4079457142178633
niuzhuan,cegun,0.6797895738472403,0.9778887033462524,0.13641060164542973,9648,0.9964724848368665
niuzhuan,chilunxiang,-0.005088204198505564,0.022351741790771484,-0.003540126704163182,21073,0.31834904822809035
niuzhuan,dianjichui,-0.011181415550906248,0.003725290298461914,0.002886569787291476,21626,0.13676255508757998
niuzhuan,dianjiheng,-0.042933064052819964,-0.040978193283081055,0.01600205595703595,17814,-0.4212804327235679
niuzhuan,fuchen,-0.23696522966850944,-0.11734664440155029,-0.30286499043889414,6026,-0.8134371184618912
niuzhuan,hengjian,0.24623476919690354,0.1601874828338623,-0.04842481261880467,10964,0.9330402362785848
niuzhuan,hengxiang ,0.5836648365933356,-0.14528632164001465,0.3529981305547374,8383,-0.7997136904687941
niuzhuan,lingxing,0.8419656228131663,0.7506459951400757,0.21981929751932006,13960,0.9951216180601233
niuzhuan,qianyin,0.3290160275786452,0.0782310962677002,-0.19548218435706122,29803,0.8154057266462881
niuzhuan,zhidong,-0.25933209317141903,-0.014901161193847656,0.20655637313343056,24273,-0.3177041963360219
qianyin,cegun,0.6715795658831699,0.4433095455169678,0.6246189421211049,9901,0.9929906675648338
qianyin,chilunxiang,-0.23478136117181453,-0.08195638656616211,-0.03181437200424381,21971,-0.8096076602023485
qianyin,dianjichui,-0.030499800270964928,-0.003725290298461914,-0.0030440146231792194,21626,-0.0402991791060074
qianyin,dianjiheng,-0.02095372899671488,-0.011175870895385742,-0.02292606834920672,17649,-0.15472767975233082
qianyin,fuchen,-0.4723268362461425,-0.16205012798309326,-0.18075191421497755,6962,-0.9228850911554348
qianyin,hengjian,-7.725650639468676E-4,-0.10058283805847168,0.07170417814334185,10843,-0.8181703595953701
qianyin,hengxiang ,0.1881927423601141,-0.12665987014770508,0.3570358774004547,8510,-0.8235827165526111
qianyin,lingxing,0.36008978499877653,0.10058283805847168,0.46682445575219295,9888,0.8904808878023663
qianyin,niuzhuan,0.3290160275786451,0.12107193470001221,0.31698089673977703,8113,0.8969682627680178
qianyin,zhidong,-0.9716501009894815,-1.0188668966293335,0.08590564030647876,34905,-0.9984147142699218
zhidong,cegun,-0.5962594440462876,-0.391155481338501,0.6115246453652716,10156,-0.9913108326691878
zhidong,chilunxiang,0.2803465923093309,0.09685754776000977,-0.007606768603691753,21901,0.8148717509639415
zhidong,dianjichui,0.12740667685193385,0.05587935447692871,-0.004318684325681029,21717,0.35274450736083796
zhidong,dianjiheng,0.07226730178121045,0.011175870895385742,-0.02261018094204812,17672,0.14700520957777413
zhidong,fuchen,0.4274274941529444,0.17508864402770996,-0.23441448435945172,6927,0.9315151078558396
zhidong,hengjian,-0.027635840287845662,0.08568167686462402,0.04662510415090999,10839,0.7663229056831126
zhidong,hengxiang ,-0.11881397685149704,0.12293457984924316,0.342873247196572,8461,0.826899472854052
zhidong,lingxing,-0.27725898014142064,-0.09313225746154785,0.48121566160156337,10037,-0.8864499031807852
zhidong,niuzhuan,-0.259332093171419,-0.10058283805847168,0.33091495106534163,8158,-0.8752465856046918
zhidong,qianyin,-0.9716501009894815,-0.9760260581970215,0.07769186561285826,35534,-0.9983555425748323
角速度,速度,0.2239999399869898,-0.014901161193847656,-0.5311442878821977,2280,0.0682579784967464
速度,角速度,0.22399993998698955,-0.029802322387695312,-0.02419392730623272,2665,0.11479225313050335
