#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7878.946000,-0.8192959
2,7878.947000,-0.7373461
3,7878.948000,-0.7042734
4,7878.949000,-0.7135288
5,7878.950000,-0.7759179
6,7878.951000,-0.790682
7,7878.952000,-0.778643
8,7878.953000,-0.687196
9,7878.954000,-0.6895282
10,7878.955000,-0.7746772
11,7878.956000,-0.7800102
12,7878.957000,-0.7287441
13,7878.958000,-0.7345814
14,7878.959000,-0.7763013
15,7878.960000,-0.7764977
16,7878.961000,-0.748082
17,7878.962000,-0.8494169
18,7878.963000,-0.8113266
19,7878.964000,-0.8469355
20,7878.965000,-0.8697274
21,7878.966000,-0.8934408
22,7878.967000,-0.9176094
23,7878.968000,-0.9058726
24,7878.969000,-0.9292952
25,7878.970000,-0.9327983
26,7878.971000,-0.9410018
27,7878.972000,-0.9453226
28,7878.973000,-0.9467276
29,7878.974000,-0.9527008
30,7878.975000,-0.9633064
31,7878.976000,-0.9755361
32,7878.977000,-0.9912576
33,7878.978000,-1.004822
34,7878.979000,-1.015862
35,7878.980000,-1.028965
36,7878.981000,-1.042894
37,7878.982000,-1.047596
38,7878.983000,-1.042605
39,7878.984000,-1.040443
40,7878.985000,-1.039255
41,7878.986000,-1.009748
42,7878.987000,-1.041853
43,7878.988000,-1.054298
44,7878.989000,-1.081713
45,7878.990000,-1.087703
46,7878.991000,-1.069585
47,7878.992000,-1.098609
48,7878.993000,-1.065633
49,7878.994000,-1.065673
50,7878.995000,-1.066133
51,7878.996000,-1.063452
52,7878.997000,-1.060313
53,7878.998000,-1.056861
54,7878.999000,-1.052153
55,7879.000000,-1.048249
56,7879.001000,-1.044979
57,7879.002000,-1.040754
58,7879.003000,-1.035852
59,7879.004000,-1.030902
60,7879.005000,-1.025675
61,7879.006000,-1.01987
62,7879.007000,-1.013521
63,7879.008000,-1.007019
64,7879.009000,-1.005599
65,7879.010000,-0.9874542
66,7879.011000,-0.9840701
67,7879.012000,-0.9663185
68,7879.013000,-0.9432963
69,7879.014000,-0.9446805
70,7879.015000,-0.9719934
71,7879.016000,-0.8990571
72,7879.017000,-0.9498323
73,7879.018000,-0.9387054
74,7879.019000,-0.938949
75,7879.020000,-0.9421726
76,7879.021000,-0.9475037
77,7879.022000,-0.9467162
78,7879.023000,-0.9394796
79,7879.024000,-0.9295596
80,7879.025000,-0.9148163
81,7879.026000,-0.896451
82,7879.027000,-0.8744032
83,7879.028000,-0.8650043
84,7879.029000,-0.8705092
85,7879.030000,-0.8103843
86,7879.031000,-0.8813528
87,7879.032000,-0.9124255
88,7879.033000,-0.9756929
89,7879.034000,-0.982057
90,7879.035000,-0.9245004
91,7879.036000,-0.8466277
92,7879.037000,-0.7272163
93,7879.038000,-0.6651104
94,7879.039000,-0.6702961
95,7879.040000,-0.657938
96,7879.041000,-0.6517722
97,7879.042000,-0.7105053
98,7879.043000,-0.632015
99,7879.044000,-0.6064113
100,7879.045000,-0.5555587
101,7879.046000,-0.5568674
102,7879.047000,-0.4944707
103,7879.048000,-0.46966
104,7879.049000,-0.4449117
105,7879.050000,-0.361452
106,7879.051000,-0.3119743
107,7879.052000,-0.3525876
108,7879.053000,-0.3367792
109,7879.054000,-0.4123565
110,7879.055000,-0.6681433
111,7879.056000,-0.6637658
