#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7878.9400,2497.875
2,7878.9600,2498
3,7878.9800,2499.142
4,7879.0000,2498.751
5,7879.0200,2498.704
6,7879.0400,2498.579
7,7879.0600,2498.814
8,7879.0800,2498.423
9,7879.1000,2498.657
10,7879.1200,2499.189
11,7879.1400,2498.673
12,7879.1600,2498.454
13,7879.1800,2498.939
14,7879.2000,2498.673
15,7879.2200,2498.986
16,7879.2400,2498.829
17,7879.2600,2498.845
18,7879.2800,2499.017
19,7879.3000,2499.111
20,7879.3200,2499.424
21,7879.3400,2498.782
22,7879.3600,2499.048
23,7879.3800,2499.001
24,7879.4000,2499.205
25,7879.4200,2498.61
26,7879.4400,2498.954
27,7879.4600,2498.642
28,7879.4800,2498.532
29,7879.5000,2498.36
30,7879.5200,2498.485
31,7879.5400,2498.329
32,7879.5600,2498.11
33,7879.5800,2497.969
34,7879.6000,2498.11
35,7879.6200,2498.063
36,7879.6400,2497.782
37,7879.6600,2498.047
38,7879.6800,2497.86
39,7879.7000,2498.329
40,7879.7200,2498.454
41,7879.7400,2498.438
42,7879.7600,2498.126
43,7879.7800,2498.767
44,7879.8000,2499.033
45,7879.8200,2498.876
46,7879.8400,2499.502
47,7879.8600,2499.596
48,7879.8800,2499.877
49,7879.9000,2500.002
50,7879.9200,2500.424
51,7879.9400,2500.409
52,7879.9600,2500.581
53,7879.9800,2499.768
54,7880.0000,2500.127
55,7880.0200,2500.503
56,7880.0400,2499.924
57,7880.0600,2499.47
58,7880.0800,2500.018
59,7880.1000,2499.111
60,7880.1200,2499.111
61,7880.1400,2498.626
62,7880.1600,2498.173
63,7880.1800,2497.703
64,7880.2000,2497.078
65,7880.2200,2497.109
66,7880.2400,2496.452
67,7880.2600,2495.733
68,7880.2800,2495.545
69,7880.3000,2495.201
70,7880.3200,2495.186
71,7880.3400,2495.201
72,7880.3600,2494.857
73,7880.3800,2494.404
74,7880.4000,2495.092
75,7880.4200,2494.576
76,7880.4400,2495.155
77,7880.4600,2495.233
78,7880.4800,2494.904
79,7880.5000,2495.827
80,7880.5200,2496.093
81,7880.5400,2495.561
82,7880.5600,2495.467
83,7880.5800,2495.655
84,7880.6000,2495.702
85,7880.6200,2496.171
86,7880.6400,2496.562
87,7880.6600,2496.546
88,7880.6800,2496.828
89,7880.7000,2496.687
90,7880.7200,2497.688
91,7880.7400,2497.547
92,7880.7600,2497.531
93,7880.7800,2498.235
94,7880.8000,2498.204
95,7880.8200,2497.985
96,7880.8400,2498.532
97,7880.8600,2499.22
98,7880.8800,2499.33
99,7880.9000,2499.596
100,7880.9200,2499.126
101,7880.9400,2499.94
102,7880.9600,2500.049
103,7880.9800,2500.284
104,7881.0000,2499.768
105,7881.0200,2500.518
106,7881.0400,2500.096
107,7881.0600,2500.862
108,7881.0800,2500.19
109,7881.1000,2501.05
110,7881.1200,2500.784
111,7881.1400,2501.41
112,7881.1600,2500.596
113,7881.1800,2501.378
114,7881.2000,2500.721
115,7881.2200,2501.003
116,7881.2400,2500.675
117,7881.2600,2500.534
118,7881.2800,2500.487
119,7881.3000,2500.69
120,7881.3200,2500.925
121,7881.3400,2500.049
122,7881.3600,2500.268
123,7881.3800,2500.424
124,7881.4000,2499.799
125,7881.4200,2500.237
126,7881.4400,2499.783
127,7881.4600,2499.251
128,7881.4800,2499.58
129,7881.5000,2499.017
130,7881.5200,2498.36
131,7881.5400,2498.016
132,7881.5600,2498.657
133,7881.5800,2498.11
134,7881.6000,2497.891
135,7881.6200,2497.281
136,7881.6400,2497.578
137,7881.6600,2496.75
138,7881.6800,2497.641
139,7881.7000,2496.281
140,7881.7200,2495.749
141,7881.7400,2496.108
142,7881.7600,2495.655
143,7881.7800,2495.718
144,7881.8000,2495.467
145,7881.8200,2495.123
146,7881.8400,2495.749
147,7881.8600,2495.42
148,7881.8800,2495.796
149,7881.9000,2496.155
150,7881.9200,2496.437
151,7881.9400,2495.764
152,7881.9600,2497.031
153,7881.9800,2497.5
154,7882.0000,2497.25
155,7882.0200,2497.86
156,7882.0400,2498.814
157,7882.0600,2498.845
158,7882.0800,2498.939
159,7882.1000,2498.736
160,7882.1200,2499.799
161,7882.1400,2499.799
162,7882.1600,2500.362
163,7882.1800,2500.143
164,7882.2000,2500.659
165,7882.2200,2500.518
166,7882.2400,2499.768
167,7882.2600,2500.769
168,7882.2800,2500.346
169,7882.3000,2499.674
170,7882.3200,2500.331
171,7882.3400,2499.893
172,7882.3600,2499.814
173,7882.3800,2500.002
174,7882.4000,2500.159
175,7882.4200,2500.049
176,7882.4400,2499.361
177,7882.4600,2499.111
178,7882.4800,2499.064
179,7882.5000,2499.001
180,7882.5200,2498.97
181,7882.5400,2498.767
182,7882.5600,2497.547
183,7882.5800,2498.188
184,7882.6000,2497.563
185,7882.6200,2497.359
186,7882.6400,2496.734
187,7882.6600,2496.984
188,7882.6800,2496.64
189,7882.7000,2496.218
190,7882.7200,2496.625
191,7882.7400,2496.015
192,7882.7600,2495.733
193,7882.7800,2496.015
194,7882.8000,2495.78
195,7882.8200,2495.843
196,7882.8400,2495.264
197,7882.8600,2495.889
198,7882.8800,2496.281
199,7882.9000,2495.686
200,7882.9200,2496.531
201,7882.9400,2496.171
202,7882.9600,2496.359
203,7882.9800,2496.687
204,7883.0000,2497.015
205,7883.0200,2497.797
206,7883.0400,2498.094
207,7883.0600,2499.095
208,7883.0800,2498.876
209,7883.1000,2499.236
210,7883.1200,2500.096
211,7883.1400,2500.377
212,7883.1600,2500.972
213,7883.1800,2500.909
214,7883.2000,2501.238
215,7883.2200,2501.347
216,7883.2400,2501.957
217,7883.2600,2502.27
218,7883.2800,2501.879
219,7883.3000,2501.3
220,7883.3200,2501.331
221,7883.3400,2501.55
222,7883.3600,2501.128
223,7883.3800,2500.831
224,7883.4000,2500.315
225,7883.4200,2499.627
226,7883.4400,2500.018
227,7883.4600,2498.907
228,7883.4800,2498.829
229,7883.5000,2498.063
230,7883.5200,2498.298
231,7883.5400,2497.485
232,7883.5600,2496.812
233,7883.5800,2496.937
234,7883.6000,2496.703
235,7883.6200,2496.515
236,7883.6400,2495.827
237,7883.6600,2496.155
238,7883.6800,2495.811
239,7883.7000,2495.186
240,7883.7200,2495.608
241,7883.7400,2495.639
242,7883.7600,2495.264
243,7883.7800,2494.951
244,7883.8000,2496.062
245,7883.8200,2495.874
246,7883.8400,2496.312
247,7883.8600,2496.843
248,7883.8800,2497.438
249,7883.9000,2497.391
250,7883.9200,2498.016
251,7883.9400,2498.657
252,7883.9600,2498.845
253,7883.9800,2499.126
254,7884.0000,2499.533
255,7884.0200,2499.455
256,7884.0400,2499.768
257,7884.0600,2499.908
258,7884.0800,2499.596
259,7884.1000,2499.877
260,7884.1200,2499.877
261,7884.1400,2499.94
262,7884.1600,2499.486
263,7884.1800,2499.502
264,7884.2000,2499.596
265,7884.2200,2499.22
266,7884.2400,2498.72
267,7884.2600,2498.954
268,7884.2800,2499.345
269,7884.3000,2498.751
270,7884.3200,2498.47
271,7884.3400,2499.189
272,7884.3600,2498.079
273,7884.3800,2498.642
274,7884.4000,2498.501
275,7884.4200,2498.61
276,7884.4400,2498.188
277,7884.4600,2497.797
278,7884.4800,2498.392
279,7884.5000,2498
280,7884.5200,2498.141
281,7884.5400,2497.969
