#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7878.9400,71.31209
2,7878.9600,71.15262
3,7878.9800,70.92279
4,7879.0000,70.68827
5,7879.0200,70.78677
6,7879.0400,70.98376
7,7879.0600,71.11978
8,7879.0800,71.19483
9,7879.1000,71.27457
10,7879.1200,71.34023
11,7879.1400,71.28394
12,7879.1600,71.09164
13,7879.1800,70.8196
14,7879.2000,70.49597
15,7879.2200,70.44907
16,7879.2400,70.42092
17,7879.2600,70.43968
18,7879.2800,70.60384
19,7879.3000,70.67889
20,7879.3200,70.44437
21,7879.3400,70.3834
22,7879.3600,70.49597
23,7879.3800,70.60384
24,7879.4000,70.82898
25,7879.4200,71.05412
26,7879.4400,71.31209
27,7879.4600,71.41058
28,7879.4800,71.46218
29,7879.5000,71.54192
30,7879.5200,71.63573
31,7879.5400,71.66856
32,7879.5600,71.65917
33,7879.5800,71.88432
34,7879.6000,72.17511
35,7879.6200,72.60663
36,7879.6400,72.71919
37,7879.6600,72.80831
38,7879.6800,72.82707
39,7879.7000,72.80362
40,7879.7200,72.60663
41,7879.7400,72.38618
42,7879.7600,72.19388
43,7879.7800,71.99219
44,7879.8000,71.83741
45,7879.8200,71.62634
46,7879.8400,71.73422
47,7879.8600,71.92652
48,7879.8800,72.15166
49,7879.9000,72.16573
50,7879.9200,71.87493
51,7879.9400,71.37306
52,7879.9600,71.08695
53,7879.9800,70.965
54,7880.0000,71.09634
55,7880.0200,71.26518
56,7880.0400,71.20421
57,7880.0600,70.81491
58,7880.0800,70.61323
59,7880.1000,70.68358
60,7880.1200,70.6742
61,7880.1400,70.7727
62,7880.1600,70.87589
63,7880.1800,70.97438
64,7880.2000,71.19952
65,7880.2200,71.43404
66,7880.2400,71.58882
67,7880.2600,71.70139
68,7880.2800,71.69201
69,7880.3000,71.77644
70,7880.3200,72.03909
71,7880.3400,72.13759
72,7880.3600,72.22202
73,7880.3800,72.32051
74,7880.4000,72.36742
75,7880.4200,72.26892
76,7880.4400,72.01564
77,7880.4600,71.75768
78,7880.4800,71.45749
79,7880.5000,71.36837
80,7880.5200,71.48094
81,7880.5400,71.63103
82,7880.5600,71.87493
83,7880.5800,72.12821
84,7880.6000,72.34866
85,7880.6200,72.55034
86,7880.6400,72.7145
87,7880.6600,72.67698
88,7880.6800,72.6676
89,7880.7000,72.57848
90,7880.7200,72.4753
91,7880.7400,72.43777
92,7880.7600,72.36272
93,7880.7800,72.03909
94,7880.8000,71.66856
95,7880.8200,71.46218
96,7880.8400,71.34023
97,7880.8600,71.2605
98,7880.8800,71.19014
99,7880.9000,70.96031
100,7880.9200,70.53818
101,7880.9400,70.28021
102,7880.9600,70.1395
103,7880.9800,69.96127
104,7881.0000,69.86277
105,7881.0200,69.96127
106,7881.0400,70.05038
107,7881.0600,70.30836
108,7881.0800,70.6226
109,7881.1000,70.87589
110,7881.1200,71.00722
111,7881.1400,71.04474
112,7881.1600,70.99783
113,7881.1800,70.98376
114,7881.2000,71.07288
115,7881.2200,71.1151
116,7881.2400,71.2089
117,7881.2600,71.42466
118,7881.2800,71.70608
119,7881.3000,71.68262
120,7881.3200,71.41997
121,7881.3400,71.4059
122,7881.3600,71.6498
123,7881.3800,71.95936
124,7881.4000,72.09069
125,7881.4200,72.21264
126,7881.4400,72.22202
127,7881.4600,72.14228
128,7881.4800,71.99219
129,7881.5000,71.8421
130,7881.5200,71.60289
131,7881.5400,71.43404
132,7881.5600,71.34023
133,7881.5800,71.19483
134,7881.6000,71.11978
135,7881.6200,71.17607
136,7881.6400,71.1151
137,7881.6600,71.11978
138,7881.6800,71.26518
139,7881.7000,71.34023
140,7881.7200,71.2605
141,7881.7400,71.38714
142,7881.7600,71.72953
143,7881.7800,72.08131
144,7881.8000,72.21732
145,7881.8200,72.22202
146,7881.8400,72.21732
147,7881.8600,72.16104
148,7881.8800,72.12352
149,7881.9000,71.9406
150,7881.9200,71.6451
151,7881.9400,71.27926
152,7881.9600,70.965
153,7881.9800,70.66482
154,7882.0000,70.36933
155,7882.0200,70.08791
156,7882.0400,70.01756
157,7882.0600,70.01756
158,7882.0800,70.10667
159,7882.1000,70.1864
160,7882.1200,70.28021
161,7882.1400,70.30836
162,7882.1600,70.5288
163,7882.1800,70.71642
164,7882.2000,70.96031
165,7882.2200,71.04943
166,7882.2400,70.9697
167,7882.2600,70.90403
168,7882.2800,70.965
169,7882.3000,70.87119
170,7882.3200,70.83836
171,7882.3400,70.94155
172,7882.3600,71.03535
173,7882.3800,71.16199
174,7882.4000,71.28864
175,7882.4200,71.40121
176,7882.4400,71.4059
177,7882.4600,71.42934
178,7882.4800,71.62634
179,7882.5000,71.889
180,7882.5200,72.1798
181,7882.5400,72.36272
182,7882.5600,72.4237
183,7882.5800,72.43308
184,7882.6000,72.43308
185,7882.6200,72.38149
186,7882.6400,72.37211
187,7882.6600,72.16573
188,7882.6800,71.78112
189,7882.7000,71.52316
190,7882.7200,71.38714
191,7882.7400,71.34492
192,7882.7600,71.46687
193,7882.7800,71.61227
194,7882.8000,71.80927
195,7882.8200,71.90308
196,7882.8400,72.07192
197,7882.8600,72.32051
198,7882.8800,72.3768
199,7882.9000,72.41901
200,7882.9200,72.35804
201,7882.9400,72.36742
202,7882.9600,72.40963
203,7882.9800,72.51751
204,7883.0000,72.51282
