#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,-2.607818
2,7916.492000,-3.302976
3,7916.493000,-3.738528
4,7916.494000,-3.979459
5,7916.495000,-3.934079
6,7916.496000,-3.508733
7,7916.497000,-3.118357
8,7916.498000,-3.280667
9,7916.499000,-3.075946
10,7916.500000,-2.950089
11,7916.501000,-2.939582
12,7916.502000,-2.641659
13,7916.503000,-2.772178
14,7916.504000,-2.913942
15,7916.505000,-3.191346
16,7916.506000,-3.512349
17,7916.507000,-3.627332
18,7916.508000,-3.629652
19,7916.509000,-3.611175
20,7916.510000,-3.134192
21,7916.511000,-2.727125
22,7916.512000,-2.56442
23,7916.513000,-2.40064
24,7916.514000,-2.615311
25,7916.515000,-3.095152
26,7916.516000,-3.251345
27,7916.517000,-3.384159
28,7916.518000,-3.308513
29,7916.519000,-3.108923
30,7916.520000,-3.095741
31,7916.521000,-3.159894
32,7916.522000,-2.90349
33,7916.523000,-2.824388
34,7916.524000,-2.608172
35,7916.525000,-2.457294
36,7916.526000,-2.592204
37,7916.527000,-2.874107
38,7916.528000,-3.384113
39,7916.529000,-3.480237
40,7916.530000,-3.424969
41,7916.531000,-3.415286
42,7916.532000,-2.895764
43,7916.533000,-2.522565
44,7916.534000,-2.66715
45,7916.535000,-2.975533
46,7916.536000,-3.288131
47,7916.537000,-3.4771
48,7916.538000,-3.443307
49,7916.539000,-3.200356
50,7916.540000,-3.15915
51,7916.541000,-3.433804
52,7916.542000,-3.76606
53,7916.543000,-3.990405
54,7916.544000,-3.955673
55,7916.545000,-3.62598
56,7916.546000,-3.388525
57,7916.547000,-3.237478
58,7916.548000,-3.202497
59,7916.549000,-3.299271
60,7916.550000,-3.581336
61,7916.551000,-3.86938
62,7916.552000,-3.950427
63,7916.553000,-3.809866
64,7916.554000,-3.688464
65,7916.555000,-3.534629
66,7916.556000,-3.532189
67,7916.557000,-3.73756
68,7916.558000,-3.848062
69,7916.559000,-3.913952
70,7916.560000,-3.950216
71,7916.561000,-3.904682
72,7916.562000,-3.80791
73,7916.563000,-3.639809
74,7916.564000,-3.570692
75,7916.565000,-3.612808
76,7916.566000,-3.663503
77,7916.567000,-3.76878
78,7916.568000,-3.721734
79,7916.569000,-3.692847
80,7916.570000,-3.691537
81,7916.571000,-3.722728
82,7916.572000,-3.736568
83,7916.573000,-3.741219
84,7916.574000,-3.743647
85,7916.575000,-3.735456
86,7916.576000,-3.724849
87,7916.577000,-3.710216
88,7916.578000,-3.682161
89,7916.579000,-3.640717
90,7916.580000,-3.619261
91,7916.581000,-3.578441
92,7916.582000,-3.515585
93,7916.583000,-3.553583
94,7916.584000,-3.518046
95,7916.585000,-3.509645
96,7916.586000,-3.505413
97,7916.587000,-3.482481
98,7916.588000,-3.512386
99,7916.589000,-3.442687
100,7916.590000,-3.522987
101,7916.591000,-3.477053
102,7916.592000,-3.471511
103,7916.593000,-3.483422
104,7916.594000,-3.470771
105,7916.595000,-3.450223
106,7916.596000,-3.477458
107,7916.597000,-3.462143
108,7916.598000,-3.503135
109,7916.599000,-3.448567
110,7916.600000,-3.484452
111,7916.601000,-3.45191
112,7916.602000,-3.443627
113,7916.603000,-3.423764
114,7916.604000,-3.39796
115,7916.605000,-3.36507
116,7916.606000,-3.336077
