#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,-1.759562
2,7916.492000,-2.480897
3,7916.493000,-1.959024
4,7916.494000,-1.61766
5,7916.495000,-1.972503
6,7916.496000,-1.627109
7,7916.497000,-1.062227
8,7916.498000,-0.8850602
9,7916.499000,-1.115298
10,7916.500000,-1.294518
11,7916.501000,-1.579583
12,7916.502000,-2.059777
13,7916.503000,-1.804615
14,7916.504000,-1.714378
15,7916.505000,-1.462412
16,7916.506000,-1.387527
17,7916.507000,-1.493147
18,7916.508000,-1.596248
19,7916.509000,-1.760077
20,7916.510000,-1.600908
21,7916.511000,-1.411063
22,7916.512000,-1.382482
23,7916.513000,-1.54472
24,7916.514000,-1.704054
25,7916.515000,-1.628657
26,7916.516000,-1.418773
27,7916.517000,-1.596346
28,7916.518000,-1.556562
29,7916.519000,-1.552586
30,7916.520000,-1.552546
31,7916.521000,-1.551672
32,7916.522000,-1.553426
33,7916.523000,-1.558016
34,7916.524000,-1.54166
35,7916.525000,-1.502833
36,7916.526000,-1.556757
37,7916.527000,-1.707447
38,7916.528000,-1.3807
39,7916.529000,-1.617104
40,7916.530000,-1.556938
41,7916.531000,-1.544586
42,7916.532000,-1.528966
43,7916.533000,-1.507446
44,7916.534000,-1.519647
45,7916.535000,-1.569457
46,7916.536000,-1.617837
47,7916.537000,-1.639387
48,7916.538000,-1.59666
49,7916.539000,-1.460633
50,7916.540000,-1.419779
51,7916.541000,-1.56978
52,7916.542000,-1.680452
53,7916.543000,-1.669695
54,7916.544000,-1.400522
55,7916.545000,-1.309771
56,7916.546000,-1.721946
57,7916.547000,-1.660826
58,7916.548000,-1.532397
59,7916.549000,-1.544734
60,7916.550000,-1.503089
61,7916.551000,-1.575259
62,7916.552000,-1.543238
63,7916.553000,-1.556391
64,7916.554000,-1.548475
65,7916.555000,-1.544212
66,7916.556000,-1.508895
67,7916.557000,-1.495535
68,7916.558000,-1.509838
69,7916.559000,-1.523285
70,7916.560000,-1.664205
71,7916.561000,-1.721612
72,7916.562000,-1.647358
73,7916.563000,-1.350945
74,7916.564000,-1.292708
75,7916.565000,-1.444969
76,7916.566000,-1.551406
77,7916.567000,-1.692046
78,7916.568000,-1.67537
79,7916.569000,-1.453353
80,7916.570000,-1.415487
81,7916.571000,-1.524428
82,7916.572000,-1.532947
83,7916.573000,-1.501777
84,7916.574000,-1.50083
85,7916.575000,-1.501014
86,7916.576000,-1.497509
87,7916.577000,-1.494843
88,7916.578000,-1.491903
89,7916.579000,-1.488523
90,7916.580000,-1.484796
91,7916.581000,-1.480894
92,7916.582000,-1.477154
93,7916.583000,-1.474411
94,7916.584000,-1.472012
95,7916.585000,-1.469354
96,7916.586000,-1.466974
97,7916.587000,-1.465296
98,7916.588000,-1.464736
99,7916.589000,-1.465405
100,7916.590000,-1.457397
101,7916.591000,-1.439586
102,7916.592000,-1.416725
103,7916.593000,-1.385947
104,7916.594000,-1.398363
105,7916.595000,-1.459292
106,7916.596000,-1.542016
107,7916.597000,-1.660884
108,7916.598000,-1.561997
109,7916.599000,-1.220341
110,7916.600000,-1.150888
111,7916.601000,-1.321056
112,7916.602000,-1.447522
113,7916.603000,-1.626104
114,7916.604000,-1.606399
115,7916.605000,-1.336925
116,7916.606000,-1.293884
