#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,-1.258919
2,7916.492000,-2.435532
3,7916.493000,-3.927483
4,7916.494000,-4.458191
5,7916.495000,-3.876183
6,7916.496000,-2.7649
7,7916.497000,-0.7790909
8,7916.498000,0.2819214
9,7916.499000,0.2730331
10,7916.500000,0.3753891
11,7916.501000,0.1386108
12,7916.502000,0.2174301
13,7916.503000,0.7479706
14,7916.504000,1.048683
15,7916.505000,1.290237
16,7916.506000,1.301186
17,7916.507000,0.9760361
18,7916.508000,0.5186844
19,7916.509000,-0.1505508
20,7916.510000,-0.5320206
21,7916.511000,-0.5673065
22,7916.512000,-0.5714035
23,7916.513000,-0.4068604
24,7916.514000,-0.3770676
25,7916.515000,-0.5201035
26,7916.516000,-0.5711441
27,7916.517000,-0.6034088
28,7916.518000,-0.5093918
29,7916.519000,-0.2472839
30,7916.520000,0.07892609
31,7916.521000,0.5092239
32,7916.522000,0.6619415
33,7916.523000,0.4932251
34,7916.524000,0.2201233
35,7916.525000,-0.2649002
36,7916.526000,-0.4927216
37,7916.527000,-0.4172897
38,7916.528000,-0.3589401
39,7916.529000,-0.1976471
40,7916.530000,-0.1193542
41,7916.531000,-0.1627197
42,7916.532000,-0.140274
43,7916.533000,-0.1015396
44,7916.534000,-0.08718872
45,7916.535000,-0.0787735
46,7916.536000,-0.09443665
47,7916.537000,-0.1392136
48,7916.538000,-0.1567612
49,7916.539000,-0.1483917
50,7916.540000,-0.1453323
51,7916.541000,-0.1356049
52,7916.542000,-0.1326065
53,7916.543000,-0.1396408
54,7916.544000,-0.141922
55,7916.545000,-0.1434174
56,7916.546000,-0.1425858
57,7916.547000,-0.1377029
58,7916.548000,-0.1528397
59,7916.549000,-0.1892166
60,7916.550000,-0.1424789
61,7916.551000,-0.009223938
62,7916.552000,-0.3144302
63,7916.553000,-0.1051102
64,7916.554000,-0.1604156
65,7916.555000,-0.1642151
66,7916.556000,-0.1686096
67,7916.557000,-0.1734772
68,7916.558000,-0.1686172
69,7916.559000,-0.1532898
70,7916.560000,-0.1466141
71,7916.561000,-0.1475601
72,7916.562000,-0.08680725
73,7916.563000,0.03846741
74,7916.564000,-0.1421051
75,7916.565000,0.05097198
76,7916.566000,0.01187134
77,7916.567000,-0.03801727
78,7916.568000,-0.09013367
79,7916.569000,-0.1561356
80,7916.570000,-0.3215485
81,7916.571000,-0.5892334
82,7916.572000,-0.4122543
83,7916.573000,-0.8289185
84,7916.574000,-0.7495575
85,7916.575000,-0.500885
86,7916.576000,-0.1582184
87,7916.577000,0.4760284
88,7916.578000,0.6050797
89,7916.579000,0.6481705
90,7916.580000,0.5522614
91,7916.581000,0.3363647
92,7916.582000,0.08158875
93,7916.583000,-0.1889572
94,7916.584000,-0.3191147
95,7916.585000,-0.8885193
96,7916.586000,-0.9843826
97,7916.587000,-0.7980118
98,7916.588000,-0.4493942
99,7916.589000,0.1697159
100,7916.590000,0.3762665
101,7916.591000,0.2655411
102,7916.592000,0.14534
103,7916.593000,-0.08512115
104,7916.594000,-0.3103638
105,7916.595000,-0.4849319
106,7916.596000,0.1509552
107,7916.597000,-0.2058563
108,7916.598000,-0.07261658
109,7916.599000,-0.1097107
110,7916.600000,-0.1159363
111,7916.601000,-0.1139679
