#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,-0.6135769
2,7916.492000,-0.3834553
3,7916.493000,0.054842
4,7916.494000,0.2267447
5,7916.495000,0.07762909
6,7916.496000,-0.07932854
7,7916.497000,-0.3705521
8,7916.498000,-0.5082855
9,7916.499000,-0.4497528
10,7916.500000,-0.4400768
11,7916.501000,-0.4050674
12,7916.502000,-0.2806988
13,7916.503000,-0.08477592
14,7916.504000,0.2108822
15,7916.505000,0.6203089
16,7916.506000,0.7613459
17,7916.507000,0.6097212
18,7916.508000,0.3607635
19,7916.509000,-0.08589935
20,7916.510000,-0.3310814
21,7916.511000,-0.3371964
22,7916.512000,-0.3800392
23,7916.513000,-0.3590946
24,7916.514000,-0.2787952
25,7916.515000,-0.1579933
26,7916.516000,0.002222061
27,7916.517000,0.08662224
28,7916.518000,0.1381493
29,7916.519000,0.0945034
30,7916.520000,-0.009626389
31,7916.521000,-0.199419
32,7916.522000,-0.2825146
33,7916.523000,-0.2468109
34,7916.524000,-0.2121773
35,7916.525000,-0.1311646
36,7916.526000,-0.06783295
37,7916.527000,-0.03468132
38,7916.528000,0.03782654
39,7916.529000,0.1338654
40,7916.530000,0.1274757
41,7916.531000,0.01568985
42,7916.532000,-0.1531601
43,7916.533000,-0.4118748
44,7916.534000,-0.5129395
45,7916.535000,-0.4363174
46,7916.536000,-0.3290291
47,7916.537000,-0.1267662
48,7916.538000,0.04582405
49,7916.539000,0.1723156
50,7916.540000,0.3674307
51,7916.541000,0.6015711
52,7916.542000,0.5370216
53,7916.543000,0.1537018
54,7916.544000,-0.2612896
55,7916.545000,-0.7860279
56,7916.546000,-1.003199
57,7916.547000,-0.8348732
58,7916.548000,-0.4190731
59,7916.549000,0.1831665
60,7916.550000,0.4169483
61,7916.551000,0.2662592
62,7916.552000,0.09765053
63,7916.553000,-0.2189102
64,7916.554000,-0.3744965
65,7916.555000,-0.3092976
66,7916.556000,-0.3081474
67,7916.557000,-0.2854881
68,7916.558000,-0.2502022
69,7916.559000,-0.2316742
70,7916.560000,-0.1570988
71,7916.561000,-0.03429031
72,7916.562000,0.03920937
73,7916.563000,0.06804657
74,7916.564000,0.09361839
75,7916.565000,0.0950985
76,7916.566000,-0.01591682
77,7916.567000,-0.2485104
78,7916.568000,-0.3607349
79,7916.569000,-0.3586464
80,7916.570000,-0.3283596
81,7916.571000,-0.2147865
82,7916.572000,-0.1382484
83,7916.573000,-0.1040916
84,7916.574000,-0.03204155
85,7916.575000,0.05184555
86,7916.576000,-0.115118
87,7916.577000,-0.1130581
88,7916.578000,-0.1691723
89,7916.579000,-0.1423073
90,7916.580000,-0.1331997
91,7916.581000,-0.1162472
92,7916.582000,-0.1095047
93,7916.583000,-0.1220188
94,7916.584000,-0.1271381
95,7916.585000,-0.1311646
96,7916.586000,-0.1095448
97,7916.587000,-0.05633545
98,7916.588000,0.01132774
99,7916.589000,0.1017284
100,7916.590000,0.03708267
101,7916.591000,-0.2005157
102,7916.592000,-0.2568569
103,7916.593000,-0.1555672
104,7916.594000,-0.09459496
105,7916.595000,-0.2026482
106,7916.596000,-0.1607552
107,7916.597000,-0.06580544
108,7916.598000,-0.03743935
109,7916.599000,-0.05988121
110,7916.600000,-0.07730484
111,7916.601000,-0.1129856
