#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,-0.8513668
2,7916.492000,-0.8397194
3,7916.493000,-0.8113072
4,7916.494000,-0.7956995
5,7916.495000,-0.794098
6,7916.496000,-0.7891587
7,7916.497000,-0.7876862
8,7916.498000,-0.77648
9,7916.499000,-0.7532588
10,7916.500000,-0.7203935
11,7916.501000,-0.6927593
12,7916.502000,-0.6625193
13,7916.503000,-0.6379089
14,7916.504000,-0.6111412
15,7916.505000,-0.5845968
16,7916.506000,-0.5560195
17,7916.507000,-0.5247204
18,7916.508000,-0.4938815
19,7916.509000,-0.4629196
20,7916.510000,-0.4250346
21,7916.511000,-0.3800575
22,7916.512000,-0.3308044
23,7916.513000,-0.2755459
24,7916.514000,-0.2178316
25,7916.515000,-0.1578193
26,7916.516000,-0.09223853
27,7916.517000,-0.02175426
28,7916.518000,0.03090418
29,7916.519000,0.06392615
30,7916.520000,0.09811422
31,7916.521000,0.1281661
32,7916.522000,0.1633115
33,7916.523000,0.2072298
34,7916.524000,0.2532783
35,7916.525000,0.3052146
36,7916.526000,0.34373
37,7916.527000,0.3790562
38,7916.528000,0.4116718
39,7916.529000,0.4422251
40,7916.530000,0.472428
41,7916.531000,0.5034356
42,7916.532000,0.5316813
43,7916.533000,0.5579665
44,7916.534000,0.5839992
45,7916.535000,0.6094584
46,7916.536000,0.6341721
47,7916.537000,0.6584561
48,7916.538000,0.6810051
49,7916.539000,0.7018043
50,7916.540000,0.7207756
51,7916.541000,0.7375478
52,7916.542000,0.7516914
53,7916.543000,0.762927
54,7916.544000,0.7481827
55,7916.545000,0.7474468
56,7916.546000,0.7484718
57,7916.547000,0.743268
58,7916.548000,0.74189
59,7916.549000,0.7392139
60,7916.550000,0.7343488
61,7916.551000,0.7267322
62,7916.552000,0.7166543
63,7916.553000,0.7088177
64,7916.554000,0.6993871
65,7916.555000,0.6907132
66,7916.556000,0.6818576
67,7916.557000,0.6732077
68,7916.558000,0.6605678
69,7916.559000,0.6435595
70,7916.560000,0.6246017
71,7916.561000,0.6025652
72,7916.562000,0.5801246
73,7916.563000,0.5575734
74,7916.564000,0.5326525
75,7916.565000,0.505995
76,7916.566000,0.4842449
77,7916.567000,0.4678249
78,7916.568000,0.4545151
79,7916.569000,0.4462273
80,7916.570000,0.4365039
81,7916.571000,0.4251664
82,7916.572000,0.4268535
83,7916.573000,0.4212476
84,7916.574000,0.423807
85,7916.575000,0.4286379
86,7916.576000,0.4370049
87,7916.577000,0.4490818
88,7916.578000,0.4567997
89,7916.579000,0.4629797
90,7916.580000,0.4680094
91,7916.581000,0.4712861
92,7916.582000,0.4761035
93,7916.583000,0.4826945
94,7916.584000,0.4878129
95,7916.585000,0.4921524
96,7916.586000,0.4992755
97,7916.587000,0.5090435
98,7916.588000,0.5092871
99,7916.589000,0.4997059
100,7916.590000,0.4956351
101,7916.591000,0.5000699
102,7916.592000,0.4984061
103,7916.593000,0.4951397
104,7916.594000,0.4980661
105,7916.595000,0.5065991
106,7916.596000,0.5183978
107,7916.597000,0.5352787
108,7916.598000,0.5441493
109,7916.599000,0.5440013
110,7916.600000,0.5425979
111,7916.601000,0.5365753
112,7916.602000,0.5335114
113,7916.603000,0.5344013
114,7916.604000,0.5327551
115,7916.605000,0.5304435
