#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,-4.703995
2,7916.492000,-4.436365
3,7916.493000,-3.257919
4,7916.494000,-2.814133
5,7916.495000,-3.161074
6,7916.496000,-3.044949
7,7916.497000,-2.808428
8,7916.498000,-3.419164
9,7916.499000,-4.82279
10,7916.500000,-5.271868
11,7916.501000,-4.657129
12,7916.502000,-4.556938
13,7916.503000,-5.421659
14,7916.504000,-5.869331
15,7916.505000,-6.452643
16,7916.506000,-6.389913
17,7916.507000,-5.632513
18,7916.508000,-5.385704
19,7916.509000,-5.55179
20,7916.510000,-5.53595
21,7916.511000,-5.557363
22,7916.512000,-5.86911
23,7916.513000,-6.450767
24,7916.514000,-6.824144
25,7916.515000,-7.009506
26,7916.516000,-7.283555
27,7916.517000,-7.551147
28,7916.518000,-7.262345
29,7916.519000,-6.384894
30,7916.520000,-5.403791
31,7916.521000,-4.191801
32,7916.522000,-3.567706
33,7916.523000,-3.67789
34,7916.524000,-4.05665
35,7916.525000,-4.963545
36,7916.526000,-5.67835
37,7916.527000,-6.150961
38,7916.528000,-5.984913
39,7916.529000,-4.920568
40,7916.530000,-3.93356
41,7916.531000,-2.862626
42,7916.532000,-2.45595
43,7916.533000,-2.960521
44,7916.534000,-3.08355
45,7916.535000,-3.035457
46,7916.536000,-3.770293
47,7916.537000,-5.154699
48,7916.538000,-5.730586
49,7916.539000,-5.549325
50,7916.540000,-5.313654
51,7916.541000,-4.709734
52,7916.542000,-4.1641
53,7916.543000,-3.741307
54,7916.544000,-3.462213
55,7916.545000,-3.471089
56,7916.546000,-3.80708
57,7916.547000,-4.565324
58,7916.548000,-5.367413
59,7916.549000,-6.246282
60,7916.550000,-6.817702
61,7916.551000,-6.959054
62,7916.552000,-6.852124
63,7916.553000,-6.339338
64,7916.554000,-5.939019
65,7916.555000,-5.660041
66,7916.556000,-5.371457
67,7916.557000,-5.203113
68,7916.558000,-5.444309
69,7916.559000,-6.162525
70,7916.560000,-6.872905
71,7916.561000,-7.651216
72,7916.562000,-8.010377
73,7916.563000,-7.810454
74,7916.564000,-7.310032
75,7916.565000,-6.322659
76,7916.566000,-5.89678
77,7916.567000,-6.100132
78,7916.568000,-6.240251
79,7916.569000,-6.570251
80,7916.570000,-6.795118
81,7916.571000,-6.837564
82,7916.572000,-7.039495
83,7916.573000,-7.320848
84,7916.574000,-7.39395
85,7916.575000,-7.275958
86,7916.576000,-7.043606
87,7916.577000,-6.630135
88,7916.578000,-6.398918
89,7916.579000,-6.371614
90,7916.580000,-6.316248
91,7916.581000,-6.320233
92,7916.582000,-6.507426
93,7916.583000,-6.876302
94,7916.584000,-7.077335
95,7916.585000,-7.112469
96,7916.586000,-7.15166
97,7916.587000,-7.115315
98,7916.588000,-6.897344
99,7916.589000,-6.489233
100,7916.590000,-6.3403
101,7916.591000,-6.458491
102,7916.592000,-6.594324
103,7916.593000,-6.852399
104,7916.594000,-7.012249
105,7916.595000,-7.041162
106,7916.596000,-7.127903
107,7916.597000,-7.216166
108,7916.598000,-7.225577
109,7916.599000,-7.167241
110,7916.600000,-7.034914
111,7916.601000,-6.809132
112,7916.602000,-6.758945
113,7916.603000,-6.899702
114,7916.604000,-7.084657
115,7916.605000,-7.382095
116,7916.606000,-7.504084
