#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,-5.683263
2,7916.492000,-5.896266
3,7916.493000,-6.235937
4,7916.494000,-6.560883
5,7916.495000,-6.896345
6,7916.496000,-7.223766
7,7916.497000,-7.435452
8,7916.498000,-7.593664
9,7916.499000,-7.643455
10,7916.500000,-7.774086
11,7916.501000,-7.986223
12,7916.502000,-8.265399
13,7916.503000,-8.369103
14,7916.504000,-8.384458
15,7916.505000,-8.541932
16,7916.506000,-8.598804
17,7916.507000,-8.566711
18,7916.508000,-8.581082
19,7916.509000,-8.730079
20,7916.510000,-8.838966
21,7916.511000,-9.032714
22,7916.512000,-9.118792
23,7916.513000,-9.248269
24,7916.514000,-9.406174
25,7916.515000,-9.607188
26,7916.516000,-9.630302
27,7916.517000,-9.482821
28,7916.518000,-9.452812
29,7916.519000,-9.383399
30,7916.520000,-9.284507
31,7916.521000,-9.198094
32,7916.522000,-8.992496
33,7916.523000,-8.823404
34,7916.524000,-8.780678
35,7916.525000,-8.832084
36,7916.526000,-8.963856
37,7916.527000,-9.118693
38,7916.528000,-9.382496
39,7916.529000,-9.628889
40,7916.530000,-9.766644
41,7916.531000,-9.776644
42,7916.532000,-9.614344
43,7916.533000,-9.332308
44,7916.534000,-9.185105
45,7916.535000,-9.14836
46,7916.536000,-9.16456
47,7916.537000,-9.19083
48,7916.538000,-9.298113
49,7916.539000,-9.499393
50,7916.540000,-9.602418
51,7916.541000,-9.618472
52,7916.542000,-9.725204
53,7916.543000,-9.849812
54,7916.544000,-9.891333
55,7916.545000,-9.912868
56,7916.546000,-9.969807
57,7916.547000,-10.07214
58,7916.548000,-10.26712
59,7916.549000,-10.44101
60,7916.550000,-10.53621
61,7916.551000,-10.50386
62,7916.552000,-10.5229
63,7916.553000,-10.47474
64,7916.554000,-10.4015
65,7916.555000,-10.33531
66,7916.556000,-10.26075
67,7916.557000,-10.20093
68,7916.558000,-10.1985
69,7916.559000,-10.26817
70,7916.560000,-10.33829
71,7916.561000,-10.42291
72,7916.562000,-10.57726
73,7916.563000,-10.63984
74,7916.564000,-10.70244
75,7916.565000,-10.80731
76,7916.566000,-10.81248
77,7916.567000,-10.80031
78,7916.568000,-10.85004
79,7916.569000,-10.9445
80,7916.570000,-11.04107
81,7916.571000,-11.04417
82,7916.572000,-11.01015
83,7916.573000,-10.96913
84,7916.574000,-11.04935
85,7916.575000,-11.12866
86,7916.576000,-11.15358
87,7916.577000,-11.08633
88,7916.578000,-11.09852
89,7916.579000,-11.21699
90,7916.580000,-11.30129
91,7916.581000,-11.39872
92,7916.582000,-11.45926
93,7916.583000,-11.46651
94,7916.584000,-11.49295
95,7916.585000,-11.51914
96,7916.586000,-11.51286
97,7916.587000,-11.52397
98,7916.588000,-11.56285
99,7916.589000,-11.64907
100,7916.590000,-11.62971
101,7916.591000,-11.5054
102,7916.592000,-11.4795
103,7916.593000,-11.53127
104,7916.594000,-11.52748
105,7916.595000,-11.4997
106,7916.596000,-11.51008
107,7916.597000,-11.54466
108,7916.598000,-11.55149
109,7916.599000,-11.53617
110,7916.600000,-11.5217
111,7916.601000,-11.4984
112,7916.602000,-11.43527
113,7916.603000,-11.33031
114,7916.604000,-11.29699
115,7916.605000,-11.33669
116,7916.606000,-11.32873
