#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,-0.7344786
2,7916.492000,-0.6018546
3,7916.493000,-0.5395343
4,7916.494000,-0.6619084
5,7916.495000,-0.8091421
6,7916.496000,-0.5940504
7,7916.497000,-0.4111495
8,7916.498000,-0.7106885
9,7916.499000,-0.9460525
10,7916.500000,-0.7388935
11,7916.501000,-0.8181373
12,7916.502000,-1.077867
13,7916.503000,-0.9344658
14,7916.504000,-0.982281
15,7916.505000,-1.169033
16,7916.506000,-1.228609
17,7916.507000,-1.140938
18,7916.508000,-1.132967
19,7916.509000,-1.384237
20,7916.510000,-1.485125
21,7916.511000,-1.052296
22,7916.512000,-0.9266052
23,7916.513000,-1.078046
24,7916.514000,-1.013165
25,7916.515000,-0.9292755
26,7916.516000,-1.15603
27,7916.517000,-1.371245
28,7916.518000,-1.376694
29,7916.519000,-1.335739
30,7916.520000,-1.356369
31,7916.521000,-1.212038
32,7916.522000,-1.03864
33,7916.523000,-1.268794
34,7916.524000,-1.402902
35,7916.525000,-1.09096
36,7916.526000,-0.9868123
37,7916.527000,-1.390155
38,7916.528000,-1.664121
39,7916.529000,-1.534952
40,7916.530000,-1.400859
41,7916.531000,-1.463196
42,7916.532000,-1.769116
43,7916.533000,-1.529583
44,7916.534000,-1.221418
45,7916.535000,-1.443003
46,7916.536000,-1.350894
47,7916.537000,-1.253125
48,7916.538000,-1.340362
49,7916.539000,-1.440846
50,7916.540000,-1.441785
51,7916.541000,-1.399079
52,7916.542000,-1.446644
53,7916.543000,-1.491668
54,7916.544000,-1.614683
55,7916.545000,-1.669887
56,7916.546000,-1.721719
57,7916.547000,-1.736829
58,7916.548000,-1.753776
59,7916.549000,-1.677803
60,7916.550000,-1.602676
61,7916.551000,-1.695126
62,7916.552000,-1.676228
63,7916.553000,-1.540503
64,7916.554000,-1.536667
65,7916.555000,-1.616559
66,7916.556000,-1.623497
67,7916.557000,-1.583458
68,7916.558000,-1.571029
69,7916.559000,-1.562504
70,7916.560000,-1.575575
71,7916.561000,-1.620677
72,7916.562000,-1.624708
73,7916.563000,-1.58997
74,7916.564000,-1.602288
75,7916.565000,-1.651768
76,7916.566000,-1.712329
77,7916.567000,-1.802536
78,7916.568000,-1.894025
79,7916.569000,-1.79289
80,7916.570000,-1.787083
81,7916.571000,-1.825851
82,7916.572000,-1.821711
83,7916.573000,-1.808628
84,7916.574000,-1.805532
85,7916.575000,-1.806849
86,7916.576000,-1.812461
87,7916.577000,-1.826052
88,7916.578000,-1.834177
89,7916.579000,-1.837263
90,7916.580000,-1.808265
91,7916.581000,-1.78113
92,7916.582000,-1.818734
93,7916.583000,-1.803104
94,7916.584000,-1.748097
95,7916.585000,-1.767235
96,7916.586000,-1.839901
97,7916.587000,-1.768017
98,7916.588000,-1.796804
99,7916.589000,-1.83987
100,7916.590000,-1.766094
101,7916.591000,-1.806452
102,7916.592000,-1.807978
103,7916.593000,-1.79148
104,7916.594000,-1.795114
105,7916.595000,-1.802355
106,7916.596000,-1.823333
107,7916.597000,-1.768616
108,7916.598000,-1.81837
109,7916.599000,-1.815299
110,7916.600000,-1.790393
111,7916.601000,-1.818606
112,7916.602000,-1.811315
113,7916.603000,-1.80361
114,7916.604000,-1.792706
115,7916.605000,-1.776897
