#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,0.4334069
2,7916.492000,0.5712708
3,7916.493000,0.5655422
4,7916.494000,0.4873183
5,7916.495000,0.232024
6,7916.496000,0.1164876
7,7916.497000,0.1381218
8,7916.498000,0.3838733
9,7916.499000,0.4153185
10,7916.500000,0.4475158
11,7916.501000,0.2768438
12,7916.502000,0.1353424
13,7916.503000,0.1833961
14,7916.504000,0.2915941
15,7916.505000,0.4063357
16,7916.506000,0.5183468
17,7916.507000,0.56715
18,7916.508000,0.4887007
19,7916.509000,0.2368456
20,7916.510000,0.1591276
21,7916.511000,0.2442354
22,7916.512000,0.2981809
23,7916.513000,0.32502
24,7916.514000,0.3540243
25,7916.515000,0.3355402
26,7916.516000,0.3263652
27,7916.517000,0.3124305
28,7916.518000,0.3050767
29,7916.519000,0.311108
30,7916.520000,0.3120824
31,7916.521000,0.3125189
32,7916.522000,0.3100626
33,7916.523000,0.3100673
34,7916.524000,0.3090386
35,7916.525000,0.309217
36,7916.526000,0.3084901
37,7916.527000,0.3071838
38,7916.528000,0.3056879
39,7916.529000,0.3037384
40,7916.530000,0.3018678
41,7916.531000,0.3001047
42,7916.532000,0.298015
43,7916.533000,0.2957075
44,7916.534000,0.2951791
45,7916.535000,0.2965769
46,7916.536000,0.2990361
47,7916.537000,0.3031174
48,7916.538000,0.3072173
49,7916.539000,0.3112546
50,7916.540000,0.3165237
51,7916.541000,0.3226871
52,7916.542000,0.3216336
53,7916.543000,0.3126952
54,7916.544000,0.2994452
55,7916.545000,0.2795776
56,7916.546000,0.2639871
57,7916.547000,0.253452
58,7916.548000,0.2406286
59,7916.549000,0.2281572
60,7916.550000,0.2759715
61,7916.551000,0.3897206
62,7916.552000,0.4021904
63,7916.553000,0.3163384
64,7916.554000,0.2859702
65,7916.555000,0.2819208
66,7916.556000,0.1897836
67,7916.557000,0.02446352
68,7916.558000,0.2717585
69,7916.559000,0.5225105
70,7916.560000,0.4112855
71,7916.561000,0.2460425
72,7916.562000,0.1729905
73,7916.563000,0.2614065
74,7916.564000,0.2646412
75,7916.565000,0.2520294
76,7916.566000,0.3086184
77,7916.567000,0.2560623
78,7916.568000,0.2602426
79,7916.569000,0.2635821
80,7916.570000,0.2615782
81,7916.571000,0.2592942
82,7916.572000,0.2567155
83,7916.573000,0.252816
84,7916.574000,0.2544283
85,7916.575000,0.2618996
86,7916.576000,0.2422414
87,7916.577000,0.241388
88,7916.578000,0.2561955
89,7916.579000,0.295714
90,7916.580000,0.1940812
91,7916.581000,0.1891567
92,7916.582000,0.3187838
93,7916.583000,0.2209912
94,7916.584000,0.2276469
95,7916.585000,0.2348957
96,7916.586000,0.2341913
97,7916.587000,0.2293627
98,7916.588000,0.2280663
99,7916.589000,0.2260971
100,7916.590000,0.2233546
101,7916.591000,0.2197557
102,7916.592000,0.2156981
103,7916.593000,0.2109535
104,7916.594000,0.2096959
105,7916.595000,0.2123325
106,7916.596000,0.2154284
107,7916.597000,0.2200232
108,7916.598000,0.2120039
109,7916.599000,0.1895647
110,7916.600000,0.1685811
111,7916.601000,0.204922
112,7916.602000,0.2041018
113,7916.603000,0.192633
114,7916.604000,0.1935667
115,7916.605000,0.200441
116,7916.606000,0.1891216
117,7916.607000,0.1611299
