Base,Target,Pearson,k,b,Length,Pearson(sub)
cegun,chilunxiang,-0.038526192803546785,0.022351741790771484,-0.044770868052942364,5430,0.38341961106220085
cegun,dianjichui,-0.0072411944842296246,0.003725290298461914,0.013702761285030014,7077,0.015555386350171627
cegun,dianjiheng,0.00276780302844782,0.035390257835388184,-0.044613071591650864,4137,0.5400541618112967
cegun,fuchen,-0.2610918497368092,0.06705522537231445,-0.22702945195363072,1316,0.6327231737481196
cegun,hengjian,0.03387205837138263,-0.01862645149230957,0.09184524718535454,3342,-0.3087840365735368
cegun,hengxiang ,0.3803606890274301,0.37439167499542236,0.24416232505771332,2026,0.987168604905432
cegun,lingxing,0.6725491157629919,0.003725290298461914,-0.4785138745165929,2783,0.031126529933807774
cegun,niuzhuan,0.5308001042631513,0.6016343832015991,-0.39634535044884855,2444,0.9945309413578785
cegun,qianyin,0.43911022672441946,0.2868473529815674,0.4353344106223668,4855,0.982318262566751
cegun,zhidong,-0.2030545117184185,0.07636845111846924,-0.46388843248738115,2979,0.7347097435828768
chilunxiang,cegun,-0.03852619280354762,-0.08009374141693115,-0.34345290202826884,3238,-0.6275277614038114
chilunxiang,dianjichui,0.08458027864473028,0.06332993507385254,0.016543784928391175,7341,0.47410974376233167
chilunxiang,dianjiheng,0.018882864808260957,0.06332993507385254,-0.027322204700628905,4240,0.41967189801391536
chilunxiang,fuchen,0.3182473166212247,0.2514570951461792,-0.1434965066099359,1348,0.8638638578956727
chilunxiang,hengjian,-0.019512338705077795,0.04842877388000488,0.07619277491399105,3330,0.47281581137974366
chilunxiang,hengxiang ,0.07778182161339231,-0.001862645149230957,0.3519636249468713,1496,0.008005277943944823
chilunxiang,lingxing,0.09239197397594964,0.009313225746154785,-0.47311824188863516,2801,0.14256548881513673
chilunxiang,niuzhuan,-0.010450129004972332,-0.1341104507446289,-0.7701173693993302,1841,-0.7888014017785826
chilunxiang,qianyin,-0.5058691445193091,0.7413327693939209,1.097192473073449,4842,0.9773577980496754
chilunxiang,zhidong,0.5994439605219586,0.15273690223693848,-0.38547821705506147,3013,0.6220591667694939
dianjichui,cegun,-0.00724119448423035,-0.009313225746154785,-0.2745637412087776,3217,-0.031101963403054746
dianjichui,chilunxiang,0.08458027864473001,-0.06705522537231445,-0.017312064579585833,5333,-0.4190154872433253
dianjichui,dianjiheng,0.3860680284232311,0.05587935447692871,-0.025159426526012992,4182,0.2992195180920236
dianjichui,fuchen,-0.009159645152900613,0.09313225746154785,-0.19473081743222062,1308,0.5368444869811879
dianjichui,hengjian,0.012136486893661522,-0.03352761268615723,0.09675078958600994,3333,-0.38511971130856476
dianjichui,hengxiang ,-1.0842738048688376E-4,0.10989606380462646,0.40364726783265614,1525,0.7754346036274908
dianjichui,lingxing,-0.02087153774488284,-0.009313225746154785,-0.4853681286653842,2800,-0.13978314654978483
dianjichui,niuzhuan,-0.03315908037251346,-0.011175870895385742,-0.6290258092004033,1802,-0.08283185521157262
dianjichui,qianyin,-0.053072558947271066,-0.0130385160446167,0.4125185960298696,4067,-0.21189728823654067
dianjichui,zhidong,0.477965676505297,0.18812716007232666,-0.39207927322144775,2882,0.7352055386058797
dianjiheng,cegun,0.002767803028445909,-0.020489096641540527,-0.26681681383041694,3202,-0.1385068515639025
