#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7916.491000,-0.9301724
2,7916.492000,-1.277437
3,7916.493000,-1.151454
4,7916.494000,-1.269362
5,7916.495000,-1.126707
6,7916.496000,-1.168519
7,7916.497000,-1.339767
8,7916.498000,-1.054969
9,7916.499000,0.0136687
10,7916.500000,0.6140095
11,7916.501000,0.6363198
12,7916.502000,0.9801053
13,7916.503000,1.262394
14,7916.504000,0.8770857
15,7916.505000,0.3738536
16,7916.506000,-0.06497827
17,7916.507000,-0.2949214
18,7916.508000,-0.3399754
19,7916.509000,-0.3790959
20,7916.510000,-0.2561182
21,7916.511000,-0.3365894
22,7916.512000,-0.6217182
23,7916.513000,-1.212912
24,7916.514000,-1.449739
25,7916.515000,-1.28835
26,7916.516000,-1.302775
27,7916.517000,-1.404116
28,7916.518000,-1.100983
29,7916.519000,-0.740208
30,7916.520000,-0.4347877
31,7916.521000,0.1329356
32,7916.522000,0.559042
33,7916.523000,0.8200428
34,7916.524000,0.7464097
35,7916.525000,0.196642
36,7916.526000,-0.2473246
37,7916.527000,-0.6549741
38,7916.528000,-1.195064
39,7916.529000,-1.875568
40,7916.530000,-2.311062
41,7916.531000,-2.420765
42,7916.532000,-2.118571
43,7916.533000,-1.149142
44,7916.534000,-0.5812749
45,7916.535000,-0.3880567
46,7916.536000,0.0473098
47,7916.537000,0.4687507
48,7916.538000,0.8122048
49,7916.539000,0.751416
50,7916.540000,0.5115924
51,7916.541000,0.2581747
52,7916.542000,0.1077907
53,7916.543000,0.1302946
54,7916.544000,0.142071
55,7916.545000,0.1937583
56,7916.546000,0.2402561
57,7916.547000,0.09336377
58,7916.548000,0.04083237
59,7916.549000,-0.005391565
60,7916.550000,-0.2615409
61,7916.551000,-0.6867409
62,7916.552000,-0.7995927
63,7916.553000,-0.54162
64,7916.554000,-0.4344902
65,7916.555000,-0.3308306
66,7916.556000,-0.3878168
67,7916.557000,-0.5453648
68,7916.558000,-0.3771395
69,7916.559000,0.1576631
70,7916.560000,0.6745206
71,7916.561000,1.156891
72,7916.562000,1.044013
73,7916.563000,0.4254539
74,7916.564000,-0.1520969
75,7916.565000,-0.6981019
76,7916.566000,-1.154902
77,7916.567000,-1.401291
78,7916.568000,-1.301495
79,7916.569000,-0.8028266
80,7916.570000,-0.7188032
81,7916.571000,-0.8845688
82,7916.572000,-0.9360144
83,7916.573000,-1.035638
84,7916.574000,-1.07379
85,7916.575000,-0.8654689
86,7916.576000,-0.7149271
87,7916.577000,-0.5122506
88,7916.578000,-0.3891596
89,7916.579000,-0.3434134
90,7916.580000,-0.3162394
91,7916.581000,-0.3322271
92,7916.582000,-0.3218981
93,7916.583000,-0.2755269
94,7916.584000,-0.3203723
95,7916.585000,-0.432411
96,7916.586000,-0.5171974
97,7916.587000,-0.6997826
98,7916.588000,-0.7736631
99,7916.589000,-0.7535254
100,7916.590000,-0.6652936
101,7916.591000,-0.4677895
102,7916.592000,-0.4975215
103,7916.593000,-0.773598
104,7916.594000,-0.7947912
105,7916.595000,-0.6129841
106,7916.596000,-0.5557476
107,7916.597000,-0.5465498
108,7916.598000,-0.3386195
109,7916.599000,-0.2292208
110,7916.600000,-0.1364321
111,7916.601000,0.1101805
112,7916.602000,0.177747
113,7916.603000,0.1385245
