#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7916.5000,2533.655
2,7916.5200,2534.124
3,7916.5400,2534.186
4,7916.5600,2533.702
5,7916.5800,2533.983
6,7916.6000,2534.483
7,7916.6200,2534.859
8,7916.6400,2535.172
9,7916.6600,2534.89
10,7916.6800,2535.25
11,7916.7000,2535.281
12,7916.7200,2535.703
13,7916.7400,2534.921
14,7916.7600,2534.937
15,7916.7800,2534.687
16,7916.8000,2534.312
17,7916.8200,2534.609
18,7916.8400,2535.093
19,7916.8600,2534.671
20,7916.8800,2534.061
21,7916.9000,2534.343
22,7916.9200,2535.265
23,7916.9400,2533.842
24,7916.9600,2533.858
25,7916.9800,2534.358
26,7917.0000,2534.186
27,7917.0200,2533.702
28,7917.0400,2534.562
29,7917.0600,2534.577
30,7917.0800,2534.421
31,7917.1000,2534.624
32,7917.1200,2534.843
33,7917.1400,2534.671
34,7917.1600,2534.734
35,7917.1800,2534.53
36,7917.2000,2534.906
37,7917.2200,2533.968
38,7917.2400,2534.702
39,7917.2600,2533.936
40,7917.2800,2534.562
41,7917.3000,2534.562
42,7917.3200,2534.812
43,7917.3400,2534.061
44,7917.3600,2534.577
45,7917.3800,2534.374
46,7917.4000,2534.859
47,7917.4200,2534.827
48,7917.4400,2534.796
49,7917.4600,2535.046
50,7917.4800,2534.921
51,7917.5000,2534.687
52,7917.5200,2534.421
53,7917.5400,2535.14
54,7917.5600,2534.577
55,7917.5800,2534.312
56,7917.6000,2534.249
57,7917.6200,2534.687
58,7917.6400,2534.108
59,7917.6600,2532.654
60,7917.6800,2533.076
61,7917.7000,2532.904
62,7917.7200,2533.186
63,7917.7400,2532.873
64,7917.7600,2532.216
65,7917.7800,2532.263
66,7917.8000,2532.701
67,7917.8200,2532.904
68,7917.8400,2532.404
69,7917.8600,2532.513
70,7917.8800,2533.029
71,7917.9000,2532.888
72,7917.9200,2533.451
73,7917.9400,2533.436
74,7917.9600,2533.53
75,7917.9800,2533.952
76,7918.0000,2533.842
77,7918.0200,2533.076
78,7918.0400,2534.249
79,7918.0600,2533.92
80,7918.0800,2533.639
81,7918.1000,2534.405
82,7918.1200,2534.859
83,7918.1400,2535
84,7918.1600,2534.921
85,7918.1800,2534.656
86,7918.2000,2534.593
87,7918.2200,2535.109
88,7918.2400,2534.702
89,7918.2600,2534.89
90,7918.2800,2533.702
91,7918.3000,2533.811
92,7918.3200,2533.576
93,7918.3400,2533.107
94,7918.3600,2532.638
95,7918.3800,2532.45
96,7918.4000,2533.248
97,7918.4200,2533.311
98,7918.4400,2532.279
99,7918.4600,2532.669
100,7918.4800,2532.591
101,7918.5000,2532.779
102,7918.5200,2533.06
103,7918.5400,2534.296
104,7918.5600,2533.42
105,7918.5800,2533.232
106,7918.6000,2533.952
107,7918.6200,2534.624
108,7918.6400,2534.577
109,7918.6600,2533.952
110,7918.6800,2534.749
111,7918.7000,2534.562
112,7918.7200,2534.781
113,7918.7400,2534.953
114,7918.7600,2535.406
115,7918.7800,2535.125
116,7918.8000,2535.39
117,7918.8200,2534.89
118,7918.8400,2535.031
119,7918.8600,2534.562
120,7918.8800,2535
121,7918.9000,2534.452
122,7918.9200,2535.015
123,7918.9400,2534.233
124,7918.9600,2534.39
125,7918.9800,2533.795
126,7919.0000,2532.857
127,7919.0200,2533.42
128,7919.0400,2533.311
129,7919.0600,2532.998
130,7919.0800,2533.467
131,7919.1000,2532.795
132,7919.1200,2533.107
133,7919.1400,2532.763
134,7919.1600,2533.655
135,7919.1800,2533.357
136,7919.2000,2533.436
137,7919.2200,2533.827
138,7919.2400,2534.343
139,7919.2600,2534.014
140,7919.2800,2534.28
141,7919.3000,2534.796
142,7919.3200,2534.249
143,7919.3400,2534.921
144,7919.3600,2534.077
145,7919.3800,2534.702
146,7919.4000,2534.28
147,7919.4200,2534.546
148,7919.4400,2534.718
149,7919.4600,2534.687
150,7919.4800,2534.734
151,7919.5000,2535.813
152,7919.5200,2534.765
153,7919.5400,2534.718
154,7919.5600,2535.015
155,7919.5800,2534.624
156,7919.6000,2533.983
157,7919.6200,2535.578
158,7919.6400,2534.624
159,7919.6600,2534.53
160,7919.6800,2534.265
161,7919.7000,2534.218
162,7919.7200,2534.358
163,7919.7400,2533.842
164,7919.7600,2534.046
165,7919.7800,2533.436
166,7919.8000,2532.967
167,7919.8200,2533.389
168,7919.8400,2532.763
169,7919.8600,2532.247
170,7919.8800,2532.122
171,7919.9000,2532.81
172,7919.9200,2532.482
173,7919.9400,2532.279
174,7919.9600,2532.122
175,7919.9800,2532.732
176,7920.0000,2532.388
177,7920.0200,2532.185
178,7920.0400,2533.092
179,7920.0600,2533.06
180,7920.0800,2532.591
181,7920.1000,2533.092
182,7920.1200,2533.357
183,7920.1400,2533.545
184,7920.1600,2533.514
185,7920.1800,2533.483
186,7920.2000,2534.124
187,7920.2200,2534.405
188,7920.2400,2534.343
189,7920.2600,2533.811
190,7920.2800,2533.92
191,7920.3000,2534.171
192,7920.3200,2534.64
193,7920.3400,2534.046
194,7920.3600,2533.952
195,7920.3800,2533.717
196,7920.4000,2533.405
197,7920.4200,2533.295
198,7920.4400,2532.92
199,7920.4600,2533.248
200,7920.4800,2533.53
201,7920.5000,2532.341
202,7920.5200,2532.763
203,7920.5400,2532.623
204,7920.5600,2532.623
205,7920.5800,2532.591
206,7920.6000,2533.232
207,7920.6200,2532.591
208,7920.6400,2532.92
209,7920.6600,2532.591
210,7920.6800,2533.842
211,7920.7000,2532.826
212,7920.7200,2533.874
213,7920.7400,2533.295
214,7920.7600,2533.733
215,7920.7800,2533.952
216,7920.8000,2534.468
217,7920.8200,2534.358
218,7920.8400,2534.186
219,7920.8600,2534.577
220,7920.8800,2534.718
221,7920.9000,2534.421
222,7920.9200,2534.593
223,7920.9400,2535.156
224,7920.9600,2534.546
225,7920.9800,2534.421
226,7921.0000,2533.811
227,7921.0200,2533.874
228,7921.0400,2534.358
229,7921.0600,2533.389
230,7921.0800,2533.154
231,7921.1000,2534.577
232,7921.1200,2532.513
233,7921.1400,2533.123
234,7921.1600,2532.826
235,7921.1800,2533.733
236,7921.2000,2533.389
237,7921.2200,2532.81
238,7921.2400,2532.998
239,7921.2600,2533.483
240,7921.2800,2533.623
241,7921.3000,2532.763
242,7921.3200,2533.702
243,7921.3400,2533.483
244,7921.3600,2533.326
245,7921.3800,2534.249
246,7921.4000,2534.061
247,7921.4200,2534.39
248,7921.4400,2533.983
249,7921.4600,2534.734
250,7921.4800,2534.687
251,7921.5000,2535.078
252,7921.5200,2534.827
253,7921.5400,2534.953
254,7921.5600,2534.859
255,7921.5800,2535.406
256,7921.6000,2534.89
257,7921.6200,2535.172
258,7921.6400,2535.688
259,7921.6600,2535.375
260,7921.6800,2535.172
261,7921.7000,2535.219
262,7921.7200,2535.093
263,7921.7400,2534.984
264,7921.7600,2535.14
265,7921.7800,2534.546
266,7921.8000,2534.796
267,7921.8200,2534.421
268,7921.8400,2534.405
269,7921.8600,2534.077
270,7921.8800,2534.061
271,7921.9000,2534.312
272,7921.9200,2534.139
273,7921.9400,2533.107
274,7921.9600,2534.03
275,7921.9800,2533.623
276,7922.0000,2533.53
277,7922.0200,2533.858
278,7922.0400,2533.874
279,7922.0600,2533.545
280,7922.0800,2533.576
281,7922.1000,2532.795
