#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7916.5000,49.05638
2,7916.5200,48.86407
3,7916.5400,48.72336
4,7916.5600,48.65301
5,7916.5800,48.6577
6,7916.6000,48.53106
7,7916.6200,48.37159
8,7916.6400,48.44194
9,7916.6600,48.43256
10,7916.6800,48.54982
11,7916.7000,48.7984
12,7916.7200,49.02823
13,7916.7400,49.23461
14,7916.7600,49.39877
15,7916.7800,49.45975
16,7916.8000,49.4832
17,7916.8200,49.43629
18,7916.8400,49.4832
19,7916.8600,49.48789
20,7916.8800,49.46444
21,7916.9000,49.26275
22,7916.9200,48.97195
23,7916.9400,48.83593
24,7916.9600,48.7046
25,7916.9800,48.53575
26,7917.0000,48.46539
27,7917.0200,48.51699
28,7917.0400,48.6061
29,7917.0600,48.73743
30,7917.0800,48.72805
31,7917.1000,48.72805
32,7917.1200,48.69053
33,7917.1400,48.65301
34,7917.1600,48.73274
35,7917.1800,48.8031
36,7917.2000,48.96726
37,7917.2200,49.07514
38,7917.2400,49.18301
39,7917.2600,49.26744
40,7917.2800,49.47851
41,7917.3000,49.61922
42,7917.3200,49.52541
43,7917.3400,49.37532
44,7917.3600,49.2393
45,7917.3800,49.45506
46,7917.4000,49.75055
47,7917.4200,50.04604
48,7917.4400,50.28525
49,7917.4600,50.35091
50,7917.4800,50.17737
51,7917.5000,50.01321
52,7917.5200,49.89595
53,7917.5400,49.78807
54,7917.5600,49.75993
55,7917.5800,49.68488
56,7917.6000,49.58638
57,7917.6200,49.60984
58,7917.6400,49.60984
59,7917.6600,49.61453
60,7917.6800,49.7224
61,7917.7000,49.76462
62,7917.7200,49.85374
63,7917.7400,49.90533
64,7917.7600,49.90533
65,7917.7800,49.83497
66,7917.8000,49.83497
67,7917.8200,49.83966
68,7917.8400,49.84436
69,7917.8600,49.66143
70,7917.8800,49.51134
71,7917.9000,49.46444
72,7917.9200,49.39877
73,7917.9400,49.46913
74,7917.9600,49.45975
75,7917.9800,49.44567
76,7918.0000,49.37532
77,7918.0200,49.30497
78,7918.0400,49.39408
79,7918.0600,49.577
80,7918.0800,49.74117
81,7918.1000,49.90533
82,7918.1200,49.99445
83,7918.1400,50.00852
84,7918.1600,50.08825
85,7918.1800,50.22896
86,7918.2000,50.35091
87,7918.2200,50.46348
88,7918.2400,50.56198
89,7918.2600,50.53853
90,7918.2800,50.4541
91,7918.3000,50.29932
92,7918.3200,50.18675
93,7918.3400,50.13515
94,7918.3600,50.27118
95,7918.3800,50.49632
96,7918.4000,50.698
97,7918.4200,50.94659
98,7918.4400,51.04039
99,7918.4600,51.07792
100,7918.4800,51.01694
101,7918.5000,51.02163
102,7918.5200,50.96066
103,7918.5400,50.76366
104,7918.5600,50.46817
105,7918.5800,50.09763
106,7918.6000,49.55355
107,7918.6200,49.01416
108,7918.6400,48.44194
109,7918.6600,47.62113
110,7918.6800,46.77687
111,7918.7000,46.14367
112,7918.7200,45.8857
113,7918.7400,45.98889
114,7918.7600,46.45323
115,7918.7800,47.00669
116,7918.8000,47.59299
117,7918.8200,48.123
118,7918.8400,48.64832
119,7918.8600,49.20647
120,7918.8800,49.66612
121,7918.9000,49.76931
122,7918.9200,49.78807
123,7918.9400,49.76462
124,7918.9600,49.68019
125,7918.9800,49.68957
126,7919.0000,49.61922
127,7919.0200,49.53948
128,7919.0400,49.56762
129,7919.0600,49.55355
130,7919.0800,49.60515
131,7919.1000,49.7271
132,7919.1200,49.85843
133,7919.1400,50.03197
134,7919.1600,50.13515
135,7919.1800,50.13515
136,7919.2000,50.28056
137,7919.2200,50.47286
138,7919.2400,50.76835
139,7919.2600,50.93251
140,7919.2800,50.93251
141,7919.3000,50.83402
142,7919.3200,50.72614
143,7919.3400,50.80119
144,7919.3600,50.75897
145,7919.3800,50.61357
146,7919.4000,50.29463
147,7919.4200,50.01321
148,7919.4400,49.84436
149,7919.4600,49.61453
150,7919.4800,49.40346
151,7919.5000,49.23461
152,7919.5200,49.36594
153,7919.5400,49.53479
154,7919.5600,49.71772
155,7919.5800,49.99914
156,7919.6000,50.27118
157,7919.6200,50.44472
158,7919.6400,50.4072
159,7919.6600,50.19613
160,7919.6800,50.04135
161,7919.7000,49.91002
162,7919.7200,49.98037
163,7919.7400,49.94754
164,7919.7600,49.85374
165,7919.7800,49.75993
166,7919.8000,49.90064
167,7919.8200,49.98037
168,7919.8400,50.05542
169,7919.8600,50.14923
170,7919.8800,50.27587
171,7919.9000,50.28056
172,7919.9200,50.14923
173,7919.9400,50.05073
174,7919.9600,49.91002
175,7919.9800,49.85374
176,7920.0000,49.83497
177,7920.0200,49.64736
178,7920.0400,49.5301
179,7920.0600,49.4832
180,7920.0800,49.59577
181,7920.1000,49.75055
182,7920.1200,49.77869
183,7920.1400,49.99914
184,7920.1600,50.12577
185,7920.1800,50.20082
186,7920.2000,50.09295
187,7920.2200,49.90533
188,7920.2400,49.75993
189,7920.2600,49.68019
190,7920.2800,49.69426
191,7920.3000,49.75524
192,7920.3200,49.89595
193,7920.3400,50.10701
194,7920.3600,50.20082
195,7920.3800,50.22427
196,7920.4000,50.28525
197,7920.4200,50.19144
198,7920.4400,50.08825
199,7920.4600,50.13047
200,7920.4800,50.13047
201,7920.5000,50.12109
202,7920.5200,50.08825
203,7920.5400,50.08825
204,7920.5600,50.19613
