#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,3.140516
2,7968.664000,3.144775
3,7968.665000,3.149258
4,7968.666000,3.152132
5,7968.667000,3.155513
6,7968.668000,3.156997
7,7968.669000,3.156761
8,7968.670000,3.15966
9,7968.671000,3.165715
10,7968.672000,3.172921
11,7968.673000,3.182454
12,7968.674000,3.190485
13,7968.675000,3.19673
14,7968.676000,3.206575
15,7968.677000,3.219393
16,7968.678000,3.221405
17,7968.679000,3.212333
18,7968.680000,3.259427
19,7968.681000,3.256846
20,7968.682000,3.2457
21,7968.683000,3.275048
22,7968.684000,3.281347
23,7968.685000,3.292709
24,7968.686000,3.303685
25,7968.687000,3.314163
26,7968.688000,3.324662
27,7968.689000,3.334934
28,7968.690000,3.345361
29,7968.691000,3.35598
30,7968.692000,3.366386
31,7968.693000,3.376653
32,7968.694000,3.389085
33,7968.695000,3.403848
34,7968.696000,3.419904
35,7968.697000,3.437891
36,7968.698000,3.456348
37,7968.699000,3.475208
38,7968.700000,3.495764
39,7968.701000,3.51773
40,7968.702000,3.539796
41,7968.703000,3.562025
42,7968.704000,3.585863
43,7968.705000,3.611114
44,7968.706000,3.6322
45,7968.707000,3.648846
46,7968.708000,3.686139
47,7968.709000,3.698416
48,7968.710000,3.728043
49,7968.711000,3.760368
50,7968.712000,3.784512
51,7968.713000,3.800795
52,7968.714000,3.803678
53,7968.715000,3.789044
54,7968.716000,3.778389
55,7968.717000,3.770036
56,7968.718000,3.79955
57,7968.719000,3.875481
58,7968.720000,3.890121
59,7968.721000,3.847166
60,7968.722000,3.827404
61,7968.723000,3.811416
62,7968.724000,3.805852
63,7968.725000,3.823171
64,7968.726000,3.835195
65,7968.727000,3.847102
66,7968.728000,3.846032
67,7968.729000,3.826276
68,7968.730000,3.818367
69,7968.731000,3.818821
70,7968.732000,3.819126
71,7968.733000,3.824727
72,7968.734000,3.822784
73,7968.735000,3.812532
74,7968.736000,3.804335
75,7968.737000,3.795468
76,7968.738000,3.785359
77,7968.739000,3.775269
78,7968.740000,3.763673
79,7968.741000,3.750846
80,7968.742000,3.738884
81,7968.743000,3.727788
82,7968.744000,3.715985
83,7968.745000,3.703916
84,7968.746000,3.69508
85,7968.747000,3.689646
86,7968.748000,3.663696
87,7968.749000,3.655245
88,7968.750000,3.651659
89,7968.751000,3.629782
90,7968.752000,3.617227
91,7968.753000,3.601832
92,7968.754000,3.587191
93,7968.755000,3.573423
94,7968.756000,3.561307
95,7968.757000,3.55144
96,7968.758000,3.528725
97,7968.759000,3.492174
98,7968.760000,3.498865
99,7968.761000,3.467668
100,7968.762000,3.452228
101,7968.763000,3.427773
102,7968.764000,3.405305
103,7968.765000,3.383156
104,7968.766000,3.35808
105,7968.767000,3.330743
106,7968.768000,3.312655
107,7968.769000,3.304394
108,7968.770000,3.245423
109,7968.771000,3.244074
110,7968.772000,3.212376
111,7968.773000,3.186089
112,7968.774000,3.162593
113,7968.775000,3.142301
114,7968.776000,3.123558
115,7968.777000,3.107337
116,7968.778000,3.091934
117,7968.779000,3.077279
118,7968.780000,3.065128
119,7968.781000,3.05519
120,7968.782000,3.048182
121,7968.783000,3.044501
122,7968.784000,3.043714
123,7968.785000,3.046189
124,7968.786000,3.045289
125,7968.787000,3.040437
