#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,-0.001838684
2,7968.664000,-0.06879807
3,7968.665000,-0.1620398
4,7968.666000,-0.2654343
5,7968.667000,-0.3783541
6,7968.668000,-0.5165281
7,7968.669000,-0.6770515
8,7968.670000,-0.7638397
9,7968.671000,-0.7697973
10,7968.672000,-0.7386293
11,7968.673000,-0.6436834
12,7968.674000,-0.5450315
13,7968.675000,-0.4456158
14,7968.676000,-0.2917757
15,7968.677000,-0.09530258
16,7968.678000,0.02006912
17,7968.679000,0.0498209
18,7968.680000,0.04533195
19,7968.681000,-0.02596951
20,7968.682000,-0.07745743
21,7968.683000,-0.1045465
22,7968.684000,-0.1784658
23,7968.685000,-0.2811155
24,7968.686000,-0.3402557
25,7968.687000,-0.3579226
26,7968.688000,-0.3564072
27,7968.689000,-0.3180437
28,7968.690000,-0.3035555
29,7968.691000,-0.3154955
30,7968.692000,-0.308877
31,7968.693000,-0.2967606
32,7968.694000,-0.2914848
33,7968.695000,-0.2892389
34,7968.696000,-0.2932911
35,7968.697000,-0.3058805
36,7968.698000,-0.3082676
37,7968.699000,-0.3005295
38,7968.700000,-0.2937078
39,7968.701000,-0.283823
40,7968.702000,-0.2754068
41,7968.703000,-0.2697678
42,7968.704000,-0.2618284
43,7968.705000,-0.2528973
44,7968.706000,-0.2433262
45,7968.707000,-0.2325373
46,7968.708000,-0.2213926
47,7968.709000,-0.2098122
48,7968.710000,-0.2009935
49,7968.711000,-0.1954336
50,7968.712000,-0.1915531
51,7968.713000,-0.1903658
52,7968.714000,-0.1900063
53,7968.715000,-0.1904373
54,7968.716000,-0.1935654
55,7968.717000,-0.1990843
56,7968.718000,-0.2032776
57,7968.719000,-0.2061253
58,7968.720000,-0.2092791
59,7968.721000,-0.2118416
60,7968.722000,-0.2166023
61,7968.723000,-0.2237997
62,7968.724000,-0.231329
63,7968.725000,-0.23985
64,7968.726000,-0.247118
65,7968.727000,-0.2526941
66,7968.728000,-0.2581329
67,7968.729000,-0.2627468
68,7968.730000,-0.2673788
69,7968.731000,-0.2721395
70,7968.732000,-0.2759905
71,7968.733000,-0.2790928
72,7968.734000,-0.2839289
73,7968.735000,-0.2905617
74,7968.736000,-0.2978821
75,7968.737000,-0.3065252
76,7968.738000,-0.3147659
77,7968.739000,-0.322463
78,7968.740000,-0.3309765
79,7968.741000,-0.340003
80,7968.742000,-0.347928
81,7968.743000,-0.3548937
82,7968.744000,-0.3612442
83,7968.745000,-0.3665819
84,7968.746000,-0.3721371
85,7968.747000,-0.3778944
86,7968.748000,-0.3829222
87,7968.749000,-0.3874445
88,7968.750000,-0.392004
89,7968.751000,-0.396513
90,7968.752000,-0.400836
91,7968.753000,-0.4050875
92,7968.754000,-0.4086752
93,7968.755000,-0.4115801
94,7968.756000,-0.4141941
95,7968.757000,-0.4163647
96,7968.758000,-0.4195013
97,7968.759000,-0.4237823
98,7968.760000,-0.4284286
99,7968.761000,-0.433856
100,7968.762000,-0.4393282
101,7968.763000,-0.4447641
102,7968.764000,-0.4508791
103,7968.765000,-0.4575167
104,7968.766000,-0.4635096
105,7968.767000,-0.4688578
106,7968.768000,-0.4740257
107,7968.769000,-0.4787188
108,7968.770000,-0.4838028
109,7968.771000,-0.4893665
