#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,0.1244659
2,7968.664000,-0.03020477
3,7968.665000,-0.04710388
4,7968.666000,-0.07047272
5,7968.667000,-0.09816742
6,7968.668000,-0.1265945
7,7968.669000,-0.1544189
8,7968.670000,-0.1869659
9,7968.671000,-0.2239761
10,7968.672000,-0.06063843
11,7968.673000,0.3225861
12,7968.674000,-0.4192505
13,7968.675000,-0.2178421
14,7968.676000,-0.6430893
15,7968.677000,-1.053131
16,7968.678000,-0.669838
17,7968.679000,-0.7989044
18,7968.680000,1.797501
19,7968.681000,-0.3681488
20,7968.682000,-1.982849
21,7968.683000,-0.06917572
22,7968.684000,-0.3099442
23,7968.685000,-0.4465561
24,7968.686000,-0.4379425
25,7968.687000,-0.4500275
26,7968.688000,-0.4959335
27,7968.689000,-0.555748
28,7968.690000,-0.4923172
29,7968.691000,-0.2948608
30,7968.692000,-0.283905
31,7968.693000,-0.4459991
32,7968.694000,-0.4563217
33,7968.695000,-0.3637238
34,7968.696000,-0.3488083
35,7968.697000,-0.3657761
36,7968.698000,-0.3454437
37,7968.699000,-0.3079147
38,7968.700000,-0.3384399
39,7968.701000,-0.435936
40,7968.702000,-0.193718
41,7968.703000,-0.3109894
42,7968.704000,-0.2855606
43,7968.705000,-0.349678
44,7968.706000,-0.1324768
45,7968.707000,-0.2472076
46,7968.708000,-0.1889038
47,7968.709000,-0.1618271
48,7968.710000,-0.145668
49,7968.711000,-0.1412811
50,7968.712000,-0.1432877
51,7968.713000,-0.1553192
52,7968.714000,-0.1690445
53,7968.715000,-0.1840134
54,7968.716000,-0.2079849
55,7968.717000,-0.2391281
56,7968.718000,-0.2428284
57,7968.719000,-0.2174759
58,7968.720000,-0.1775665
59,7968.721000,-0.1140366
60,7968.722000,-0.04892731
61,7968.723000,0.01688385
62,7968.724000,0.1128082
63,7968.725000,0.2354584
64,7968.726000,0.144928
65,7968.727000,-0.1775894
66,7968.728000,-0.2362289
67,7968.729000,-0.05732727
68,7968.730000,-1.430511
69,7968.731000,-0.4039993
70,7968.732000,-0.4117584
71,7968.733000,-0.05672455
72,7968.734000,0.1367569
73,7968.735000,0.1300888
74,7968.736000,-0.1697083
75,7968.737000,-0.2115707
76,7968.738000,-0.3317337
77,7968.739000,-0.2770615
78,7968.740000,-0.2734528
79,7968.741000,-0.2715607
80,7968.742000,-0.2270355
81,7968.743000,-0.1613007
82,7968.744000,-0.388237
83,7968.745000,-0.2386093
84,7968.746000,-0.2971115
85,7968.747000,-0.3317871
86,7968.748000,-0.299469
87,7968.749000,-0.1969223
88,7968.750000,-0.4584351
89,7968.751000,-0.2915497
90,7968.752000,-0.3455963
91,7968.753000,-0.3572617
92,7968.754000,-0.3721161
93,7968.755000,-0.3903961
94,7968.756000,-0.3866806
95,7968.757000,-0.3590164
96,7968.758000,-0.4292984
97,7968.759000,-0.6022415
98,7968.760000,-0.2016602
99,7968.761000,-0.3433838
100,7968.762000,-0.4041672
101,7968.763000,-0.7660599
102,7968.764000,0.09501648
103,7968.765000,-0.4663162
104,7968.766000,-0.3422852
105,7968.767000,-0.4135818
106,7968.768000,-0.4663239
107,7968.769000,-0.5110779
108,7968.770000,-0.775589
109,7968.771000,-0.7985687
110,7968.772000,-0.9798737
