#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,-0.06492043
2,7968.664000,-0.08109474
3,7968.665000,-0.08030128
4,7968.666000,-0.08043289
5,7968.667000,-0.08123207
6,7968.668000,-0.08277893
7,7968.669000,-0.08498573
8,7968.670000,-0.08034134
9,7968.671000,-0.06824875
10,7968.672000,-0.05310249
11,7968.673000,-0.03293419
12,7968.674000,-0.04679108
13,7968.675000,-0.09880066
14,7968.676000,-0.164072
15,7968.677000,-0.2531738
16,7968.678000,-0.1541443
17,7968.679000,-0.1677704
18,7968.680000,0.3835716
19,7968.681000,-0.129879
20,7968.682000,-0.3020306
21,7968.683000,0.01199532
22,7968.684000,0.005664825
23,7968.685000,-0.002000809
24,7968.686000,-0.004554749
25,7968.687000,-0.03910446
26,7968.688000,-0.09633636
27,7968.689000,-0.1798859
28,7968.690000,-0.2087116
29,7968.691000,-0.176012
30,7968.692000,-0.1294136
31,7968.693000,-0.04711723
32,7968.694000,-0.01142693
33,7968.695000,-0.03166008
34,7968.696000,-0.04998779
35,7968.697000,-0.08769035
36,7968.698000,-0.1033039
37,7968.699000,-0.08888245
38,7968.700000,-0.08183861
39,7968.701000,-0.07089424
40,7968.702000,-0.06576729
41,7968.703000,-0.0708046
42,7968.704000,-0.07273674
43,7968.705000,-0.07481194
44,7968.706000,-0.07726288
45,7968.707000,-0.07846069
46,7968.708000,-0.08119774
47,7968.709000,-0.08504295
48,7968.710000,-0.08747864
49,7968.711000,-0.08869553
50,7968.712000,-0.08946991
51,7968.713000,-0.08928871
52,7968.714000,-0.08796883
53,7968.715000,-0.08532333
54,7968.716000,-0.08110428
55,7968.717000,-0.07505417
56,7968.718000,-0.07763672
57,7968.719000,-0.08981705
58,7968.720000,-0.08954239
59,7968.721000,-0.07798386
60,7968.722000,-0.07645416
61,7968.723000,-0.08164024
62,7968.724000,-0.0816021
63,7968.725000,-0.07925606
64,7968.726000,-0.08142853
65,7968.727000,-0.08710098
66,7968.728000,-0.07850456
67,7968.729000,-0.05514717
68,7968.730000,-0.1053047
69,7968.731000,-0.06914902
70,7968.732000,-0.0773468
71,7968.733000,-0.07685661
72,7968.734000,-0.07627869
73,7968.735000,-0.07559204
74,7968.736000,-0.07495117
75,7968.737000,-0.0742836
76,7968.738000,-0.07362366
77,7968.739000,-0.0728302
78,7968.740000,-0.07195663
79,7968.741000,-0.07130432
80,7968.742000,-0.07069588
81,7968.743000,-0.07080269
82,7968.744000,-0.07072258
83,7968.745000,-0.07067299
84,7968.746000,-0.07265282
85,7968.747000,-0.07677269
86,7968.748000,-0.07262421
87,7968.749000,-0.05976105
88,7968.750000,-0.09257698
89,7968.751000,-0.07319069
90,7968.752000,-0.08153343
91,7968.753000,-0.08522797
92,7968.754000,-0.08829117
93,7968.755000,-0.09060097
94,7968.756000,-0.07287216
95,7968.757000,-0.03269005
96,7968.758000,-0.0901413
97,7968.759000,-0.2508068
98,7968.760000,0.04357338
99,7968.761000,-0.1249847
100,7968.762000,-0.09136581
101,7968.763000,-0.1540871
102,7968.764000,-0.04885864
103,7968.765000,-0.1242466
104,7968.766000,-0.1088276
105,7968.767000,-0.112915
106,7968.768000,-0.1144867
107,7968.769000,-0.1140747
108,7968.770000,-0.1252823
109,7968.771000,-0.1229076
