#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,3.681781
2,7968.664000,3.683825
3,7968.665000,3.681205
4,7968.666000,3.680131
5,7968.667000,3.678764
6,7968.668000,3.675148
7,7968.669000,3.669931
8,7968.670000,3.665097
9,7968.671000,3.660585
10,7968.672000,3.65559
11,7968.673000,3.65058
12,7968.674000,3.64415
13,7968.675000,3.636193
14,7968.676000,3.625244
15,7968.677000,3.610718
16,7968.678000,3.610624
17,7968.679000,3.626065
18,7968.680000,3.58691
19,7968.681000,3.600304
20,7968.682000,3.623594
21,7968.683000,3.607532
22,7968.684000,3.617624
23,7968.685000,3.625479
24,7968.686000,3.632003
25,7968.687000,3.63722
26,7968.688000,3.642663
27,7968.689000,3.647451
28,7968.690000,3.65441
29,7968.691000,3.66376
30,7968.692000,3.673395
31,7968.693000,3.68398
32,7968.694000,3.693375
33,7968.695000,3.701159
34,7968.696000,3.70883
35,7968.697000,3.715732
36,7968.698000,3.722605
37,7968.699000,3.729553
38,7968.700000,3.735612
39,7968.701000,3.740919
40,7968.702000,3.748245
41,7968.703000,3.757686
42,7968.704000,3.766994
43,7968.705000,3.77678
44,7968.706000,3.788528
45,7968.707000,3.802112
46,7968.708000,3.794742
47,7968.709000,3.810959
48,7968.710000,3.822227
49,7968.711000,3.844608
50,7968.712000,3.860226
51,7968.713000,3.870438
52,7968.714000,3.868275
53,7968.715000,3.849514
54,7968.716000,3.837328
55,7968.717000,3.829798
56,7968.718000,3.859233
57,7968.719000,3.934175
58,7968.720000,3.948376
59,7968.721000,3.904755
60,7968.722000,3.886512
61,7968.723000,3.874439
62,7968.724000,3.873377
63,7968.725000,3.896361
64,7968.726000,3.913699
65,7968.727000,3.930244
66,7968.728000,3.934287
67,7968.729000,3.919652
68,7968.730000,3.917366
69,7968.731000,3.924036
70,7968.732000,3.930491
71,7968.733000,3.942279
72,7968.734000,3.948411
73,7968.735000,3.948189
74,7968.736000,3.951153
75,7968.737000,3.955057
76,7968.738000,3.958088
77,7968.739000,3.961427
78,7968.740000,3.964567
79,7968.741000,3.967517
80,7968.742000,3.97174
81,7968.743000,3.977302
82,7968.744000,3.984611
83,7968.745000,3.994156
84,7968.746000,3.999837
85,7968.747000,4.001422
86,7968.748000,4.024956
87,7968.749000,4.031923
88,7968.750000,4.033315
89,7968.751000,4.052427
90,7968.752000,4.062126
91,7968.753000,4.07422
92,7968.754000,4.086697
93,7968.755000,4.099539
94,7968.756000,4.110918
95,7968.757000,4.120612
96,7968.758000,4.14048
97,7968.759000,4.1711
98,7968.760000,4.157213
99,7968.761000,4.179008
100,7968.762000,4.184484
101,7968.763000,4.198537
102,7968.764000,4.208509
103,7968.765000,4.216384
104,7968.766000,4.22812
105,7968.767000,4.243054
106,7968.768000,4.248559
107,7968.769000,4.24472
108,7968.770000,4.290034
109,7968.771000,4.276024
110,7968.772000,4.292212
111,7968.773000,4.302372
112,7968.774000,4.314669
113,7968.775000,4.329423
114,7968.776000,4.34536
115,7968.777000,4.363154
116,7968.778000,4.381703
117,7968.779000,4.400934
118,7968.780000,4.422018
119,7968.781000,4.444754
120,7968.782000,4.463872
121,7968.783000,4.479038
122,7968.784000,4.492642
123,7968.785000,4.503251
124,7968.786000,4.521062
125,7968.787000,4.546966
