#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,0.05558044
2,7968.664000,0.05383366
3,7968.665000,0.0499047
4,7968.666000,0.04844284
5,7968.667000,0.04896201
6,7968.668000,0.04890173
7,7968.669000,0.04907579
8,7968.670000,0.04579625
9,7968.671000,0.03841373
10,7968.672000,0.03543073
11,7968.673000,0.03632808
12,7968.674000,0.03971968
13,7968.675000,0.04751766
14,7968.676000,0.02058826
15,7968.677000,0.04135577
16,7968.678000,0.03229796
17,7968.679000,0.02151901
18,7968.680000,0.03368068
19,7968.681000,0.0128609
20,7968.682000,0.02769206
21,7968.683000,0.04598608
22,7968.684000,0.04108711
23,7968.685000,0.03656338
24,7968.686000,0.03175342
25,7968.687000,0.03105725
26,7968.688000,0.03114604
27,7968.689000,0.03510976
28,7968.690000,0.03692479
29,7968.691000,0.03697656
30,7968.692000,0.04048472
31,7968.693000,0.04663905
32,7968.694000,0.04926864
33,7968.695000,0.048753
34,7968.696000,0.04789212
35,7968.697000,0.04542231
36,7968.698000,0.04373734
37,7968.699000,0.04317233
38,7968.700000,0.04163838
39,7968.701000,0.03970427
40,7968.702000,0.03669556
41,7968.703000,0.03233248
42,7968.704000,0.02734748
43,7968.705000,0.0214877
44,7968.706000,0.02108089
45,7968.707000,0.0268256
46,7968.708000,0.02584396
47,7968.709000,0.01899237
48,7968.710000,0.0108632
49,7968.711000,-0.001180939
50,7968.712000,-0.005155241
51,7968.713000,5.910173E-6
52,7968.714000,0.006871196
53,7968.715000,0.00343631
54,7968.716000,0.00671905
55,7968.717000,0.009584173
56,7968.718000,0.004685391
57,7968.719000,-0.008579271
58,7968.720000,-0.008499941
59,7968.721000,0.004425045
60,7968.722000,0.00608628
61,7968.723000,-2.174024E-4
62,7968.724000,8.010808E-4
63,7968.725000,0.005810139
64,7968.726000,3.638361E-4
65,7968.727000,0.001226768
66,7968.728000,6.77513E-4
67,7968.729000,-0.003681686
68,7968.730000,-0.006420547
69,7968.731000,-0.00975148
70,7968.732000,-0.01399026
71,7968.733000,-0.01900286
72,7968.734000,-0.02082931
73,7968.735000,-0.01919571
74,7968.736000,-0.01522529
75,7968.737000,-0.007720279
76,7968.738000,-0.008286783
77,7968.739000,-0.01057068
78,7968.740000,-0.01549553
79,7968.741000,-0.02270839
80,7968.742000,-0.0300744
81,7968.743000,-0.0372223
82,7968.744000,-0.04176043
83,7968.745000,-0.04263197
84,7968.746000,-0.05109567
85,7968.747000,-0.01497566
86,7968.748000,-0.01566153
87,7968.749000,-0.04441755
88,7968.750000,-0.04843777
89,7968.751000,-0.0377668
90,7968.752000,-0.03984763
91,7968.753000,-0.04799867
92,7968.754000,-0.04899628
93,7968.755000,-0.04584685
94,7968.756000,-0.06136952
95,7968.757000,-0.05623568
96,7968.758000,-0.05950371
97,7968.759000,-0.05831414
98,7968.760000,-0.05565684
99,7968.761000,-0.05084934
100,7968.762000,-0.05043335
101,7968.763000,-0.05491517
102,7968.764000,-0.06056011
103,7968.765000,-0.06909536
104,7968.766000,-0.07385375
105,7968.767000,-0.0740821
106,7968.768000,-0.07445271
107,7968.769000,-0.07322893
108,7968.770000,-0.07378674
109,7968.771000,-0.07675402
110,7968.772000,-0.07909282
111,7968.773000,-0.08172591
112,7968.774000,-0.08388966
