#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,-0.4255034
2,7968.664000,-0.4396535
3,7968.665000,-0.4528174
4,7968.666000,-0.4660465
5,7968.667000,-0.4795645
6,7968.668000,-0.4919337
7,7968.669000,-0.5033818
8,7968.670000,-0.5230695
9,7968.671000,-0.5516763
10,7968.672000,-0.5805104
11,7968.673000,-0.6116473
12,7968.674000,-0.6317512
13,7968.675000,-0.6382256
14,7968.676000,-0.5539186
15,7968.677000,-0.5768582
16,7968.678000,-0.4268124
17,7968.679000,-0.1661
18,7968.680000,-1.800631
19,7968.681000,-0.3763402
20,7968.682000,-0.0362559
21,7968.683000,-0.6883882
22,7968.684000,-0.6790375
23,7968.685000,-0.720728
24,7968.686000,-0.7761955
25,7968.687000,-0.7794969
26,7968.688000,-0.7744535
27,7968.689000,-0.750281
28,7968.690000,-0.7476901
29,7968.691000,-0.7739885
30,7968.692000,-0.7916839
31,7968.693000,-0.812018
32,7968.694000,-0.8297428
33,7968.695000,-0.8405401
34,7968.696000,-0.855782
35,7968.697000,-0.87322
36,7968.698000,-0.8896449
37,7968.699000,-0.9064378
38,7968.700000,-0.9233249
39,7968.701000,-0.9400616
40,7968.702000,-0.9572251
41,7968.703000,-0.9747217
42,7968.704000,-0.9922222
43,7968.705000,-1.00979
44,7968.706000,-1.027745
45,7968.707000,-1.046059
46,7968.708000,-1.064592
47,7968.709000,-1.083406
48,7968.710000,-1.101374
49,7968.711000,-1.118376
50,7968.712000,-1.134985
51,7968.713000,-1.150876
52,7968.714000,-1.166646
53,7968.715000,-1.182326
54,7968.716000,-1.197327
55,7968.717000,-1.211759
56,7968.718000,-1.226391
57,7968.719000,-1.241202
58,7968.720000,-1.25588
59,7968.721000,-1.270602
60,7968.722000,-1.284743
61,7968.723000,-1.298253
62,7968.724000,-1.311575
63,7968.725000,-1.324559
64,7968.726000,-1.337832
65,7968.727000,-1.351493
66,7968.728000,-1.365132
67,7968.729000,-1.378933
68,7968.730000,-1.392624
69,7968.731000,-1.406172
70,7968.732000,-1.419873
71,7968.733000,-1.433673
72,7968.734000,-1.446936
73,7968.735000,-1.459648
74,7968.736000,-1.472075
75,7968.737000,-1.484056
76,7968.738000,-1.496035
77,7968.739000,-1.508039
78,7968.740000,-1.519712
79,7968.741000,-1.531149
80,7968.742000,-1.540606
81,7968.743000,-1.547859
82,7968.744000,-1.553789
83,7968.745000,-1.557872
84,7968.746000,-1.563004
85,7968.747000,-1.569421
86,7968.748000,-1.575256
87,7968.749000,-1.581241
88,7968.750000,-1.570742
89,7968.751000,-1.54195
90,7968.752000,-1.503256
91,7968.753000,-1.449857
92,7968.754000,-1.458999
93,7968.755000,-1.538167
94,7968.756000,-1.692745
95,7968.757000,-1.949024
96,7968.758000,-1.655354
97,7968.759000,-0.761511
98,7968.760000,-1.486586
99,7968.761000,-1.689687
100,7968.762000,-1.771631
101,7968.763000,-1.173319
102,7968.764000,-1.503521
103,7968.765000,-1.485417
104,7968.766000,-1.509296
105,7968.767000,-1.313039
106,7968.768000,-1.44528
107,7968.769000,-1.86383
108,7968.770000,-0.9302149
109,7968.771000,-1.56409
110,7968.772000,-1.39533
111,7968.773000,-1.383233
112,7968.774000,-1.374019
113,7968.775000,-1.367905
