#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,0.3879018
2,7968.664000,0.3598209
3,7968.665000,0.3390486
4,7968.666000,0.3134308
5,7968.667000,0.2914427
6,7968.668000,0.258425
7,7968.669000,0.2153063
8,7968.670000,0.2075875
9,7968.671000,0.1823445
10,7968.672000,0.14534
11,7968.673000,0.1233595
12,7968.674000,0.1363468
13,7968.675000,0.1144296
14,7968.676000,0.0972755
15,7968.677000,0.1235985
16,7968.678000,0.05627936
17,7968.679000,0.07686143
18,7968.680000,-0.07010761
19,7968.681000,0.003338553
20,7968.682000,0.01418184
21,7968.683000,-0.06346864
22,7968.684000,-0.09312662
23,7968.685000,-0.1069006
24,7968.686000,-0.1516215
25,7968.687000,-0.185737
26,7968.688000,-0.2317549
27,7968.689000,-0.2829176
28,7968.690000,-0.314465
29,7968.691000,-0.3456159
30,7968.692000,-0.3654806
31,7968.693000,-0.3885171
32,7968.694000,-0.4101646
33,7968.695000,-0.4360268
34,7968.696000,-0.4508519
35,7968.697000,-0.4665413
36,7968.698000,-0.4932707
37,7968.699000,-0.4994122
38,7968.700000,-0.5118788
39,7968.701000,-0.5195055
40,7968.702000,-0.5361072
41,7968.703000,-0.5628394
42,7968.704000,-0.5929481
43,7968.705000,-0.6297622
44,7968.706000,-0.6606151
45,7968.707000,-0.6842583
46,7968.708000,-0.748773
47,7968.709000,-0.8748368
48,7968.710000,-0.9225935
49,7968.711000,-0.9561664
50,7968.712000,-0.9779257
51,7968.713000,-0.9863756
52,7968.714000,-1.003334
53,7968.715000,-1.033809
54,7968.716000,-1.056051
55,7968.717000,-1.076736
56,7968.718000,-1.085739
57,7968.719000,-1.106498
58,7968.720000,-1.151385
59,7968.721000,-1.191676
60,7968.722000,-1.188005
61,7968.723000,-1.219098
62,7968.724000,-1.270631
63,7968.725000,-1.292063
64,7968.726000,-1.306107
65,7968.727000,-1.285875
66,7968.728000,-1.450126
67,7968.729000,-1.459138
68,7968.730000,-1.428633
69,7968.731000,-1.497192
70,7968.732000,-1.537601
71,7968.733000,-1.553118
72,7968.734000,-1.551051
73,7968.735000,-1.601351
74,7968.736000,-1.632488
75,7968.737000,-1.643255
76,7968.738000,-1.700245
77,7968.739000,-1.716588
78,7968.740000,-1.740634
79,7968.741000,-1.797141
80,7968.742000,-1.784343
81,7968.743000,-1.807211
82,7968.744000,-1.859572
83,7968.745000,-1.973228
84,7968.746000,-1.963436
85,7968.747000,-1.886297
86,7968.748000,-1.992182
87,7968.749000,-1.955273
88,7968.750000,-1.9404
89,7968.751000,-1.999331
90,7968.752000,-2.028502
91,7968.753000,-2.078062
92,7968.754000,-2.144167
93,7968.755000,-2.187575
94,7968.756000,-2.20728
95,7968.757000,-2.261822
96,7968.758000,-2.318808
97,7968.759000,-2.329052
98,7968.760000,-2.311788
99,7968.761000,-2.322265
100,7968.762000,-2.308905
101,7968.763000,-2.339353
102,7968.764000,-2.327226
103,7968.765000,-2.309543
104,7968.766000,-2.411409
105,7968.767000,-2.427732
106,7968.768000,-2.537841
107,7968.769000,-2.637039
108,7968.770000,-2.680748
109,7968.771000,-2.702265
110,7968.772000,-2.711278
111,7968.773000,-2.710445
112,7968.774000,-2.635063
113,7968.775000,-2.680606
114,7968.776000,-2.666521
