#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,1.199974
2,7968.664000,1.189999
3,7968.665000,1.175108
4,7968.666000,1.161022
5,7968.667000,1.14588
6,7968.668000,1.128072
7,7968.669000,1.108138
8,7968.670000,1.087919
9,7968.671000,1.067376
10,7968.672000,1.04569
11,7968.673000,1.023295
12,7968.674000,0.9982703
13,7968.675000,0.9704345
14,7968.676000,0.9448851
15,7968.677000,0.9215237
16,7968.678000,0.8855335
17,7968.679000,0.8367556
18,7968.680000,0.8727645
19,7968.681000,0.8301406
20,7968.682000,0.7947719
21,7968.683000,0.79601
22,7968.684000,0.7766488
23,7968.685000,0.764135
24,7968.686000,0.7496828
25,7968.687000,0.7333313
26,7968.688000,0.7168149
27,7968.689000,0.6991306
28,7968.690000,0.6835369
29,7968.691000,0.6702851
30,7968.692000,0.6569602
31,7968.693000,0.6443259
32,7968.694000,0.6280389
33,7968.695000,0.6074218
34,7968.696000,0.5850831
35,7968.697000,0.5597204
36,7968.698000,0.5333226
37,7968.699000,0.5060522
38,7968.700000,0.4757349
39,7968.701000,0.4427381
40,7968.702000,0.4109502
41,7968.703000,0.3803782
42,7968.704000,0.3483547
43,7968.705000,0.3157183
44,7968.706000,0.2862846
45,7968.707000,0.2601755
46,7968.708000,0.2136995
47,7968.709000,0.1921096
48,7968.710000,0.1533641
49,7968.711000,0.1122996
50,7968.712000,0.07934296
51,7968.713000,0.05430657
52,7968.714000,0.04256868
53,7968.715000,0.04818654
54,7968.716000,0.04986018
55,7968.717000,0.04921097
56,7968.718000,0.01175159
57,7968.719000,-0.0709371
58,7968.720000,-0.09169197
59,7968.721000,-0.053891
60,7968.722000,-0.04731202
61,7968.723000,-0.05342531
62,7968.724000,-0.06477785
63,7968.725000,-0.095393
64,7968.726000,-0.1086794
65,7968.727000,-0.1059235
66,7968.728000,-0.111577
67,7968.729000,-0.1192625
68,7968.730000,-0.1314352
69,7968.731000,-0.1516334
70,7968.732000,-0.1620073
71,7968.733000,-0.1631349
72,7968.734000,-0.1702305
73,7968.735000,-0.1803419
74,7968.736000,-0.1851701
75,7968.737000,-0.1864744
76,7968.738000,-0.18907
77,7968.739000,-0.1919892
78,7968.740000,-0.1932727
79,7968.741000,-0.1935984
80,7968.742000,-0.1948144
81,7968.743000,-0.1969029
82,7968.744000,-0.1983877
83,7968.745000,-0.1996577
84,7968.746000,-0.2042697
85,7968.747000,-0.2123971
86,7968.748000,-0.2000438
87,7968.749000,-0.2052325
88,7968.750000,-0.2159217
89,7968.751000,-0.2089994
90,7968.752000,-0.2117996
91,7968.753000,-0.212323
92,7968.754000,-0.212391
93,7968.755000,-0.2119579
94,7968.756000,-0.2092705
95,7968.757000,-0.2040817
96,7968.758000,-0.2093633
97,7968.759000,-0.225816
98,7968.760000,-0.197631
99,7968.761000,-0.2053222
100,7968.762000,-0.1962534
101,7968.763000,-0.1952922
102,7968.764000,-0.1903901
103,7968.765000,-0.1834175
104,7968.766000,-0.179459
105,7968.767000,-0.177867
106,7968.768000,-0.1663684
107,7968.769000,-0.1448445
108,7968.770000,-0.1724795
109,7968.771000,-0.1408514
110,7968.772000,-0.1389788
111,7968.773000,-0.1307976
112,7968.774000,-0.1226469
113,7968.775000,-0.1146142
