#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,8.502035
2,7968.664000,8.555796
3,7968.665000,8.506389
4,7968.666000,8.512007
5,7968.667000,8.505453
6,7968.668000,8.504369
7,7968.669000,8.509057
8,7968.670000,8.486782
9,7968.671000,8.486494
10,7968.672000,8.498624
11,7968.673000,8.483688
12,7968.674000,8.484742
13,7968.675000,8.483263
14,7968.676000,8.478822
15,7968.677000,8.471083
16,7968.678000,8.477732
17,7968.679000,8.499422
18,7968.680000,8.444735
19,7968.681000,8.477897
20,7968.682000,8.470265
21,7968.683000,8.476627
22,7968.684000,8.460516
23,7968.685000,8.452178
24,7968.686000,8.480736
25,7968.687000,8.463874
26,7968.688000,8.461789
27,7968.689000,8.443297
28,7968.690000,8.483068
29,7968.691000,8.454461
30,7968.692000,8.461123
31,7968.693000,8.461026
32,7968.694000,8.461422
33,7968.695000,8.462358
34,7968.696000,8.463632
35,7968.697000,8.465355
36,7968.698000,8.467339
37,7968.699000,8.469573
38,7968.700000,8.47225
39,7968.701000,8.475333
40,7968.702000,8.478528
41,7968.703000,8.481834
42,7968.704000,8.485379
43,7968.705000,8.489093
44,7968.706000,8.493207
45,7968.707000,8.497738
46,7968.708000,8.502518
47,7968.709000,8.507599
48,7968.710000,8.511485
49,7968.711000,8.514008
50,7968.712000,8.518026
51,7968.713000,8.523317
52,7968.714000,8.519982
53,7968.715000,8.507669
54,7968.716000,8.539039
55,7968.717000,8.517433
56,7968.718000,8.522957
57,7968.719000,8.523494
58,7968.720000,8.523902
59,7968.721000,8.524405
60,7968.722000,8.524232
61,7968.723000,8.523317
62,7968.724000,8.522221
63,7968.725000,8.520752
64,7968.726000,8.519699
65,7968.727000,8.519188
66,7968.728000,8.518707
67,7968.729000,8.518488
68,7968.730000,8.518696
69,7968.731000,8.519344
70,7968.732000,8.516157
71,7968.733000,8.508758
72,7968.734000,8.518488
73,7968.735000,8.546128
74,7968.736000,8.480526
75,7968.737000,8.522475
76,7968.738000,8.511723
77,7968.739000,8.508519
78,7968.740000,8.506768
79,7968.741000,8.504454
80,7968.742000,8.503072
81,7968.743000,8.502687
82,7968.744000,8.502846
83,7968.745000,8.503866
84,7968.746000,8.504982
85,7968.747000,8.506173
86,7968.748000,8.508106
87,7968.749000,8.510636
88,7968.750000,8.513103
89,7968.751000,8.515542
90,7968.752000,8.518221
91,7968.753000,8.520993
92,7968.754000,8.523721
93,7968.755000,8.526381
94,7968.756000,8.53398
95,7968.757000,8.546972
96,7968.758000,8.537808
97,7968.759000,8.518195
98,7968.760000,8.575109
99,7968.761000,8.537381
100,7968.762000,8.547486
101,7968.763000,8.547421
102,7968.764000,8.550585
103,7968.765000,8.554778
104,7968.766000,8.548007
105,7968.767000,8.528873
106,7968.768000,8.57435
107,7968.769000,8.543476
108,7968.770000,8.552994
109,7968.771000,8.556071
110,7968.772000,8.549875
111,7968.773000,8.554608
112,7968.774000,8.556001
113,7968.775000,8.561154
114,7968.776000,8.563833
115,7968.777000,8.564366
116,7968.778000,8.583675
117,7968.779000,8.622675
118,7968.780000,8.573729
119,7968.781000,8.580207
120,7968.782000,8.664697
121,7968.783000,8.609371
122,7968.784000,8.625887
123,7968.785000,8.624731
124,7968.786000,8.619747
125,7968.787000,8.610707
