#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7968.663000,-10.09589
2,7968.664000,-10.10564
3,7968.665000,-10.06111
4,7968.666000,-10.13404
5,7968.667000,-10.07489
6,7968.668000,-10.06163
7,7968.669000,-10.0114
8,7968.670000,-10.05567
9,7968.671000,-9.996875
10,7968.672000,-9.981778
11,7968.673000,-9.945908
12,7968.674000,-9.957458
13,7968.675000,-9.90403
14,7968.676000,-9.870997
15,7968.677000,-9.819234
16,7968.678000,-9.814734
17,7968.679000,-9.881145
18,7968.680000,-9.693366
19,7968.681000,-9.76629
20,7968.682000,-9.800179
21,7968.683000,-9.766456
22,7968.684000,-9.742299
23,7968.685000,-9.761371
24,7968.686000,-9.77505
25,7968.687000,-9.755518
26,7968.688000,-9.764771
27,7968.689000,-9.781217
28,7968.690000,-9.742827
29,7968.691000,-9.730619
30,7968.692000,-9.802015
31,7968.693000,-9.759445
32,7968.694000,-9.782209
33,7968.695000,-9.773286
34,7968.696000,-9.77104
35,7968.697000,-9.765331
36,7968.698000,-9.758237
37,7968.699000,-9.75049
38,7968.700000,-9.739717
39,7968.701000,-9.726212
40,7968.702000,-9.715043
41,7968.703000,-9.706281
42,7968.704000,-9.701653
43,7968.705000,-9.702824
44,7968.706000,-9.683088
45,7968.707000,-9.682699
46,7968.708000,-9.672238
47,7968.709000,-9.664212
48,7968.710000,-9.652141
49,7968.711000,-9.636075
50,7968.712000,-9.633664
51,7968.713000,-9.645505
52,7968.714000,-9.5749
53,7968.715000,-9.58698
54,7968.716000,-9.535625
55,7968.717000,-9.472845
56,7968.718000,-9.473569
57,7968.719000,-9.550245
58,7968.720000,-9.506559
59,7968.721000,-9.352823
60,7968.722000,-9.264417
61,7968.723000,-9.413369
62,7968.724000,-9.473848
63,7968.725000,-9.332319
64,7968.726000,-9.271963
65,7968.727000,-9.173617
66,7968.728000,-9.118889
67,7968.729000,-9.225614
68,7968.730000,-9.293143
69,7968.731000,-9.176182
70,7968.732000,-9.175866
71,7968.733000,-9.189413
72,7968.734000,-9.188198
73,7968.735000,-9.188517
74,7968.736000,-9.17388
75,7968.737000,-9.185205
76,7968.738000,-9.175105
77,7968.739000,-9.158161
78,7968.740000,-9.208102
79,7968.741000,-9.228891
80,7968.742000,-9.168256
81,7968.743000,-9.231257
82,7968.744000,-9.213845
83,7968.745000,-9.192893
84,7968.746000,-9.243352
85,7968.747000,-9.281395
86,7968.748000,-9.177732
87,7968.749000,-9.254395
88,7968.750000,-9.255514
89,7968.751000,-9.25816
90,7968.752000,-9.275683
91,7968.753000,-9.296396
92,7968.754000,-9.30675
93,7968.755000,-9.305975
94,7968.756000,-9.358798
95,7968.757000,-9.382526
96,7968.758000,-9.360967
97,7968.759000,-9.423735
98,7968.760000,-9.434204
99,7968.761000,-9.464561
100,7968.762000,-9.496337
101,7968.763000,-9.559188
102,7968.764000,-9.537531
103,7968.765000,-9.599771
104,7968.766000,-9.646929
105,7968.767000,-9.733774
106,7968.768000,-9.674995
107,7968.769000,-9.791771
108,7968.770000,-9.821932
109,7968.771000,-9.872167
110,7968.772000,-9.924559
111,7968.773000,-9.979292
112,7968.774000,-10.01878
113,7968.775000,-10.04121
114,7968.776000,-10.05337
115,7968.777000,-10.05
116,7968.778000,-10.04907
