#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7968.6600,2499.643
2,7968.6800,2499.611
3,7968.7000,2498.782
4,7968.7200,2498.798
5,7968.7400,2498.563
6,7968.7600,2498.563
7,7968.7800,2497.829
8,7968.8000,2497.5
9,7968.8200,2497.672
10,7968.8400,2497.703
11,7968.8600,2496.75
12,7968.8800,2496.937
13,7968.9000,2496.765
14,7968.9200,2496.499
15,7968.9400,2496.781
16,7968.9600,2496.281
17,7968.9800,2495.874
18,7969.0000,2495.936
19,7969.0200,2496.14
20,7969.0400,2495.639
21,7969.0600,2495.764
22,7969.0800,2496.108
23,7969.1000,2495.561
24,7969.1200,2495.827
25,7969.1400,2496.452
26,7969.1600,2496.312
27,7969.1800,2496.796
28,7969.2000,2496.625
29,7969.2200,2496.984
30,7969.2400,2496.812
31,7969.2600,2496.859
32,7969.2800,2497.735
33,7969.3000,2497.313
34,7969.3200,2498.173
35,7969.3400,2498.642
36,7969.3600,2498.657
37,7969.3800,2499.189
38,7969.4000,2499.048
39,7969.4200,2499.158
40,7969.4400,2499.236
41,7969.4600,2499.674
42,7969.4800,2499.893
43,7969.5000,2499.596
44,7969.5200,2500.252
45,7969.5400,2500.487
46,7969.5600,2500.221
47,7969.5800,2500.268
48,7969.6000,2500.534
49,7969.6200,2500.643
50,7969.6400,2500.299
51,7969.6600,2500.721
52,7969.6800,2500.362
53,7969.7000,2500.565
54,7969.7200,2500.596
55,7969.7400,2500.769
56,7969.7600,2499.908
57,7969.7800,2499.877
58,7969.8000,2499.752
59,7969.8200,2499.768
60,7969.8400,2498.845
61,7969.8600,2498.814
62,7969.8800,2497.922
63,7969.9000,2498.251
64,7969.9200,2497.578
65,7969.9400,2496.984
66,7969.9600,2496.812
67,7969.9800,2496.202
68,7970.0000,2496.046
69,7970.0200,2495.514
70,7970.0400,2495.483
71,7970.0600,2495.561
72,7970.0800,2494.889
73,7970.1000,2494.732
74,7970.1200,2494.67
75,7970.1400,2495.045
76,7970.1600,2495.671
77,7970.1800,2495.968
78,7970.2000,2496.218
79,7970.2200,2496.437
80,7970.2400,2496.562
81,7970.2600,2496.437
82,7970.2800,2497.969
83,7970.3000,2498.063
84,7970.3200,2498.47
85,7970.3400,2499.22
86,7970.3600,2499.533
87,7970.3800,2499.611
88,7970.4000,2500.002
89,7970.4200,2500.19
90,7970.4400,2500.753
91,7970.4600,2501.066
92,7970.4800,2501.488
93,7970.5000,2501.425
94,7970.5200,2501.988
95,7970.5400,2502.348
96,7970.5600,2502.238
97,7970.5800,2502.551
98,7970.6000,2502.614
99,7970.6200,2502.285
100,7970.6400,2502.489
101,7970.6600,2501.613
102,7970.6800,2502.958
103,7970.7000,2501.879
104,7970.7200,2500.925
105,7970.7400,2501.441
106,7970.7600,2499.924
107,7970.7800,2499.267
108,7970.8000,2498.782
109,7970.8200,2498.845
110,7970.8400,2497.782
111,7970.8600,2497.234
112,7970.8800,2496.249
113,7970.9000,2496.609
114,7970.9200,2495.702
115,7970.9400,2495.28
116,7970.9600,2494.811
117,7970.9800,2495.045
118,7971.0000,2495.014
119,7971.0200,2494.388
120,7971.0400,2494.435
121,7971.0600,2494.56
122,7971.0800,2494.357
123,7971.1000,2494.607
124,7971.1200,2495.014
125,7971.1400,2494.826
126,7971.1600,2495.139
127,7971.1800,2495.874
128,7971.2000,2495.671
129,7971.2200,2496.202
130,7971.2400,2497.031
131,7971.2600,2497.015
132,7971.2800,2496.64
133,7971.3000,2497.829
134,7971.3200,2498.157
135,7971.3400,2498.767
136,7971.3600,2498.595
137,7971.3800,2499.345
138,7971.4000,2499.893
139,7971.4200,2499.768
140,7971.4400,2499.768
141,7971.4600,2500.987
142,7971.4800,2500.377
143,7971.5000,2500.753
144,7971.5200,2500.628
145,7971.5400,2501.488
146,7971.5600,2500.894
147,7971.5800,2501.879
148,7971.6000,2501.097
149,7971.6200,2501.316
150,7971.6400,2500.94
151,7971.6600,2500.534
152,7971.6800,2500.206
153,7971.7000,2499.955
154,7971.7200,2500.096
155,7971.7400,2499.627
156,7971.7600,2498.798
157,7971.7800,2498.501
158,7971.8000,2498.548
159,7971.8200,2498.61
160,7971.8400,2498.282
161,7971.8600,2497.86
162,7971.8800,2498.032
163,7971.9000,2498.157
164,7971.9200,2497.281
165,7971.9400,2497.563
166,7971.9600,2497.829
167,7971.9800,2497.938
168,7972.0000,2498.016
169,7972.0200,2497.344
170,7972.0400,2497.797
171,7972.0600,2497.5
172,7972.0800,2497.641
173,7972.1000,2497.485
174,7972.1200,2498.032
175,7972.1400,2496.984
176,7972.1600,2497.453
177,7972.1800,2497.641
178,7972.2000,2497.094
179,7972.2200,2496.828
180,7972.2400,2496.89
181,7972.2600,2496.843
182,7972.2800,2496.578
183,7972.3000,2496.39
184,7972.3200,2496.515
185,7972.3400,2497.531
186,7972.3600,2497.25
187,7972.3800,2497.578
188,7972.4000,2497.516
189,7972.4200,2498.157
190,7972.4400,2497.875
191,7972.4600,2498.094
192,7972.4800,2498.751
193,7972.5000,2498.642
194,7972.5200,2499.064
195,7972.5400,2499.783
196,7972.5600,2499.267
197,7972.5800,2499.299
198,7972.6000,2499.752
199,7972.6200,2499.517
200,7972.6400,2499.705
201,7972.6600,2499.799
202,7972.6800,2499.58
203,7972.7000,2499.783
204,7972.7200,2499.768
205,7972.7400,2499.142
206,7972.7600,2499.517
207,7972.7800,2499.596
208,7972.8000,2499.299
209,7972.8200,2498.923
210,7972.8400,2499.392
211,7972.8600,2498.642
212,7972.8800,2498.986
213,7972.9000,2498.814
214,7972.9200,2498.61
215,7972.9400,2499.205
216,7972.9600,2498.642
217,7972.9800,2498.454
218,7973.0000,2498.298
219,7973.0200,2498.313
220,7973.0400,2498.079
221,7973.0600,2497.75
222,7973.0800,2497.563
223,7973.1000,2498.188
224,7973.1200,2497.938
225,7973.1400,2498.016
226,7973.1600,2497.359
227,7973.1800,2497.766
228,7973.2000,2498.298
229,7973.2200,2498.423
230,7973.2400,2498.282
231,7973.2600,2498.423
232,7973.2800,2498.235
233,7973.3000,2498.063
234,7973.3200,2498.97
235,7973.3400,2498.876
236,7973.3600,2497.797
237,7973.3800,2497.86
238,7973.4000,2498.438
239,7973.4200,2498.563
240,7973.4400,2497.719
241,7973.4600,2498.485
242,7973.4800,2498.047
243,7973.5000,2498.016
244,7973.5200,2497.813
245,7973.5400,2497.5
246,7973.5600,2497.359
247,7973.5800,2497.438
248,7973.6000,2497.563
249,7973.6200,2497.281
250,7973.6400,2496.953
251,7973.6600,2497.015
252,7973.6800,2497.109
253,7973.7000,2497.422
254,7973.7200,2497
255,7973.7400,2497.688
256,7973.7600,2497.703
257,7973.7800,2497.641
258,7973.8000,2498.126
259,7973.8200,2498.047
260,7973.8400,2498.079
261,7973.8600,2497.641
262,7973.8800,2497.875
263,7973.9000,2498.032
264,7973.9200,2498.235
265,7973.9400,2498.36
266,7973.9600,2497.907
267,7973.9800,2497.86
268,7974.0000,2498.188
269,7974.0200,2498.47
270,7974.0400,2497.86
271,7974.0600,2498.313
272,7974.0800,2497.86
273,7974.1000,2498.423
274,7974.1200,2497.954
275,7974.1400,2498.219
276,7974.1600,2498.423
277,7974.1800,2498.642
278,7974.2000,2498.939
279,7974.2200,2499.08
280,7974.2400,2498.501
281,7974.2600,2499.22
