#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7968.6600,62.20343
2,7968.6800,62.33476
3,7968.7000,62.36759
4,7968.7200,62.28316
5,7968.7400,62.18467
6,7968.7600,61.94077
7,7968.7800,61.73439
8,7968.8000,61.47643
9,7968.8200,61.34978
10,7968.8400,61.32164
11,7968.8600,61.15748
12,7968.8800,61.36386
13,7968.9000,61.56554
14,7968.9200,61.62183
15,7968.9400,61.54678
16,7968.9600,61.55147
17,7968.9800,61.55147
18,7969.0000,61.40138
19,7969.0200,61.31226
20,7969.0400,61.3404
21,7969.0600,61.26067
22,7969.0800,61.25129
23,7969.1000,61.32164
24,7969.1200,61.44828
25,7969.1400,61.62651
26,7969.1600,61.69218
27,7969.1800,61.69218
28,7969.2000,61.65935
29,7969.2200,61.46704
30,7969.2400,61.14341
31,7969.2600,60.83385
32,7969.2800,60.48676
33,7969.3000,60.21472
34,7969.3200,60.05994
35,7969.3400,59.8348
36,7969.3600,59.76913
37,7969.3800,59.6425
38,7969.4000,59.63781
39,7969.4200,59.63781
40,7969.4400,59.63312
41,7969.4600,59.52055
42,7969.4800,59.60028
43,7969.5000,59.83011
44,7969.5200,60.08808
45,7969.5400,60.28976
46,7969.5600,60.37419
47,7969.5800,60.29446
48,7969.6000,60.21003
49,7969.6200,60.14436
50,7969.6400,59.98489
51,7969.6600,60.05056
52,7969.6800,60.14436
53,7969.7000,60.29914
54,7969.7200,60.54773
55,7969.7400,60.84792
56,7969.7600,61.19969
57,7969.7800,61.56085
58,7969.8000,61.6828
59,7969.8200,61.48581
60,7969.8400,61.392
61,7969.8600,61.38731
62,7969.8800,61.2935
63,7969.9000,61.08712
64,7969.9200,60.8573
65,7969.9400,60.80101
66,7969.9600,61.0027
67,7969.9800,61.06836
68,7970.0000,60.9558
69,7970.0200,61.03084
70,7970.0400,61.02615
71,7970.0600,61.02615
72,7970.0800,61.0965
73,7970.1000,60.98394
74,7970.1200,60.78225
75,7970.1400,60.67437
76,7970.1600,60.73535
77,7970.1800,60.68375
78,7970.2000,60.56181
79,7970.2200,60.37419
80,7970.2400,60.30853
81,7970.2600,60.468
82,7970.2800,60.68375
83,7970.3000,61.12465
84,7970.3200,61.60775
85,7970.3400,61.89856
86,7970.3600,62.05334
87,7970.3800,62.04865
88,7970.4000,62.01112
89,7970.4200,61.7297
90,7970.4400,61.4389
91,7970.4600,61.20438
92,7970.4800,61.06367
93,7970.5000,61.02615
94,7970.5200,60.9511
95,7970.5400,60.84323
96,7970.5600,60.81509
97,7970.5800,60.91358
98,7970.6000,61.02615
99,7970.6200,61.11058
100,7970.6400,61.27005
101,7970.6600,61.31695
102,7970.6800,61.31695
103,7970.7000,61.2935
104,7970.7200,61.16686
105,7970.7400,61.0496
106,7970.7600,60.82915
107,7970.7800,60.65561
108,7970.8000,60.6603
109,7970.8200,60.65092
110,7970.8400,60.4164
111,7970.8600,60.28976
112,7970.8800,60.2241
113,7970.9000,60.37419
114,7970.9200,60.51021
115,7970.9400,60.59933
116,7970.9600,60.52897
117,7970.9800,60.43517
118,7971.0000,60.2757
119,7971.0200,60.00834
120,7971.0400,59.60497
121,7971.0600,59.41267
122,7971.0800,59.33762
123,7971.1000,59.41736
124,7971.1200,59.61435
125,7971.1400,59.63781
126,7971.1600,59.6425
127,7971.1800,59.83949
128,7971.2000,60.08808
129,7971.2200,60.18189
130,7971.2400,60.28508
131,7971.2600,60.2241
132,7971.2800,60.13498
133,7971.3000,60.21472
134,7971.3200,60.38357
135,7971.3400,60.49145
136,7971.3600,60.68845
137,7971.3800,60.73535
138,7971.4000,60.81977
139,7971.4200,60.9558
140,7971.4400,61.12934
141,7971.4600,61.25598
142,7971.4800,61.18093
143,7971.5000,61.01208
144,7971.5200,60.88075
145,7971.5400,60.96048
146,7971.5600,61.0027
147,7971.5800,60.92296
148,7971.6000,60.84323
149,7971.6200,60.72597
150,7971.6400,60.72128
151,7971.6600,60.70251
152,7971.6800,60.74942
153,7971.7000,60.72597
154,7971.7200,60.73066
155,7971.7400,60.59933
156,7971.7600,60.40702
157,7971.7800,60.31791
158,7971.8000,60.28976
159,7971.8200,60.40702
160,7971.8400,60.60402
161,7971.8600,60.77287
162,7971.8800,60.81509
163,7971.9000,60.73535
164,7971.9200,60.47269
165,7971.9400,60.2757
166,7971.9600,60.24286
167,7971.9800,60.3226
168,7972.0000,60.49614
169,7972.0200,60.5149
170,7972.0400,60.59464
171,7972.0600,60.80101
172,7972.0800,60.99801
173,7972.1000,61.02615
174,7972.1200,61.03084
175,7972.1400,61.02146
176,7972.1600,60.86668
177,7972.1800,60.65092
178,7972.2000,60.58995
179,7972.2200,60.58526
180,7972.2400,60.58995
181,7972.2600,60.66499
182,7972.2800,60.73066
183,7972.3000,60.73535
184,7972.3200,60.72128
185,7972.3400,60.60402
186,7972.3600,60.271
187,7972.3800,60.0318
188,7972.4000,59.70347
189,7972.4200,59.63312
190,7972.4400,59.70347
191,7972.4600,59.7879
192,7972.4800,60.0318
193,7972.5000,60.35543
194,7972.5200,60.6603
195,7972.5400,60.65561
196,7972.5600,60.73535
197,7972.5800,60.82447
198,7972.6000,60.71659
199,7972.6200,60.58057
200,7972.6400,60.51021
201,7972.6600,60.50083
202,7972.6800,60.32729
203,7972.7000,60.37888
204,7972.7200,60.38357
