Base,Target,Pearson,k,b,Length,Pearson(sub)
cegun,chilunxiang,-0.024012181678757998,0.022351741790771484,-0.011262810925792375,134485,0.3249916995875808
cegun,dianjichui,0.0017734514444977785,0.003725290298461914,-0.004970599641603389,161109,0.06036780657332444
cegun,dianjiheng,-8.270238133334145E-4,0.0260770320892334,-0.006969254169232344,110969,0.24029899953765188
cegun,fuchen,-0.28791064747259637,-0.21047890186309814,-0.16325246905102236,53177,-0.9584473735490859
cegun,hengjian,0.11499932680149184,0.003725290298461914,0.007616047489935833,121254,0.050425482774147365
cegun,hengxiang ,0.12551188793904036,-0.24214386940002441,0.2381893595578825,47232,-0.8654487443123655
cegun,lingxing,0.5462030293654552,0.5885958671569824,-0.14227394385652897,56734,0.9917776291686798
cegun,niuzhuan,0.4574297169801807,0.3241002559661865,-0.191516407567481,49867,0.9679042480081111
cegun,qianyin,0.7583051077079531,0.014901161193847656,-0.08949683807785058,119889,0.5563004707086622
cegun,zhidong,-0.7436732139364074,-0.022351741790771484,0.06897980524429495,133442,-0.3060886072223502
chilunxiang,cegun,-0.024012181678758446,-0.12293457984924316,0.012988216663359375,58971,-0.7924125265491212
chilunxiang,dianjichui,0.052732098875116706,0.07450580596923828,-0.0046495040982648325,168525,0.6357450483018947
chilunxiang,dianjiheng,0.02706870336274688,0.003725290298461914,0.004321340398653872,110687,0.028862869309438335
chilunxiang,fuchen,0.08514125729291999,0.0651925802230835,0.4342052323195665,50384,0.6547829444392852
chilunxiang,hengjian,0.03207929978537163,0.003725290298461914,0.009573762380764909,121252,0.014213174462945677
chilunxiang,hengxiang ,0.023092631493592048,0.011175870895385742,0.17862010889547603,44585,0.11215395959690527
chilunxiang,lingxing,0.05016522872537004,0.07078051567077637,0.5170730081798377,52943,0.6122935102791924
chilunxiang,niuzhuan,0.04383251455770544,0.01862645149230957,0.16455153136753925,44591,0.1954689200527299
chilunxiang,qianyin,-0.09278834298587717,0.007450580596923828,-0.08952527530533964,119176,0.40579354075498064
chilunxiang,zhidong,0.10792683557781772,0.01862645149230957,0.06954520330246916,133368,0.21556573003409787
dianjichui,cegun,0.0017734514444813566,0.007450580596923828,-0.04231237057785708,58027,0.09263896530570467
dianjichui,chilunxiang,0.05273209887511619,0.007450580596923828,4.1579538990545303E-4,133310,0.09069126085980495
dianjichui,dianjiheng,0.618507354609913,0.08195638656616211,0.008035811836290256,111101,0.32367977702713263
dianjichui,fuchen,-0.012371403561613049,-0.007450580596923828,0.43763728599023183,49011,-0.12389060886580387
dianjichui,hengjian,-7.786179230719634E-4,0.007450580596923828,0.006921913168875826,121450,0.06926325707661482
dianjichui,hengxiang ,-0.18960505787515267,-0.09313225746154785,0.18175175070560262,44824,-0.5093991152049215
dianjichui,lingxing,-0.025852123150101575,-0.007450580596923828,0.5220048310464067,52300,-0.0885580441090931
dianjichui,niuzhuan,0.019389465839775098,0.022351741790771484,0.16394410921036168,45039,0.29608568752403924
dianjichui,qianyin,-0.00835981981578295,0.007450580596923828,-0.09721090361343943,117652,0.060263313995372825
dianjichui,zhidong,0.04143042472684762,0.08195638656616211,0.07109477346332793,135292,0.5910215404997419
dianjiheng,cegun,-8.270238133155505E-4,0.007450580596923828,-0.04197378144283563,58102,0.12916626454729943
dianjiheng,chilunxiang,0.02706870336274858,0.007450580596923828,-0.0043156534957949425,133262,0.08305042938190105
dianjiheng,dianjichui,0.618507354609913,-0.11175870895385742,-0.004464625859172617,163646,-0.483098105231759
dianjiheng,fuchen,-0.011136697944468634,-0.011175870895385742,0.4429418863641599,49140,-0.19715160717573602
dianjiheng,hengjian,-0.0076675623800314795,0.0260770320892334,0.011869471627026298,121695,0.2199591665927718
dianjiheng,hengxiang ,-0.08550103936915456,-0.01862645149230957,0.17891062485947204,44561,-0.15539926203115584
dianjiheng,lingxing,0.03189994601496946,-0.003725290298461914,0.5231195873389433,52246,-0.04224113531226245
dianjiheng,niuzhuan,-0.0898442275077551,0.03352761268615723,0.1535182921144835,45114,0.35046586142734654
dianjiheng,qianyin,-0.007116090607743279,0.007450580596923828,-0.09155709878162727,118094,0.09333599034346177
dianjiheng,zhidong,0.027207714540096052,0.014901161193847656,0.03336911636001902,132636,0.1554071603932473
fuchen,cegun,-0.2879106474725965,-0.10058283805847168,0.22681551202359704,60233,-0.9111779328878927
fuchen,chilunxiang,0.08514125729291988,-0.007450580596923828,-0.002358771294685623,133512,-0.10484343513110948
fuchen,dianjichui,-0.012371403561617703,0.003725290298461914,-0.002325300620977416,161534,0.06455573020944529
fuchen,dianjiheng,-0.011136697944471667,-0.003725290298461914,0.007737666085433295,110856,-0.0767765106993489
fuchen,hengjian,0.0022875231662518787,-0.003725290298461914,0.008400978755895594,121264,-0.07882306941540825
fuchen,hengxiang ,0.05428358172128309,0.13969838619232178,0.11926953153447056,52295,0.9442265746224672
fuchen,lingxing,-0.06308577112231883,-0.2216547727584839,0.14665373110087943,64664,-0.9785762987449558
fuchen,niuzhuan,-0.07124553934815601,0.130385160446167,0.19356501288133432,50989,0.9583220594633484
fuchen,qianyin,-0.2376113416293254,-0.022351741790771484,-0.09455753852695636,126559,-0.5568398670968714
fuchen,zhidong,0.223629202625051,0.007450580596923828,0.057591246736344394,134984,-0.02531253733133954
