#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7427.7000,2497.735
2,7427.7200,2498.298
3,7427.7400,2497.829
4,7427.7600,2498.313
5,7427.7800,2498.298
6,7427.8000,2498.438
7,7427.8200,2498.36
8,7427.8400,2498.36
9,7427.8600,2498.094
10,7427.8800,2498.235
11,7427.9000,2498.36
12,7427.9200,2498.548
13,7427.9400,2498.235
14,7427.9600,2498.126
15,7427.9800,2498.173
16,7428.0000,2498.219
17,7428.0200,2498.266
18,7428.0400,2498.157
19,7428.0600,2498.376
20,7428.0800,2498.235
21,7428.1000,2498.392
22,7428.1200,2498.173
23,7428.1400,2497.985
24,7428.1600,2498.517
25,7428.1800,2497.61
26,7428.2000,2498.266
27,7428.2200,2498.204
28,7428.2400,2497.844
29,7428.2600,2498.595
30,7428.2800,2498.094
31,7428.3000,2498.954
32,7428.3200,2498.344
33,7428.3400,2498.517
34,7428.3600,2498.501
35,7428.3800,2497.875
36,7428.4000,2498.298
37,7428.4200,2498.047
38,7428.4400,2498.782
39,7428.4600,2498.157
40,7428.4800,2497.516
41,7428.5000,2497.735
42,7428.5200,2498.016
43,7428.5400,2498.376
44,7428.5600,2497.907
45,7428.5800,2498.235
46,7428.6000,2498.423
47,7428.6200,2497.969
48,7428.6400,2498.094
49,7428.6600,2498.392
50,7428.6800,2497.922
51,7428.7000,2498.11
52,7428.7200,2497.829
53,7428.7400,2498.329
54,7428.7600,2497.735
55,7428.7800,2498.204
56,7428.8000,2498.454
57,7428.8200,2498.704
58,7428.8400,2498.126
59,7428.8600,2497.875
60,7428.8800,2498.11
61,7428.9000,2498.626
62,7428.9200,2498.376
63,7428.9400,2498.423
64,7428.9600,2498.173
65,7428.9800,2497.954
66,7429.0000,2498.454
67,7429.0200,2498.047
68,7429.0400,2498.392
69,7429.0600,2497.829
70,7429.0800,2498.047
71,7429.1000,2498.157
72,7429.1200,2498.438
73,7429.1400,2498.11
74,7429.1600,2498.047
75,7429.1800,2498.094
76,7429.2000,2497.922
77,7429.2200,2498.298
78,7429.2400,2497.563
79,7429.2600,2497.625
80,7429.2800,2497.891
81,7429.3000,2498.501
82,7429.3200,2497.969
83,7429.3400,2497.563
84,7429.3600,2497.938
85,7429.3800,2498.204
86,7429.4000,2498
87,7429.4200,2498.689
88,7429.4400,2497.891
89,7429.4600,2498.204
90,7429.4800,2497.891
91,7429.5000,2498.36
92,7429.5200,2497.844
93,7429.5400,2497.578
94,7429.5600,2498.36
95,7429.5800,2498.063
96,7429.6000,2498.454
97,7429.6200,2498.266
98,7429.6400,2498.016
99,7429.6600,2498.282
100,7429.6800,2498.235
101,7429.7000,2498.032
102,7429.7200,2498.532
103,7429.7400,2498.329
104,7429.7600,2498.079
105,7429.7800,2499.033
106,7429.8000,2498.47
107,7429.8200,2498.016
108,7429.8400,2498.173
109,7429.8600,2498.016
110,7429.8800,2498.251
111,7429.9000,2497.75
112,7429.9200,2498.392
113,7429.9400,2497.672
114,7429.9600,2497.938
115,7429.9800,2497.094
116,7430.0000,2498.329
117,7430.0200,2497.954
118,7430.0400,2498.032
119,7430.0600,2497.938
120,7430.0800,2498.032
121,7430.1000,2497.766
122,7430.1200,2498.344
123,7430.1400,2498.407
124,7430.1600,2498.063
125,7430.1800,2498.751
126,7430.2000,2498.11
127,7430.2200,2498.485
128,7430.2400,2498.094
129,7430.2600,2498.126
130,7430.2800,2498.298
131,7430.3000,2498.438
132,7430.3200,2498.36
133,7430.3400,2498.376
134,7430.3600,2497.75
135,7430.3800,2498.298
136,7430.4000,2497.688
137,7430.4200,2497.438
138,7430.4400,2498
139,7430.4600,2497.907
140,7430.4800,2498.657
141,7430.5000,2498.11
142,7430.5200,2498.47
143,7430.5400,2497.531
144,7430.5600,2498.032
145,7430.5800,2498.11
146,7430.6000,2497.438
147,7430.6200,2497.844
148,7430.6400,2497.125
149,7430.6600,2497.625
150,7430.6800,2497.829
151,7430.7000,2497.797
152,7430.7200,2498.016
153,7430.7400,2497.922
154,7430.7600,2497.563
155,7430.7800,2497.578
156,7430.8000,2497.782
157,7430.8200,2497.954
158,7430.8400,2497.516
159,7430.8600,2497.688
160,7430.8800,2497.578
161,7430.9000,2497.578
162,7430.9200,2497.829
163,7430.9400,2497.422
164,7430.9600,2498.188
165,7430.9800,2497.844
166,7431.0000,2497.922
167,7431.0200,2497.938
168,7431.0400,2497.672
169,7431.0600,2497.844
170,7431.0800,2498.392
171,7431.1000,2497.766
172,7431.1200,2498.079
173,7431.1400,2498.047
174,7431.1600,2497.547
175,7431.1800,2498.282
176,7431.2000,2497.719
177,7431.2200,2497.766
178,7431.2400,2497.359
179,7431.2600,2497.406
180,7431.2800,2497.453
181,7431.3000,2497.938
182,7431.3200,2497.094
183,7431.3400,2497.453
184,7431.3600,2497.469
185,7431.3800,2497.703
186,7431.4000,2497.453
187,7431.4200,2497.656
188,7431.4400,2498.548
189,7431.4600,2497.954
190,7431.4800,2497.735
191,7431.5000,2497.875
192,7431.5200,2497.735
193,7431.5400,2497.735
194,7431.5600,2498.329
195,7431.5800,2497.735
196,7431.6000,2498.626
197,7431.6200,2498.704
198,7431.6400,2498.173
199,7431.6600,2498.11
200,7431.6800,2498.298
201,7431.7000,2497.891
202,7431.7200,2498.188
203,7431.7400,2497.86
204,7431.7600,2498.36
205,7431.7800,2498.548
206,7431.8000,2498.47
207,7431.8200,2498.423
208,7431.8400,2498.501
209,7431.8600,2498.392
210,7431.8800,2498.438
211,7431.9000,2498.72
212,7431.9200,2498.485
213,7431.9400,2498.939
214,7431.9600,2498.36
215,7431.9800,2498.266
216,7432.0000,2498.282
217,7432.0200,2498.407
218,7432.0400,2498.188
219,7432.0600,2498.36
220,7432.0800,2497.813
221,7432.1000,2498.814
222,7432.1200,2498.047
223,7432.1400,2497.735
224,7432.1600,2498.063
225,7432.1800,2497.891
226,7432.2000,2498.438
227,7432.2200,2498.47
228,7432.2400,2498.532
229,7432.2600,2498.173
230,7432.2800,2498.047
231,7432.3000,2498.423
232,7432.3200,2498.517
233,7432.3400,2498.329
234,7432.3600,2498.642
235,7432.3800,2498.438
236,7432.4000,2498.329
237,7432.4200,2498.501
238,7432.4400,2498.438
239,7432.4600,2498.736
240,7432.4800,2498.407
241,7432.5000,2498.814
242,7432.5200,2498.157
243,7432.5400,2498.47
244,7432.5600,2498.11
245,7432.5800,2498.673
246,7432.6000,2498.673
247,7432.6200,2498.266
248,7432.6400,2498.11
249,7432.6600,2498.532
250,7432.6800,2497.813
251,7432.7000,2498.907
252,7432.7200,2497.969
253,7432.7400,2498.188
254,7432.7600,2497.829
255,7432.7800,2498.407
256,7432.8000,2498.204
257,7432.8200,2498.61
258,7432.8400,2498.141
259,7432.8600,2497.563
260,7432.8800,2498.188
261,7432.9000,2498.079
262,7432.9200,2497.985
263,7432.9400,2498.392
264,7432.9600,2498.548
265,7432.9800,2498.329
266,7433.0000,2498.689
267,7433.0200,2498.204
268,7433.0400,2498.063
269,7433.0600,2498.438
270,7433.0800,2498.814
271,7433.1000,2498.892
272,7433.1200,2498.97
273,7433.1400,2498.892
274,7433.1600,2498.517
275,7433.1800,2498.939
276,7433.2000,2498.798
277,7433.2200,2499.345
278,7433.2400,2499.392
279,7433.2600,2499.017
280,7433.2800,2499.033
281,7433.3000,2499.236
