#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7427.7000,0.1313298
2,7427.7200,0.2016851
3,7427.7400,0.3095631
4,7427.7600,0.4408929
5,7427.7800,0.5722228
6,7427.8000,0.6894815
7,7427.8200,0.7973596
8,7427.8400,0.9146184
9,7427.8600,0.9990447
10,7427.8800,1.083471
11,7427.9000,1.158517
12,7427.9200,1.238253
13,7427.9400,1.33206
14,7427.9600,1.444628
15,7427.9800,1.505602
16,7428.0000,1.571267
17,7428.0200,1.660384
18,7428.0400,1.711978
19,7428.0600,1.754191
20,7428.0800,1.824546
21,7428.1000,1.908973
22,7428.1200,2.00747
23,7428.1400,2.110658
24,7428.1600,2.195084
25,7428.1800,2.241987
26,7428.2000,2.27013
27,7428.2200,2.340485
28,7428.2400,2.335794
29,7428.2600,2.41084
30,7428.2800,2.485886
31,7428.3000,2.485886
32,7428.3200,2.560931
33,7428.3400,2.645358
34,7428.3600,2.715713
35,7428.3800,2.776687
36,7428.4000,2.847043
37,7428.4200,2.898637
38,7428.4400,2.917398
39,7428.4600,2.917398
40,7428.4800,3.001824
41,7428.5000,2.997134
42,7428.5200,2.992444
43,7428.5400,3.067489
44,7428.5600,3.151916
45,7428.5800,3.236342
46,7428.6000,3.325459
47,7428.6200,3.358291
48,7428.6400,3.438027
49,7428.6600,3.503692
50,7428.6800,3.592808
51,7428.7000,3.625641
52,7428.7200,3.658473
53,7428.7400,3.733519
54,7428.7600,3.728829
55,7428.7800,3.799184
56,7428.8000,3.87892
57,7428.8200,3.930514
58,7428.8400,3.949275
59,7428.8600,3.977417
60,7428.8800,4.024321
61,7428.9000,4.033701
62,7428.9200,4.099366
63,7428.9400,4.122818
64,7428.9600,4.169722
65,7428.9800,4.169722
66,7429.0000,4.230696
67,7429.0200,4.240077
68,7429.0400,4.319813
69,7429.0600,4.399549
70,7429.0800,4.479285
71,7429.1000,4.55433
72,7429.1200,4.610615
73,7429.1400,4.610615
74,7429.1600,4.601234
75,7429.1800,4.68566
76,7429.2000,4.713802
77,7429.2200,4.788848
78,7429.2400,4.835752
79,7429.2600,4.910797
80,7429.2800,5.009295
81,7429.3000,5.032746
82,7429.3200,5.117172
83,7429.3400,5.229741
84,7429.3600,5.337619
85,7429.3800,5.35169
86,7429.4000,5.407974
87,7429.4200,5.48771
88,7429.4400,5.529923
89,7429.4600,5.614349
90,7429.4800,5.703466
91,7429.5000,5.703466
92,7429.5200,5.698776
93,7429.5400,5.708157
94,7429.5600,5.75506
95,7429.5800,5.877009
96,7429.6000,5.989578
97,7429.6200,6.149049
98,7429.6400,6.303831
99,7429.6600,6.435161
100,7429.6800,6.571181
101,7429.7000,6.585252
102,7429.7200,6.580562
103,7429.7400,6.650917
104,7429.7600,6.655607
105,7429.7800,6.660298
106,7429.8000,6.68844
107,7429.8200,6.721272
108,7429.8400,6.805698
109,7429.8600,6.861983
110,7429.8800,6.876054
111,7429.9000,6.871364
112,7429.9200,6.951099
113,7429.9400,7.021455
114,7429.9600,7.101191
115,7429.9800,7.176236
116,7430.0000,7.176236
117,7430.0200,7.204378
118,7430.0400,7.166855
119,7430.0600,7.171546
120,7430.0800,7.171546
121,7430.1000,7.246592
122,7430.1200,7.345089
123,7430.1400,7.443586
124,7430.1600,7.462348
125,7430.1800,7.462348
126,7430.2000,7.462348
127,7430.2200,7.537393
128,7430.2400,7.523322
129,7430.2600,7.415444
130,7430.2800,7.471728
131,7430.3000,7.481109
132,7430.3200,7.584297
133,7430.3400,7.664033
134,7430.3600,7.743769
135,7430.3800,7.875099
136,7430.4000,8.001738
137,7430.4200,8.048641
138,7430.4400,8.128377
139,7430.4600,8.123687
140,7430.4800,8.231565
141,7430.5000,8.311301
142,7430.5200,8.400417
143,7430.5400,8.489534
144,7430.5600,8.484844
145,7430.5800,8.452012
146,7430.6000,8.414489
147,7430.6200,8.414489
148,7430.6400,8.541128
149,7430.6600,8.602103
150,7430.6800,8.634935
151,7430.7000,8.634935
152,7430.7200,8.634935
153,7430.7400,8.634935
154,7430.7600,8.630245
155,7430.7800,8.709981
156,7430.8000,8.789717
157,7430.8200,8.817859
158,7430.8400,8.916356
159,7430.8600,9.094589
160,7430.8800,9.249372
161,7430.9000,9.357249
162,7430.9200,9.352559
163,7430.9400,9.436985
164,7430.9600,9.479198
165,7430.9800,9.493269
166,7431.0000,9.526102
167,7431.0200,9.601148
168,7431.0400,9.713716
169,7431.0600,9.835665
170,7431.0800,9.981066
171,7431.1000,10.09363
172,7431.1200,10.0139
173,7431.1400,9.976376
174,7431.1600,9.91071
175,7431.1800,9.802833
176,7431.2000,9.727787
177,7431.2200,9.605838
178,7431.2400,9.582386
179,7431.2600,9.591766
180,7431.2800,9.704335
181,7431.3000,9.89195
182,7431.3200,10.07018
183,7431.3400,10.22027
184,7431.3600,10.44541
185,7431.3800,10.60488
186,7431.4000,10.75028
187,7431.4200,10.81126
188,7431.4400,10.81595
189,7431.4600,10.91914
190,7431.4800,11.11144
191,7431.5000,11.29436
192,7431.5200,11.40224
193,7431.5400,11.49136
194,7431.5600,11.48667
195,7431.5800,11.48667
196,7431.6000,11.41162
197,7431.6200,11.43038
198,7431.6400,11.54295
199,7431.6600,11.65552
200,7431.6800,11.76809
201,7431.7000,11.85721
202,7431.7200,11.83844
203,7431.7400,11.70712
